mode,step,disc,distance,projected_mean,projected_variance,probability_upper,zero_distance,zero_variance
away,1,0,4.391974042250121,-3.441974042250121,0.0,0.0,0,1
away,1,1,3.575820123779157,-2.6258201237791576,0.0,0.0,0,1
away,1,2,2.8781145090925597,-1.9281145090925598,0.0,0.0,0,1
away,2,0,4.345554536358381,-3.3955545363583814,0.0,0.0,0,1
away,2,1,3.585416845719286,-2.635416845719287,0.0,0.0,0,1
away,2,2,2.970956695522567,-2.0209566955225666,0.0,0.0,0,1
away,3,0,4.3876366447233,-3.437636644723299,0.0,0.0,0,1
away,3,1,3.6122557603188388,-2.662255760318839,0.0,0.0,0,1
away,3,2,2.97412643137351,-2.02412643137351,0.0,0.0,0,1
away,4,0,4.457663959460477,-3.5076639594604773,0.0,0.0,0,1
away,4,1,3.645921924774379,-2.695921924774379,0.0,0.0,0,1
away,4,2,2.952071372380444,-2.0020713723804437,0.0,0.0,0,1
away,5,0,4.522988851387105,-3.5729888513871044,0.0,0.0,0,1
away,5,1,3.676644717554992,-2.7266447175549926,0.0,0.0,0,1
away,5,2,2.9288230756530886,-1.9788230756530882,0.0,0.0,0,1
away,6,0,4.575355459686076,-3.625355459686075,0.0,0.0,0,1
away,6,1,3.697269997909531,-2.747269997909531,0.0,0.0,0,1
away,6,2,2.8992642674314295,-1.9492642674314296,0.0,0.0,0,1
away,7,0,4.619891021141043,-3.6698910211410416,0.0,0.0,0,1
away,7,1,3.7128173679254415,-2.762817367925442,0.0,0.0,0,1
away,7,2,2.8682106909915084,-1.918210690991508,0.0,0.0,0,1
away,8,0,4.658142104835082,-3.7081421048350816,0.0,0.0,0,1
away,8,1,3.725166159205725,-2.7751661592057255,0.0,0.0,0,1
away,8,2,2.8382103443095366,-1.8882103443095366,0.0,0.0,0,1
away,9,0,4.689792303185196,-3.7397923031851947,0.0,0.0,0,1
away,9,1,3.734466296695328,-2.784466296695328,0.0,0.0,0,1
away,9,2,2.810395914331562,-1.8603959143315623,0.0,0.0,0,1
away,10,0,4.713041149252628,-3.7630411492526266,0.0,0.0,0,1
away,10,1,3.7394041236610507,-2.7894041236610505,0.0,0.0,0,1
away,10,2,2.784516030759746,-1.8345160307597455,0.0,0.0,0,1
away,11,0,4.722537014248993,-3.772537014248993,0.0,0.0,0,1
away,11,1,3.737568155085123,-2.787568155085123,0.0,0.0,0,1
away,11,2,2.7634173729028015,-1.8134173729028016,0.0,0.0,0,1
away,12,0,4.696846738541327,-3.7468467385413264,0.0,0.0,0,1
away,12,1,3.7267615591949554,-2.776761559194955,0.0,0.0,0,1
away,12,2,2.7779730295379275,-1.8279730295379275,0.0,0.0,0,1
away,13,0,4.64930909735789,-3.6993090973578893,0.0,0.0,0,1
away,13,1,3.7002456979711305,-2.7502456979711303,0.0,0.0,0,1
away,13,2,2.787034511435564,-1.837034511435564,0.0,0.0,0,1
away,14,0,4.573664153913572,-3.6236641539135723,0.0,0.0,0,1
away,14,1,3.6529892012374683,-2.702989201237468,0.0,0.0,0,1
away,14,2,2.7875179669234713,-1.8375179669234714,0.0,0.0,0,1
away,15,0,4.47787103665882,-3.52787103665882,0.0,0.0,0,1
away,15,1,3.5941324063286886,-2.644132406328689,0.0,0.0,0,1
away,15,2,2.7900262521159473,-1.8400262521159474,0.0,0.0,0,1
away,16,0,4.373556801796982,-3.423556801796983,0.0,0.0,0,1
away,16,1,3.53615619874212,-2.5861561987421204,0.0,0.0,0,1
away,16,2,2.807276656345077,-1.8572766563450764,0.0,0.0,0,1
away,17,0,4.267099223226853,-3.317099223226852,0.0,0.0,0,1
away,17,1,3.4861768626739185,-2.5361768626739183,0.0,0.0,0,1
away,17,2,2.845825443491347,-1.8958254434913469,0.0,0.0,0,1
away,18,0,4.162631132915991,-3.212631132915991,0.0,0.0,0,1
away,18,1,3.4488684511434715,-2.498868451143472,0.0,0.0,0,1
away,18,2,2.9089326629992778,-1.9589326629992778,0.0,0.0,0,1
away,19,0,4.06354872565451,-3.1135487256545105,0.0,0.0,0,1
away,19,1,3.427822522897196,-2.4778225228971964,0.0,0.0,0,1
away,19,2,2.997916985374045,-2.0479169853740453,0.0,0.0,0,1
away,20,0,3.9732479914179413,-3.023247991417942,0.0,0.0,0,1
away,20,1,3.426064298742148,-2.4760642987421475,0.0,0.0,0,1
away,20,2,3.112737309334719,-2.1627373093347195,0.0,0.0,0,1
cut_in,1,0,4.193943719510906,-3.2439437195109058,0.0,0.0,0,1
cut_in,1,1,3.3534495467974863,-2.4034495467974866,0.0,0.0,0,1
cut_in,1,2,2.6271817225703207,-1.6771817225703207,0.0,0.0,0,1
cut_in,2,0,3.957227003145232,-3.007227003145233,0.0,0.0,0,1
cut_in,2,1,3.141113673581033,-2.1911136735810333,0.0,0.0,0,1
cut_in,2,2,2.4644562617935972,-1.5144562617935973,0.0,0.0,0,1
