mode,step,disc,distance,projected_mean,projected_variance,probability_upper,zero_distance,zero_variance
away,1,0,4.398104545111874,-3.448104545111873,0.0,0.0,0,1
away,1,1,3.5441616144817396,-2.59416161448174,0.0,0.0,0,1
away,1,2,2.789057100419047,-1.839057100419047,0.0,0.0,0,1
away,2,0,4.315553484835782,-3.3655534848357815,0.0,0.0,0,1
away,2,1,3.4761631125686265,-2.526163112568627,0.0,0.0,0,1
away,2,2,2.74652837048652,-1.7965283704865203,0.0,0.0,0,1
away,3,0,4.231918637576222,-3.2819186375762213,0.0,0.0,0,1
away,3,1,3.4086607988374684,-2.458660798837469,0.0,0.0,0,1
away,3,2,2.7071759322211766,-1.757175932221177,0.0,0.0,0,1
away,4,0,4.150208682202267,-3.200208682202267,0.0,0.0,0,1
away,4,1,3.3445455932849066,-2.3945455932849065,0.0,0.0,0,1
away,4,2,2.673525452524417,-1.7235254525244172,0.0,0.0,0,1
away,5,0,4.071505718230385,-3.1215057182303836,0.0,0.0,0,1
away,5,1,3.284890908722303,-2.3348909087223024,0.0,0.0,0,1
away,5,2,2.6464802570263313,-1.6964802570263313,0.0,0.0,0,1
away,6,0,3.9961423152287145,-3.046142315228715,0.0,0.0,0,1
away,6,1,3.230071099530239,-2.2800710995302396,0.0,0.0,0,1
away,6,2,2.626321612537098,-1.6763216125370979,0.0,0.0,0,1
away,7,0,3.9242164153964123,-2.9742164153964126,0.0,0.0,0,1
away,7,1,3.180242791796179,-2.2302427917961785,0.0,0.0,0,1
away,7,2,2.6131234097677885,-1.663123409767789,0.0,0.0,0,1
away,8,0,3.8557927961274134,-2.9057927961274137,0.0,0.0,0,1
away,8,1,3.135527294119801,-2.185527294119801,0.0,0.0,0,1
away,8,2,2.606899449091282,-1.6568994490912818,0.0,0.0,0,1
away,9,0,3.79096573986051,-2.8409657398605104,0.0,0.0,0,1
away,9,1,3.0960626248014034,-2.146062624801403,0.0,0.0,0,1
away,9,2,2.6076399890683084,-1.6576399890683085,0.0,0.0,0,1
away,10,0,3.729866490425317,-2.7798664904253174,0.0,0.0,0,1
away,10,1,3.0620050559335703,-2.1120050559335706,0.0,0.0,0,1
away,10,2,2.6153099029996087,-1.6653099029996088,0.0,0.0,0,1
away,11,0,3.67265316379659,-2.72265316379659,0.0,0.0,0,1
away,11,1,3.0335156670918595,-2.0835156670918593,0.0,0.0,0,1
away,11,2,2.6298390337506277,-1.6798390337506273,0.0,0.0,0,1
