pair,profile,controller,arm,environment,obstacles,classes,scenario_budget,expected_rollouts,measured_rollouts,missing_or_error_rollouts,collision_rate,safe_completion_rate,no_admissible_control_rate,first_attempt_inadmissibility,first_attempt_admissibility,final_inadmissibility,final_admissibility,fallback_rate,mean_draws_per_cycle,mean_qp_calls_per_cycle,minimum_safety_margin_m,mean_rollout_minimum_safety_margin_m,mean_cycle_ms,focus_inclusion_rate,focus_realized_frequency,mean_nominal_probability,mean_sampling_probability
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,A,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5504884658369942,1.5504884658369942,19.992945333333335,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,C,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5504884658369942,1.5504884658369942,19.207742333333332,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro_fallback,E,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5504884658369942,1.5504884658369942,20.524574666666666,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_extra,B,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,1.550488465165201,1.550488465165201,21.95389966666667,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_resample,D,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5504884658369942,1.5504884658369942,18.121125333333335,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,A,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5506385142058974,1.5506385142058974,18.157299,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro,C,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5506385142058974,1.5506385142058974,17.826169333333336,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro_fallback,E,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5506385142058974,1.5506385142058974,21.640435666666665,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_extra,B,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,1.5506385169047558,1.5506385169047558,21.028786999999998,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_resample,D,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5506385142058974,1.5506385142058974,17.295422333333335,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc,A,straight,1,1,20,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,10.0,1.5506385142058974,1.5506385142058974,16.751870666666665,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
