pair,profile,environment,obstacles,classes,modes_per_class,seed,status,target_match,reverse_match,scenario_budget,controller_a,controller_b,nondro_artifact,nondro_status,nondro_error,dro_artifact,dro_status,dro_error
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,four_way_intersection,1,1,3,77,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,four_way_intersection,1,1,3,78,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,four_way_intersection,1,1,3,77,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,four_way_intersection,1,1,3,78,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,four_way_intersection,1,1,3,77,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,four_way_intersection,1,1,3,78,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,four_way_intersection,1,1,3,77,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,four_way_intersection,1,1,3,78,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
straight_o1_c1_m3_boost_0_s40,boost_0,straight,1,1,3,77,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
straight_o1_c1_m3_boost_0_s40,boost_0,straight,1,1,3,78,ERROR,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,ERROR,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1."
