[EVAL SAFETY] step=0 min_center_distance=3.01772 min_clearance=2.06772 collision_this_step=0 collision_run=0 collision_radius=0.95
[FREE POLY] k=1 disc=0 raw=40 facets=0 vertices=4 rho=4.8 anchor_shift=0
[FREE POLY] k=1 disc=1 raw=40 facets=0 vertices=4 rho=0.800001 anchor_shift=0
[FREE POLY] k=1 disc=2 raw=40 facets=3 vertices=6 rho=4.8 anchor_shift=0
[FREE POLY] k=2 disc=0 raw=40 facets=2 vertices=6 rho=5.6 anchor_shift=0
[FREE POLY] k=2 disc=1 raw=40 facets=0 vertices=4 rho=1.6 anchor_shift=0
[FREE POLY] k=2 disc=2 raw=40 facets=4 vertices=7 rho=5.6 anchor_shift=0
[FREE POLY] k=3 disc=0 raw=40 facets=2 vertices=5 rho=6.4 anchor_shift=0
[FREE POLY] k=3 disc=1 raw=40 facets=0 vertices=4 rho=2.4 anchor_shift=0
[FREE POLY] k=3 disc=2 raw=40 facets=3 vertices=6 rho=6.4 anchor_shift=0
[FREE POLY] k=4 disc=0 raw=40 facets=4 vertices=7 rho=7.2 anchor_shift=0
[FREE POLY] k=4 disc=1 raw=40 facets=0 vertices=4 rho=3.2 anchor_shift=0
[FREE POLY] k=4 disc=2 raw=40 facets=4 vertices=7 rho=7.2 anchor_shift=0
[FREE POLY] k=5 disc=0 raw=40 facets=4 vertices=7 rho=8 anchor_shift=0
[FREE POLY] k=5 disc=1 raw=40 facets=4 vertices=7 rho=4 anchor_shift=0
[FREE POLY] k=5 disc=2 raw=40 facets=5 vertices=8 rho=8 anchor_shift=0
[FREE POLY] k=6 disc=0 raw=40 facets=4 vertices=7 rho=8.8 anchor_shift=0
[FREE POLY] k=6 disc=1 raw=40 facets=4 vertices=7 rho=4.8 anchor_shift=0
[FREE POLY] k=6 disc=2 raw=40 facets=5 vertices=8 rho=8.8 anchor_shift=0
[FREE POLY] k=7 disc=0 raw=40 facets=4 vertices=7 rho=9.6 anchor_shift=0
[FREE POLY] k=7 disc=1 raw=40 facets=4 vertices=7 rho=5.6 anchor_shift=0
[FREE POLY] k=7 disc=2 raw=40 facets=6 vertices=9 rho=9.6 anchor_shift=0
[FREE POLY] k=8 disc=0 raw=40 facets=4 vertices=7 rho=10.4 anchor_shift=0
[FREE POLY] k=8 disc=1 raw=40 facets=4 vertices=7 rho=6.4 anchor_shift=0
[FREE POLY] k=8 disc=2 raw=40 facets=5 vertices=8 rho=10.4 anchor_shift=0
[FREE POLY] k=9 disc=0 raw=40 facets=4 vertices=7 rho=11.2 anchor_shift=0
[FREE POLY] k=9 disc=1 raw=40 facets=4 vertices=7 rho=7.2 anchor_shift=0
[FREE POLY] k=9 disc=2 raw=40 facets=5 vertices=8 rho=11.2 anchor_shift=0
[FREE POLY] k=10 disc=0 raw=40 facets=4 vertices=7 rho=12 anchor_shift=0
[FREE POLY] k=10 disc=1 raw=40 facets=4 vertices=7 rho=8 anchor_shift=0
[FREE POLY] k=10 disc=2 raw=40 facets=6 vertices=9 rho=12 anchor_shift=0
[FREE POLY] k=11 disc=0 raw=40 facets=4 vertices=7 rho=12.8 anchor_shift=0
[FREE POLY] k=11 disc=1 raw=40 facets=4 vertices=7 rho=8.8 anchor_shift=0
[FREE POLY] k=11 disc=2 raw=40 facets=6 vertices=9 rho=12.8 anchor_shift=0
[FREE POLY] k=12 disc=0 raw=40 facets=5 vertices=8 rho=13.6 anchor_shift=0
[FREE POLY] k=12 disc=1 raw=40 facets=6 vertices=9 rho=9.6 anchor_shift=0
[FREE POLY] k=12 disc=2 raw=40 facets=6 vertices=9 rho=13.6 anchor_shift=0
[FREE POLY] k=13 disc=0 raw=40 facets=4 vertices=7 rho=14.4 anchor_shift=0
[FREE POLY] k=13 disc=1 raw=40 facets=4 vertices=7 rho=10.4 anchor_shift=0
[FREE POLY] k=13 disc=2 raw=40 facets=6 vertices=9 rho=14.4 anchor_shift=0
[FREE POLY] k=14 disc=0 raw=40 facets=4 vertices=7 rho=15.2 anchor_shift=0
[FREE POLY] k=14 disc=1 raw=40 facets=4 vertices=7 rho=11.2 anchor_shift=0
[FREE POLY] k=14 disc=2 raw=40 facets=5 vertices=8 rho=15.2 anchor_shift=0
[FREE POLY] k=15 disc=0 raw=40 facets=5 vertices=8 rho=16 anchor_shift=0
[FREE POLY] k=15 disc=1 raw=40 facets=6 vertices=9 rho=12 anchor_shift=0
[FREE POLY] k=15 disc=2 raw=40 facets=5 vertices=7 rho=16 anchor_shift=0
[FREE POLY] k=16 disc=0 raw=40 facets=4 vertices=7 rho=16.8 anchor_shift=0
[FREE POLY] k=16 disc=1 raw=40 facets=5 vertices=8 rho=12.8 anchor_shift=0
[FREE POLY] k=16 disc=2 raw=40 facets=2 vertices=4 rho=16.8 anchor_shift=0
[FREE POLY] k=17 disc=0 raw=40 facets=4 vertices=7 rho=17.6 anchor_shift=0
[FREE POLY] k=17 disc=1 raw=40 facets=4 vertices=7 rho=13.6 anchor_shift=0
experiment_runner: Free-space polygon became empty at k=17, disc=2
