case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,min_vertex_distance,rho_over_min_vertex_distance,zero_min_vertex_distance,any_vertex_reachable,max_q,q_gt_0_9,q_near_one,q_exactly_one
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,0,0,0,1,0.007981268258392552,0.0034633562463640645,2.304489544432955,0,1,0.6,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,1,0,0,2,0.006869661612444263,0.00330382099029964,2.079308059551138,0,1,0.42857142857142855,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,10,0,0,11,0.00384497694361605,0.004162814447777453,0.9236484094718422,0,0,0.6665261131357879,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,11,0,0,12,0.0036570673500014544,0.003854457822016122,0.9487890434584078,0,0,0.8166297587916533,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,12,0,0,13,0.0036466961541434177,0.003987370160706333,0.914561730455803,0,0,0.7812760796719176,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,13,0,0,14,0.0034774415488606986,0.0037301204729188815,0.9322598490068452,0,0,0.3548387096774194,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,14,0,0,15,0.00332039813235342,0.003504052565469252,0.9475879914229433,0,0,0.7570659230323029,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,15,0,0,16,0.0032944824167668897,0.0036342030893295523,0.9065212746199786,0,0,0.7280070052103516,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,16,0,0,17,0.0032507389959771206,0.0037502832862859265,0.8667982517119321,0,0,0.7003011884474806,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,17,0,0,18,0.0031545561485274544,0.003854457822016066,0.8184176074022963,0,0,0.7217840243922531,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,18,0,0,19,0.0030383961447550865,0.0036664354892348176,0.8287057425873863,0,0,0.7141755862227106,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,19,0,0,20,0.003003224847221956,0.0037648192680157164,0.7977075746334124,0,0,0.3953488372093023,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,2,0,0,3,0.0058688738432747444,0.002569638548010831,2.283929717593109,0,1,1.0,1,1,1
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,20,0,0,21,0.0029271655137611307,0.003854457822016074,0.7594234128186871,0,0,0.7089086904481394,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,21,0,0,22,0.002833111974791154,0.003690438340228171,0.7676898280370644,0,0,0.7026114834749172,0,0,0
