step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,38.856601999999995,1,0,0,8.9954801793955887,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,37.834699000000001,1,0,0,7.5795682984646646,40,1,-1,-1,-1,-1,1,-1,-1,0,0
2,40.702728,1,0,0,4.567078934510376e-05,40,1,-1,-1,-1,-1,1,-1,-1,0,0
3,42.237983,1,0,0,0.0068772678340914689,40,1,-1,-1,-1,-1,1,-1,-1,0,0
4,37.858623000000001,1,0,0,0.010382876875819637,40,1,-1,-1,-1,-1,1,-1,-1,0,0
5,37.930098000000001,1,0,0,0.00073452750944700683,40,1,-1,-1,-1,-1,1,-1,-1,0,0
6,38.121825999999999,1,0,0,0.0038967878086652655,40,1,-1,-1,-1,-1,1,-1,-1,0,0
7,39.854550000000003,1,0,0,0.023015510165104502,40,1,-1,-1,-1,-1,1,-1,-1,0,0
8,39.484718000000001,1,0,0,0.016388388570379119,40,1,-1,-1,-1,-1,1,-1,-1,0,0
9,39.966890999999997,1,0,0,0.45941488514848405,40,1,-1,-1,-1,-1,1,-1,-1,0,0
10,39.843990000000005,1,0,0,0.41658512430609024,40,1,-1,-1,-1,-1,1,-1,-1,0,0
11,38.591656,1,0,0,0.59534581836369349,40,1,-1,-1,-1,-1,1,-1,-1,0,0
12,38.404114,1,0,0,0.42287349473268704,40,1,-1,-1,-1,-1,1,-1,-1,0,0
13,37.922812999999998,1,0,0,0.093176994383331366,40,1,-1,-1,-1,-1,1,-1,-1,0,0
14,42.281945,1,0,0,2.1560645252767365,40,1,-1,-1,-1,-1,1,-1,-1,0,0
15,38.177850999999997,1,0,0,0.98177679670917128,40,1,-1,-1,-1,-1,1,-1,-1,0,0
16,37.552951999999998,1,0,0,0.75363310374633397,40,1,-1,-1,-1,-1,1,-1,-1,0,0
17,39.116529,1,0,0,0.24624852510170667,40,1,-1,-1,-1,-1,1,-1,-1,0,0
18,37.136682,1,0,0,0.4884848663522583,40,1,-1,-1,-1,-1,1,-1,-1,0,0
19,40.493577000000002,1,0,0,0.21506974281783203,40,1,-1,-1,-1,-1,1,-1,-1,0,0
20,43.545551000000003,1,0,0,0.70715241836794729,40,1,-1,-1,-1,-1,1,-1,-1,0,0
21,40.518393000000003,1,0,0,0.83026532745561021,40,1,-1,-1,-1,-1,1,-1,-1,0,0
22,41.397108000000003,1,0,0,1.029770999610033,40,1,-1,-1,-1,-1,1,-1,-1,0,0
23,41.640242999999998,1,0,0,0.67493915653707282,40,1,-1,-1,-1,-1,1,-1,-1,0,0
24,36.880271999999998,1,0,0,3.3869327974715517,40,1,-1,-1,-1,-1,1,-1,-1,0,0
25,38.205812999999999,1,0,0,0.74466972221265526,40,1,-1,-1,-1,-1,1,-1,-1,0,0
26,36.9221,1,0,0,0.8311761456345208,40,1,-1,-1,-1,-1,1,-1,-1,0,0
27,36.982772999999995,1,0,0,1.0849757461032121,40,1,-1,-1,-1,-1,1,-1,-1,0,0
28,35.966551000000003,1,0,0,0.96467212884232501,40,1,-1,-1,-1,-1,1,-1,-1,0,0
