step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,41.045782000000003,1,0,0,8.9954801793955887,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,38.818882000000002,1,0,0,7.5795682984646646,40,1,-1,-1,-1,-1,1,-1,-1,0,0
2,37.786580000000001,1,0,0,4.5559031325909981e-05,40,1,-1,-1,-1,-1,1,-1,-1,0,0
3,40.801484000000002,1,0,0,0.0098890890347973423,40,1,-1,-1,-1,-1,1,-1,-1,0,0
4,39.377118000000003,1,0,0,0.014956846394810465,40,1,-1,-1,-1,-1,1,-1,-1,0,0
5,57.523572999999999,1,0,0,0.00041890569994745987,40,1,-1,-1,-1,-1,1,-1,-1,0,0
6,58.176124999999999,1,0,0,0.0047037812977181025,40,1,-1,-1,-1,-1,1,-1,-1,0,0
7,44.564219000000001,1,0,0,0.020965236602471359,40,1,-1,-1,-1,-1,1,-1,-1,0,0
8,47.511317999999996,1,0,0,0.016262346032682819,40,1,-1,-1,-1,-1,1,-1,-1,0,0
9,39.215865000000001,1,0,0,0.43820200319636143,40,1,-1,-1,-1,-1,1,-1,-1,0,0
10,43.228869000000003,1,0,0,0.42988703582702503,40,1,-1,-1,-1,-1,1,-1,-1,0,0
11,56.366918000000005,1,0,0,0.59837566840480394,40,1,-1,-1,-1,-1,1,-1,-1,0,0
12,54.790296000000005,1,0,0,0.42436433695560904,40,1,-1,-1,-1,-1,1,-1,-1,0,0
13,41.715225000000004,1,0,0,0.087112858568045584,40,1,-1,-1,-1,-1,1,-1,-1,0,0
14,41.701539000000004,1,0,0,2.5931456175482692,40,1,-1,-1,-1,-1,1,-1,-1,0,0
15,41.007088999999993,1,0,0,1.062997131512414,40,1,-1,-1,-1,-1,1,-1,-1,0,0
16,39.135914999999997,1,0,0,0.780824139734974,40,1,-1,-1,-1,-1,1,-1,-1,0,0
17,40.575220999999999,1,0,0,0.32813240508705888,40,1,-1,-1,-1,-1,1,-1,-1,0,0
18,40.332806999999995,1,0,0,0.53875783122444243,40,1,-1,-1,-1,-1,1,-1,-1,0,0
19,42.122597999999996,1,0,0,0.23446004378825722,40,1,-1,-1,-1,-1,1,-1,-1,0,0
20,42.906925999999999,1,0,0,0.51486962516068779,40,1,-1,-1,-1,-1,1,-1,-1,0,0
21,45.225448,1,0,0,0.6708022557068275,40,1,-1,-1,-1,-1,1,-1,-1,0,0
22,48.249347999999998,1,0,0,1.3176712847828402,40,1,-1,-1,-1,-1,1,-1,-1,0,0
23,43.999651999999998,1,0,0,1.3045442757716375,40,1,-1,-1,-1,-1,1,-1,-1,0,0
24,39.221617000000002,1,0,0,3.1339965427112029,40,1,-1,-1,-1,-1,1,-1,-1,0,0
25,40.677221000000003,1,0,0,0.75844086743721073,40,1,-1,-1,-1,-1,1,-1,-1,0,0
26,38.383276000000002,1,0,0,0.83948052718407562,40,1,-1,-1,-1,-1,1,-1,-1,0,0
27,38.595254000000004,1,0,0,1.0812520075537579,40,1,-1,-1,-1,-1,1,-1,-1,0,0
28,36.703752000000001,1,0,0,1.0373540461114414,40,1,-1,-1,-1,-1,1,-1,-1,0,0
29,40.958618999999999,1,0,0,0.88382059700784299,40,1,-1,-1,-1,-1,1,-1,-1,0,0
30,37.855338000000003,1,0,0,0.83953567200024226,40,1,-1,-1,-1,-1,1,-1,-1,0,0
31,40.163800000000002,1,0,0,0.74703098894963493,40,1,-1,-1,-1,-1,1,-1,-1,0,0
32,39.976139000000003,1,0,0,0.68496033011817081,40,1,-1,-1,-1,-1,1,-1,-1,0,0
33,39.384982000000001,1,0,0,0.6472749206063908,40,1,-1,-1,-1,-1,1,-1,-1,0,0
34,42.528967999999999,1,0,0,0.63769038334238592,40,1,-1,-1,-1,-1,1,-1,-1,0,0
35,39.182752999999998,1,0,0,0.03385606200336367,40,1,-1,-1,-1,-1,1,-1,-1,0,0
36,36.517362999999996,1,0,0,0.24654418288140301,40,1,-1,-1,-1,-1,1,-1,-1,0,0
