step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.017721314264414,0.95,2.067721314264414
1,0.1,0,2.882198248145847,0.95,1.9321982481458468
2,0.2,0,2.7182931300437554,0.95,1.7682931300437554
3,0.30000000000000004,0,2.5384975599684014,0.95,1.5884975599684015
4,0.4,0,2.3567050848585223,0.95,1.4067050848585223
5,0.5,0,2.1789045744167486,0.95,1.2289045744167486
6,0.6000000000000001,0,2.004487101212953,0.95,1.0544871012129529
7,0.7000000000000001,0,1.828259162493749,0.95,0.878259162493749
8,0.8,0,1.653853564287921,0.95,0.7038535642879211
9,0.9,0,1.4799222022913525,0.95,0.5299222022913526
10,1.0,0,1.3030496040754034,0.95,0.3530496040754034
11,1.1,0,1.1218545846068626,0.95,0.17185458460686265
12,1.2000000000000002,0,1.0029732445344217,0.95,0.05297324453442176
13,1.3,0,0.9568012538204674,0.95,0.006801253820467479
14,1.4000000000000001,0,0.9545959402840468,0.95,0.004595940284046862
15,1.5,0,0.9564126872725857,0.95,0.006412687272585704
16,1.6,0,0.9555426915117454,0.95,0.005542691511745468
17,1.7000000000000002,0,0.9533675421883698,0.95,0.0033675421883698764
18,1.8,0,0.9564019883435403,0.95,0.006401988343540332
19,1.9000000000000001,0,0.9582012899560408,0.95,0.008201289956040858
20,2.0,0,0.9572466391129714,0.95,0.007246639112971409
21,2.1,0,1.0886040512862094,0.95,0.13860405128620945
22,2.2,0,1.2428863998177035,0.95,0.2928863998177036
23,2.3000000000000003,0,1.2206939149325153,0.95,0.2706939149325154
24,2.4000000000000004,0,1.117317951589224,0.95,0.16731795158922402
25,2.5,0,1.0490429381765973,0.95,0.09904293817659737
26,2.6,0,1.008194218177792,0.95,0.058194218177792134
27,2.7,0,0.9842439886075631,0.95,0.03424398860756317
28,2.8000000000000003,0,0.9785419955390521,0.95,0.028541995539052123
29,2.9000000000000004,0,0.9905729056165066,0.95,0.040572905616506616
30,3.0,0,1.0197381829499093,0.95,0.0697381829499093
31,3.1,0,1.0645136650152054,0.95,0.11451366501520543
32,3.2,0,1.124948825730097,0.95,0.17494882573009707
33,3.3000000000000003,0,1.2107802666270795,0.95,0.26078026662707954
34,3.4000000000000004,0,1.3247827056333845,0.95,0.37478270563338456
35,3.5,0,1.3073479556132264,0.95,0.3573479556132264
36,3.6,0,1.1251354025742224,0.95,0.17513540257422244
37,3.7,0,1.0161064643823905,0.95,0.06610646438239054
38,3.8000000000000003,0,0.9956162078281622,0.95,0.045616207828162225
39,3.9000000000000004,0,0.9795865776229286,0.95,0.0295865776229286
40,4.0,0,0.9753719583049639,0.95,0.02537195830496397
41,4.1000000000000005,0,0.9725257114298902,0.95,0.02252571142989024
42,4.2,0,0.9958678425837194,0.95,0.045867842583719454
43,4.3,0,1.070984114957558,0.95,0.12098411495755812
44,4.4,0,1.182391381684357,0.95,0.23239138168435702
45,4.5,0,1.316143919954953,0.95,0.366143919954953
46,4.6000000000000005,0,1.4572528192210232,0.95,0.5072528192210233
47,4.7,0,1.6109636269118266,0.95,0.6609636269118266
48,4.800000000000001,0,1.7715794841872947,0.95,0.8215794841872948
49,4.9,0,1.937374644466359,0.95,0.9873746444663591
50,5.0,0,2.107003610541305,0.95,1.1570036105413048
51,5.1000000000000005,0,2.2790195668745095,0.95,1.3290195668745095
52,5.2,0,2.4528321140902016,0.95,1.5028321140902017
53,5.300000000000001,0,2.62835161161521,0.95,1.67835161161521
54,5.4,0,2.8052014321863776,0.95,1.8552014321863777
55,5.5,0,2.9834369503171643,0.95,2.0334369503171645
56,5.6000000000000005,0,3.162838900240384,0.95,2.212838900240384
57,5.7,0,3.342544518696411,0.95,2.392544518696411
58,5.800000000000001,0,3.522483680898996,0.95,2.572483680898996
59,5.9,0,3.702882694488922,0.95,2.752882694488922
60,6.0,0,3.88339640832712,0.95,2.93339640832712
