step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,1,55.887053999999999,40,10
1,0,1,1,46.996668,40,10
2,0,1,1,39.106274000000006,40,10
3,0,1,1,37.356867999999999,40,10
4,0,1,1,37.767626999999997,40,10
5,0,1,1,38.023887000000002,40,10
6,0,1,1,39.685549000000002,40,10
7,0,1,1,41.104235000000003,40,10
8,0,1,1,37.956590999999996,40,10
9,0,1,1,41.478826000000005,40,10
10,0,1,1,43.242178000000003,40,10
11,0,1,1,38.421742000000002,40,10
12,0,1,1,41.794006000000003,40,10
13,0,1,1,38.585397999999998,40,10
14,0,1,1,39.578086999999996,40,10
15,0,1,1,37.930051999999996,40,10
16,0,1,1,38.223711999999999,40,10
17,0,1,1,39.484721999999998,40,10
18,0,1,1,38.741481,40,10
19,0,1,1,41.661417999999998,40,10
20,0,1,1,37.469700000000003,40,10
21,0,1,1,41.742791000000004,40,10
22,0,1,1,47.124095999999994,40,10
23,0,1,1,43.903515999999996,40,10
24,0,1,1,39.725302999999997,40,10
25,0,1,1,39.603645999999998,40,10
26,0,1,1,38.085483000000004,40,10
27,0,1,1,38.062499000000003,40,10
28,0,1,1,38.313699999999997,40,10
29,0,1,1,39.512594999999997,40,10
30,0,1,1,40.573630999999999,40,10
31,0,1,1,37.487833999999999,40,10
32,0,1,1,41.409174999999998,40,10
33,0,1,1,36.699407000000001,40,10
34,0,1,1,37.787565000000001,40,10
35,0,1,1,36.994609999999994,40,10
36,0,1,1,34.928080000000001,40,10
37,0,1,1,33.423343000000003,40,10
38,0,1,1,34.885801000000001,40,10
39,0,1,1,33.594603999999997,40,10
40,0,1,1,34.969377000000001,40,10
41,0,1,1,34.462618999999997,40,10
42,0,1,1,33.999712000000002,40,10
43,0,1,1,31.670771000000002,40,10
44,0,1,1,35.145147000000001,40,10
45,0,1,1,33.073258000000003,40,10
46,0,1,1,33.309560000000005,40,10
47,0,1,1,33.415989000000003,40,10
48,0,1,1,31.903466999999999,40,10
49,0,1,1,32.089295,40,10
50,0,1,1,33.055914999999999,40,10
51,0,1,1,31.662085000000001,40,10
52,0,1,1,30.709381,40,10
53,0,1,1,31.232581,40,10
54,0,1,1,30.444414999999999,40,10
55,0,1,1,30.240353000000002,40,10
56,0,1,1,31.177518000000003,40,10
57,0,1,1,29.856124000000001,40,10
58,0,1,1,29.757428999999998,40,10
59,0,1,1,29.771806000000002,40,10
