step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,0,60.882905999999998,40,10
1,0,1,0,45.257221999999999,40,10
2,0,1,0,39.904450000000004,40,10
3,0,1,0,38.190010000000001,40,10
4,0,1,0,37.228481000000002,40,10
5,0,1,0,41.100989999999996,40,10
6,0,1,0,42.807115000000003,40,10
7,0,1,0,40.612487000000002,40,10
8,0,1,0,38.604787000000002,40,10
9,0,1,0,41.736280000000001,40,10
10,0,1,0,44.137435000000004,40,10
11,0,1,0,38.476467,40,10
12,0,1,0,48.329925000000003,40,10
13,0,1,0,37.966311000000005,40,10
14,0,1,0,37.263446000000002,40,10
15,0,1,0,36.495849,40,10
16,0,1,0,37.657704000000003,40,10
17,0,1,0,37.284596000000001,40,10
18,0,1,0,38.749018000000007,40,10
19,0,1,0,40.697625000000002,40,10
20,0,1,0,36.092864000000006,40,10
21,0,1,0,40.432759999999995,40,10
22,0,1,0,43.380118000000003,40,10
23,0,1,0,46.590488000000001,40,10
24,0,1,0,41.760304999999995,40,10
25,0,1,0,42.483378999999999,40,10
26,0,1,0,37.276620000000001,40,10
27,0,1,0,37.206097999999997,40,10
28,0,1,0,43.137022999999999,40,10
29,0,1,0,44.206685,40,10
30,0,1,0,39.035792999999998,40,10
31,0,1,0,36.088726000000001,40,10
32,0,1,0,37.533110000000001,40,10
33,0,1,0,36.162544999999994,40,10
34,0,1,0,37.029496999999999,40,10
35,0,1,0,37.859882999999996,40,10
36,0,1,0,34.695699000000005,40,10
37,0,1,0,35.246029,40,10
38,0,1,0,35.114432000000001,40,10
39,0,1,0,33.525789000000003,40,10
40,0,1,0,33.735281000000001,40,10
41,0,1,0,32.925564999999999,40,10
42,0,1,0,34.673656999999999,40,10
43,0,1,0,31.670494000000001,40,10
44,0,1,0,34.704414,40,10
45,0,1,0,33.677200999999997,40,10
46,0,1,0,34.041263999999998,40,10
47,0,1,0,32.993240999999998,40,10
48,0,1,0,32.022384000000002,40,10
49,0,1,0,32.415009000000005,40,10
50,0,1,0,33.601118999999997,40,10
51,0,1,0,31.761194,40,10
52,0,1,0,32.171081999999998,40,10
53,0,1,0,31.946721999999998,40,10
54,0,1,0,31.359251999999998,40,10
55,0,1,0,30.245968000000001,40,10
56,0,1,0,30.640276,40,10
57,0,1,0,29.270781999999997,40,10
58,0,1,0,28.713629000000001,40,10
59,0,1,0,28.92811,40,10
