step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.59999999999999998,0.59999999999999998,,,20,40,constant_velocity
0,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,13,40,constant_velocity
0,0,0,turn_right,0.20000000000000001,0.20000000000000001,,,7,40,constant_velocity
1,0,0,constant_velocity,0.42857142857142855,0.42857142857142855,,,12,40,turn_right
1,0,0,turn_left,0.14285714285714285,0.14285714285714285,,,5,40,turn_right
1,0,0,turn_right,0.42857142857142855,0.42857142857142855,,,23,40,turn_right
2,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,11,40,turn_right
2,0,0,turn_left,0.1111111111111111,0.1111111111111111,,,6,40,turn_right
2,0,0,turn_right,0.55555555555555558,0.55555555555555558,,,23,40,turn_right
3,0,0,constant_velocity,0.27272727272727271,0.27272727272727271,,,12,40,turn_left
3,0,0,turn_left,0.27272727272727271,0.27272727272727271,,,13,40,turn_left
3,0,0,turn_right,0.45454545454545453,0.45454545454545453,,,15,40,turn_left
4,0,0,constant_velocity,0.23076923076923078,0.23076923076923078,,,12,40,turn_right
4,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,7,40,turn_right
4,0,0,turn_right,0.53846153846153844,0.53846153846153844,,,21,40,turn_right
5,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,8,40,turn_left
5,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,12,40,turn_left
5,0,0,turn_right,0.46666666666666667,0.46666666666666667,,,20,40,turn_left
6,0,0,constant_velocity,0.17647058823529413,0.17647058823529413,,,5,40,turn_left
6,0,0,turn_left,0.41176470588235292,0.41176470588235292,,,14,40,turn_left
6,0,0,turn_right,0.41176470588235292,0.41176470588235292,,,21,40,turn_left
7,0,0,constant_velocity,0.15789473684210525,0.15789473684210525,,,4,40,turn_right
7,0,0,turn_left,0.36842105263157893,0.36842105263157893,,,18,40,turn_right
7,0,0,turn_right,0.47368421052631576,0.47368421052631576,,,18,40,turn_right
8,0,0,constant_velocity,0.14285714285714285,0.14285714285714285,,,10,40,turn_right
8,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,15,40,turn_right
8,0,0,turn_right,0.52380952380952384,0.52380952380952384,,,15,40,turn_right
9,0,0,constant_velocity,0.13043478260869565,0.13043478260869565,,,6,40,turn_left
9,0,0,turn_left,0.39130434782608697,0.39130434782608697,,,9,40,turn_left
9,0,0,turn_right,0.47826086956521741,0.47826086956521741,,,25,40,turn_left
10,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,7,40,constant_velocity
10,0,0,turn_left,0.35999999999999999,0.35999999999999999,,,13,40,constant_velocity
10,0,0,turn_right,0.44,0.44,,,20,40,constant_velocity
11,0,0,constant_velocity,0.25925925925925924,0.25925925925925924,,,7,40,constant_velocity
11,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,14,40,constant_velocity
11,0,0,turn_right,0.40740740740740738,0.40740740740740738,,,19,40,constant_velocity
12,0,0,constant_velocity,0.2413793103448276,0.2413793103448276,,,4,40,turn_right
12,0,0,turn_left,0.31034482758620691,0.31034482758620691,,,9,40,turn_right
12,0,0,turn_right,0.44827586206896552,0.44827586206896552,,,27,40,turn_right
13,0,0,constant_velocity,0.22580645161290322,0.22580645161290322,,,11,40,turn_left
13,0,0,turn_left,0.35483870967741937,0.35483870967741937,,,14,40,turn_left
13,0,0,turn_right,0.41935483870967744,0.41935483870967744,,,15,40,turn_left
14,0,0,constant_velocity,0.27272727272727271,0.27272727272727271,,,10,40,constant_velocity
14,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,10,40,constant_velocity
14,0,0,turn_right,0.39393939393939392,0.39393939393939392,,,20,40,constant_velocity
15,0,0,constant_velocity,0.31428571428571428,0.31428571428571428,,,14,40,constant_velocity
15,0,0,turn_left,0.31428571428571428,0.31428571428571428,,,13,40,constant_velocity
15,0,0,turn_right,0.37142857142857144,0.37142857142857144,,,13,40,constant_velocity
16,0,0,constant_velocity,0.29729729729729731,0.29729729729729731,,,9,40,turn_left
16,0,0,turn_left,0.35135135135135137,0.35135135135135137,,,17,40,turn_left
16,0,0,turn_right,0.35135135135135137,0.35135135135135137,,,14,40,turn_left
17,0,0,constant_velocity,0.28205128205128205,0.28205128205128205,,,11,40,turn_right
17,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,16,40,turn_right
17,0,0,turn_right,0.38461538461538464,0.38461538461538464,,,13,40,turn_right
18,0,0,constant_velocity,0.26829268292682928,0.26829268292682928,,,6,40,turn_right
18,0,0,turn_left,0.31707317073170732,0.31707317073170732,,,17,40,turn_right
18,0,0,turn_right,0.41463414634146339,0.41463414634146339,,,17,40,turn_right
19,0,0,constant_velocity,0.2558139534883721,0.2558139534883721,,,9,40,turn_right
19,0,0,turn_left,0.30232558139534882,0.30232558139534882,,,10,40,turn_right
19,0,0,turn_right,0.44186046511627908,0.44186046511627908,,,21,40,turn_right
20,0,0,constant_velocity,0.28888888888888886,0.28888888888888886,,,17,40,constant_velocity
20,0,0,turn_left,0.28888888888888886,0.28888888888888886,,,9,40,constant_velocity
20,0,0,turn_right,0.42222222222222222,0.42222222222222222,,,14,40,constant_velocity
21,0,0,constant_velocity,0.27659574468085107,0.27659574468085107,,,12,40,turn_left
21,0,0,turn_left,0.31914893617021278,0.31914893617021278,,,12,40,turn_left
21,0,0,turn_right,0.40425531914893614,0.40425531914893614,,,16,40,turn_left
22,0,0,constant_velocity,0.26530612244897961,0.26530612244897961,,,9,40,turn_right
22,0,0,turn_left,0.30612244897959184,0.30612244897959184,,,13,40,turn_right
22,0,0,turn_right,0.42857142857142855,0.42857142857142855,,,18,40,turn_right
23,0,0,constant_velocity,0.29411764705882354,0.29411764705882354,,,10,40,constant_velocity
23,0,0,turn_left,0.29411764705882354,0.29411764705882354,,,19,40,constant_velocity
23,0,0,turn_right,0.41176470588235292,0.41176470588235292,,,11,40,constant_velocity
24,0,0,constant_velocity,0.32075471698113206,0.32075471698113206,,,13,40,constant_velocity
24,0,0,turn_left,0.28301886792452829,0.28301886792452829,,,11,40,constant_velocity
24,0,0,turn_right,0.39622641509433965,0.39622641509433965,,,16,40,constant_velocity
25,0,0,constant_velocity,0.34545454545454546,0.34545454545454546,,,14,40,constant_velocity
25,0,0,turn_left,0.27272727272727271,0.27272727272727271,,,13,40,constant_velocity
25,0,0,turn_right,0.38181818181818183,0.38181818181818183,,,13,40,constant_velocity
26,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,12,40,turn_left
26,0,0,turn_left,0.2982456140350877,0.2982456140350877,,,10,40,turn_left
26,0,0,turn_right,0.36842105263157893,0.36842105263157893,,,18,40,turn_left
27,0,0,constant_velocity,0.3559322033898305,0.3559322033898305,,,13,40,constant_velocity
27,0,0,turn_left,0.28813559322033899,0.28813559322033899,,,15,40,constant_velocity
27,0,0,turn_right,0.3559322033898305,0.3559322033898305,,,12,40,constant_velocity
28,0,0,constant_velocity,0.37704918032786883,0.37704918032786883,,,13,40,constant_velocity
28,0,0,turn_left,0.27868852459016391,0.27868852459016391,,,15,40,constant_velocity
28,0,0,turn_right,0.34426229508196721,0.34426229508196721,,,12,40,constant_velocity
29,0,0,constant_velocity,0.3968253968253968,0.3968253968253968,,,15,40,constant_velocity
29,0,0,turn_left,0.26984126984126983,0.26984126984126983,,,7,40,constant_velocity
29,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,18,40,constant_velocity
30,0,0,constant_velocity,0.41538461538461541,0.41538461538461541,,,14,40,constant_velocity
30,0,0,turn_left,0.26153846153846155,0.26153846153846155,,,8,40,constant_velocity
30,0,0,turn_right,0.32307692307692309,0.32307692307692309,,,18,40,constant_velocity
31,0,0,constant_velocity,0.40298507462686567,0.40298507462686567,,,16,40,turn_right
31,0,0,turn_left,0.2537313432835821,0.2537313432835821,,,11,40,turn_right
31,0,0,turn_right,0.34328358208955223,0.34328358208955223,,,13,40,turn_right
32,0,0,constant_velocity,0.42028985507246375,0.42028985507246375,,,20,40,constant_velocity
32,0,0,turn_left,0.24637681159420291,0.24637681159420291,,,7,40,constant_velocity
32,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,13,40,constant_velocity
33,0,0,constant_velocity,0.43661971830985913,0.43661971830985913,,,22,40,constant_velocity
33,0,0,turn_left,0.23943661971830985,0.23943661971830985,,,7,40,constant_velocity
33,0,0,turn_right,0.323943661971831,0.323943661971831,,,11,40,constant_velocity
34,0,0,constant_velocity,0.45205479452054792,0.45205479452054792,,,20,40,constant_velocity
34,0,0,turn_left,0.23287671232876711,0.23287671232876711,,,4,40,constant_velocity
34,0,0,turn_right,0.31506849315068491,0.31506849315068491,,,16,40,constant_velocity
35,0,0,constant_velocity,0.44,0.44,,,14,40,turn_left
35,0,0,turn_left,0.25333333333333335,0.25333333333333335,,,14,40,turn_left
35,0,0,turn_right,0.30666666666666664,0.30666666666666664,,,12,40,turn_left
36,0,0,constant_velocity,0.42857142857142855,0.42857142857142855,,,20,40,turn_right
36,0,0,turn_left,0.24675324675324675,0.24675324675324675,,,6,40,turn_right
36,0,0,turn_right,0.32467532467532467,0.32467532467532467,,,14,40,turn_right
37,0,0,constant_velocity,0.41772151898734178,0.41772151898734178,,,12,40,turn_left
37,0,0,turn_left,0.26582278481012656,0.26582278481012656,,,14,40,turn_left
37,0,0,turn_right,0.31645569620253167,0.31645569620253167,,,14,40,turn_left
38,0,0,constant_velocity,0.40740740740740738,0.40740740740740738,,,13,40,turn_right
38,0,0,turn_left,0.25925925925925924,0.25925925925925924,,,14,40,turn_right
38,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,13,40,turn_right
39,0,0,constant_velocity,0.39759036144578314,0.39759036144578314,,,17,40,turn_right
39,0,0,turn_left,0.25301204819277107,0.25301204819277107,,,7,40,turn_right
39,0,0,turn_right,0.3493975903614458,0.3493975903614458,,,16,40,turn_right
40,0,0,constant_velocity,0.41176470588235292,0.41176470588235292,,,11,40,constant_velocity
40,0,0,turn_left,0.24705882352941178,0.24705882352941178,,,11,40,constant_velocity
40,0,0,turn_right,0.3411764705882353,0.3411764705882353,,,18,40,constant_velocity
41,0,0,constant_velocity,0.40229885057471265,0.40229885057471265,,,18,40,turn_left
41,0,0,turn_left,0.26436781609195403,0.26436781609195403,,,9,40,turn_left
41,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,13,40,turn_left
42,0,0,constant_velocity,0.39325842696629215,0.39325842696629215,,,18,40,turn_left
42,0,0,turn_left,0.2808988764044944,0.2808988764044944,,,8,40,turn_left
42,0,0,turn_right,0.3258426966292135,0.3258426966292135,,,14,40,turn_left
43,0,0,constant_velocity,0.40659340659340659,0.40659340659340659,,,18,40,constant_velocity
43,0,0,turn_left,0.27472527472527475,0.27472527472527475,,,7,40,constant_velocity
43,0,0,turn_right,0.31868131868131866,0.31868131868131866,,,15,40,constant_velocity
44,0,0,constant_velocity,0.39784946236559138,0.39784946236559138,,,14,40,turn_left
44,0,0,turn_left,0.29032258064516131,0.29032258064516131,,,14,40,turn_left
44,0,0,turn_right,0.31182795698924731,0.31182795698924731,,,12,40,turn_left
45,0,0,constant_velocity,0.38947368421052631,0.38947368421052631,,,20,40,turn_left
45,0,0,turn_left,0.30526315789473685,0.30526315789473685,,,12,40,turn_left
45,0,0,turn_right,0.30526315789473685,0.30526315789473685,,,8,40,turn_left
46,0,0,constant_velocity,0.38144329896907214,0.38144329896907214,,,15,40,turn_left
46,0,0,turn_left,0.31958762886597936,0.31958762886597936,,,14,40,turn_left
46,0,0,turn_right,0.29896907216494845,0.29896907216494845,,,11,40,turn_left
47,0,0,constant_velocity,0.37373737373737376,0.37373737373737376,,,16,40,turn_right
47,0,0,turn_left,0.31313131313131315,0.31313131313131315,,,9,40,turn_right
47,0,0,turn_right,0.31313131313131315,0.31313131313131315,,,15,40,turn_right
48,0,0,constant_velocity,0.38613861386138615,0.38613861386138615,,,14,40,constant_velocity
48,0,0,turn_left,0.30693069306930693,0.30693069306930693,,,13,40,constant_velocity
48,0,0,turn_right,0.30693069306930693,0.30693069306930693,,,13,40,constant_velocity
49,0,0,constant_velocity,0.39805825242718446,0.39805825242718446,,,18,40,constant_velocity
49,0,0,turn_left,0.30097087378640774,0.30097087378640774,,,15,40,constant_velocity
49,0,0,turn_right,0.30097087378640774,0.30097087378640774,,,7,40,constant_velocity
50,0,0,constant_velocity,0.39047619047619048,0.39047619047619048,,,17,40,turn_left
50,0,0,turn_left,0.31428571428571428,0.31428571428571428,,,15,40,turn_left
50,0,0,turn_right,0.29523809523809524,0.29523809523809524,,,8,40,turn_left
51,0,0,constant_velocity,0.38317757009345793,0.38317757009345793,,,18,40,turn_left
51,0,0,turn_left,0.32710280373831774,0.32710280373831774,,,15,40,turn_left
51,0,0,turn_right,0.28971962616822428,0.28971962616822428,,,7,40,turn_left
52,0,0,constant_velocity,0.39449541284403672,0.39449541284403672,,,16,40,constant_velocity
52,0,0,turn_left,0.32110091743119268,0.32110091743119268,,,8,40,constant_velocity
52,0,0,turn_right,0.28440366972477066,0.28440366972477066,,,16,40,constant_velocity
53,0,0,constant_velocity,0.40540540540540543,0.40540540540540543,,,15,40,constant_velocity
53,0,0,turn_left,0.31531531531531531,0.31531531531531531,,,13,40,constant_velocity
53,0,0,turn_right,0.27927927927927926,0.27927927927927926,,,12,40,constant_velocity
54,0,0,constant_velocity,0.39823008849557523,0.39823008849557523,,,15,40,turn_right
54,0,0,turn_left,0.30973451327433627,0.30973451327433627,,,14,40,turn_right
54,0,0,turn_right,0.29203539823008851,0.29203539823008851,,,11,40,turn_right
55,0,0,constant_velocity,0.39130434782608697,0.39130434782608697,,,15,40,turn_right
55,0,0,turn_left,0.30434782608695654,0.30434782608695654,,,11,40,turn_right
55,0,0,turn_right,0.30434782608695654,0.30434782608695654,,,14,40,turn_right
56,0,0,constant_velocity,0.38461538461538464,0.38461538461538464,,,18,40,turn_left
56,0,0,turn_left,0.31623931623931623,0.31623931623931623,,,14,40,turn_left
56,0,0,turn_right,0.29914529914529914,0.29914529914529914,,,8,40,turn_left
57,0,0,constant_velocity,0.37815126050420167,0.37815126050420167,,,18,40,turn_left
57,0,0,turn_left,0.32773109243697479,0.32773109243697479,,,12,40,turn_left
57,0,0,turn_right,0.29411764705882354,0.29411764705882354,,,10,40,turn_left
58,0,0,constant_velocity,0.38842975206611569,0.38842975206611569,,,14,40,constant_velocity
58,0,0,turn_left,0.32231404958677684,0.32231404958677684,,,15,40,constant_velocity
58,0,0,turn_right,0.28925619834710742,0.28925619834710742,,,11,40,constant_velocity
59,0,0,constant_velocity,0.38211382113821141,0.38211382113821141,,,14,40,turn_left
59,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,16,40,turn_left
59,0,0,turn_right,0.28455284552845528,0.28455284552845528,,,10,40,turn_left
