step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
0,0,0,constant_velocity,constant_velocity,0,1
0,0,0,constant_velocity,turn_left,0.012870269107658953,1
0,0,0,constant_velocity,turn_right,0.012870269107658953,1
0,0,0,turn_left,constant_velocity,0.012870269107658953,1
0,0,0,turn_left,turn_left,0,1
0,0,0,turn_left,turn_right,0.025678114876868108,1
0,0,0,turn_right,constant_velocity,0.012870269107658953,1
0,0,0,turn_right,turn_left,0.025678114876868108,1
0,0,0,turn_right,turn_right,0,1
1,0,0,constant_velocity,constant_velocity,0,2
1,0,0,constant_velocity,turn_left,0.012870269107658953,2
1,0,0,constant_velocity,turn_right,0.012870269107658953,2
1,0,0,turn_left,constant_velocity,0.012870269107658953,2
1,0,0,turn_left,turn_left,0,2
1,0,0,turn_left,turn_right,0.025678114876868108,2
1,0,0,turn_right,constant_velocity,0.012870269107658953,2
1,0,0,turn_right,turn_left,0.025678114876868108,2
1,0,0,turn_right,turn_right,0,2
2,0,0,constant_velocity,constant_velocity,0,3
2,0,0,constant_velocity,turn_left,0.012870269107659151,3
2,0,0,constant_velocity,turn_right,0.012870269107658244,3
2,0,0,turn_left,constant_velocity,0.012870269107659151,3
2,0,0,turn_left,turn_left,0,3
2,0,0,turn_left,turn_right,0.025678114876868014,3
2,0,0,turn_right,constant_velocity,0.012870269107658244,3
2,0,0,turn_right,turn_left,0.025678114876868014,3
2,0,0,turn_right,turn_right,0,3
3,0,0,constant_velocity,constant_velocity,0,4
3,0,0,constant_velocity,turn_left,0.012870269107658674,4
3,0,0,constant_velocity,turn_right,0.0128702691076587,4
3,0,0,turn_left,constant_velocity,0.012870269107658674,4
3,0,0,turn_left,turn_left,0,4
3,0,0,turn_left,turn_right,0.025678114876867768,4
3,0,0,turn_right,constant_velocity,0.0128702691076587,4
3,0,0,turn_right,turn_left,0.025678114876867768,4
3,0,0,turn_right,turn_right,0,4
4,0,0,constant_velocity,constant_velocity,0,5
4,0,0,constant_velocity,turn_left,0.012870269107659258,5
4,0,0,constant_velocity,turn_right,0.012870269107658608,5
4,0,0,turn_left,constant_velocity,0.012870269107659258,5
4,0,0,turn_left,turn_left,0,5
4,0,0,turn_left,turn_right,0.025678114876868035,5
4,0,0,turn_right,constant_velocity,0.012870269107658608,5
4,0,0,turn_right,turn_left,0.025678114876868035,5
4,0,0,turn_right,turn_right,0,5
5,0,0,constant_velocity,constant_velocity,0,6
5,0,0,constant_velocity,turn_left,0.012870269107658674,6
5,0,0,constant_velocity,turn_right,0.0128702691076587,6
5,0,0,turn_left,constant_velocity,0.012870269107658674,6
5,0,0,turn_left,turn_left,0,6
5,0,0,turn_left,turn_right,0.025678114876867768,6
5,0,0,turn_right,constant_velocity,0.0128702691076587,6
5,0,0,turn_right,turn_left,0.025678114876867768,6
5,0,0,turn_right,turn_right,0,6
6,0,0,constant_velocity,constant_velocity,0,7
6,0,0,constant_velocity,turn_left,0.012870269107659258,7
6,0,0,constant_velocity,turn_right,0.012870269107658608,7
6,0,0,turn_left,constant_velocity,0.012870269107659258,7
6,0,0,turn_left,turn_left,0,7
6,0,0,turn_left,turn_right,0.025678114876868035,7
6,0,0,turn_right,constant_velocity,0.012870269107658608,7
6,0,0,turn_right,turn_left,0.025678114876868035,7
6,0,0,turn_right,turn_right,0,7
7,0,0,constant_velocity,constant_velocity,0,8
7,0,0,constant_velocity,turn_left,0.012870269107658908,8
7,0,0,constant_velocity,turn_right,0.012870269107658908,8
7,0,0,turn_left,constant_velocity,0.012870269107658908,8
7,0,0,turn_left,turn_left,0,8
7,0,0,turn_left,turn_right,0.025678114876868108,8
7,0,0,turn_right,constant_velocity,0.012870269107658908,8
7,0,0,turn_right,turn_left,0.025678114876868108,8
7,0,0,turn_right,turn_right,0,8
8,0,0,constant_velocity,constant_velocity,0,9
8,0,0,constant_velocity,turn_left,0.012870269107659258,9
8,0,0,constant_velocity,turn_right,0.012870269107658608,9
8,0,0,turn_left,constant_velocity,0.012870269107659258,9
8,0,0,turn_left,turn_left,0,9
8,0,0,turn_left,turn_right,0.025678114876868035,9
8,0,0,turn_right,constant_velocity,0.012870269107658608,9
8,0,0,turn_right,turn_left,0.025678114876868035,9
8,0,0,turn_right,turn_right,0,9
9,0,0,constant_velocity,constant_velocity,0,10
9,0,0,constant_velocity,turn_left,0.012870269107658674,10
9,0,0,constant_velocity,turn_right,0.0128702691076587,10
9,0,0,turn_left,constant_velocity,0.012870269107658674,10
9,0,0,turn_left,turn_left,0,10
9,0,0,turn_left,turn_right,0.025678114876867768,10
9,0,0,turn_right,constant_velocity,0.0128702691076587,10
9,0,0,turn_right,turn_left,0.025678114876867768,10
9,0,0,turn_right,turn_right,0,10
10,0,0,constant_velocity,constant_velocity,0,11
10,0,0,constant_velocity,turn_left,0.012870269107659258,11
10,0,0,constant_velocity,turn_right,0.012870269107658608,11
10,0,0,turn_left,constant_velocity,0.012870269107659258,11
10,0,0,turn_left,turn_left,0,11
10,0,0,turn_left,turn_right,0.025678114876868035,11
10,0,0,turn_right,constant_velocity,0.012870269107658608,11
10,0,0,turn_right,turn_left,0.025678114876868035,11
10,0,0,turn_right,turn_right,0,11
11,0,0,constant_velocity,constant_velocity,0,12
11,0,0,constant_velocity,turn_left,0.012870269107659258,12
11,0,0,constant_velocity,turn_right,0.012870269107658608,12
11,0,0,turn_left,constant_velocity,0.012870269107659258,12
11,0,0,turn_left,turn_left,0,12
11,0,0,turn_left,turn_right,0.025678114876868035,12
11,0,0,turn_right,constant_velocity,0.012870269107658608,12
11,0,0,turn_right,turn_left,0.025678114876868035,12
11,0,0,turn_right,turn_right,0,12
12,0,0,constant_velocity,constant_velocity,0,13
12,0,0,constant_velocity,turn_left,0.012870269107659258,13
12,0,0,constant_velocity,turn_right,0.012870269107658608,13
