case,pair,profile,controller,arm,environment,obstacles,classes,scenario_budget,seed,focus_mode,safe_horizon_enabled,automatic_sample_sizing,certification_status,certificate_requested_decisions,certified_decisions,collision,safe_completion,no_admissible_control,minimum_safety_margin_m,executed_steps,decisions,first_attempt_inadmissible,final_inadmissible,fallback_invocations,failed_outer_attempts,total_scenario_draws,outer_attempts,qp_calls,cycle_total_ms,focus_checks,focus_represented,focus_realized,mean_nominal_probability,mean_sampling_probability,mean_focus_scenarios,nominal_probability_sum,sampling_probability_sum
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.0048749578205926625,60,60,0,0,0,0,2400,60,600,2214.371835,60,60,18,0.27835111229460713,0.4614350641941159,18.85,16.701066737676427,27.686103851646955
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.005061335159318614,60,60,0,0,0,0,2400,60,600,2254.168954,60,58,24,0.384947030677644,0.31020945988862697,12.7,23.09682184065864,18.612567593317618
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc_dro,C,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.004385200378042575,60,60,0,0,0,0,2400,60,600,2320.9991019999998,60,60,27,0.5056515592088626,0.6662623670201332,27.266666666666666,30.339093552531757,39.97574202120799
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc_dro,C,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.0033675421883698764,60,60,0,0,0,0,2400,60,600,2371.031443,60,59,21,0.48202330194310855,0.40517417996029553,16.333333333333332,28.921398116586513,24.310450797617733
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc_dro,C,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.004373875004751948,60,60,0,0,0,0,2400,60,600,2309.678259,60,60,33,0.5761359883228431,0.742627187689708,30.35,34.568159299370585,44.55763126138248
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc_dro,C,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.003367207108154746,60,60,0,0,0,0,2400,60,600,2286.243152,60,59,30,0.5695179799100086,0.4865230532049071,19.5,34.17107879460052,29.191383192294424
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc_dro,C,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.004387897100856186,60,60,0,0,0,0,2400,60,600,2297.836648,60,60,20,0.41147288413790883,0.5743979303505019,23.433333333333334,24.688373048274528,34.463875821030115
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc_dro,C,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.0033623309102094323,60,60,0,0,0,0,2400,60,600,2326.005339,60,55,17,0.3631408651278918,0.28249550630611764,11.683333333333334,21.788451907673508,16.94973037836706
sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40,straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,straight,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.0023613950367834535,60,60,0,0,0,0,2400,60,600,2335.4661849999998,60,60,20,0.3251251231806469,0.4835045032563945,20.116666666666667,19.507507390838814,29.010270195383672
sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40,straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,straight,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.00450745826909027,60,60,0,0,0,0,2400,60,600,2247.151945,60,59,26,0.43930026946740164,0.33346047129083156,13.433333333333334,26.3580161680441,20.007628277449893
sh_mpcc_dro_straight_o1_c1_m3_boost_15_s40,straight_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc_dro,C,straight,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.002363477324565877,60,60,0,0,0,0,2400,60,600,2351.917117,60,60,28,0.492220270104124,0.6750918481228944,27.433333333333334,29.53321620624744,40.50551088737366
sh_mpcc_dro_straight_o1_c1_m3_boost_15_s40,straight_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc_dro,C,straight,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.004056035908985067,60,60,0,0,0,0,2400,60,600,2329.750723,60,55,21,0.4552528304898015,0.3170044949589751,12.883333333333333,27.315169829388086,19.020269697538502
sh_mpcc_dro_straight_o1_c1_m3_boost_30_s40,straight_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc_dro,C,straight,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.002361930346085228,60,60,0,0,0,0,2400,60,600,2296.566692,60,60,33,0.5550572062608885,0.7247879792058556,29.55,33.303432375653315,43.48727875235134
sh_mpcc_dro_straight_o1_c1_m3_boost_30_s40,straight_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc_dro,C,straight,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.004549215242722671,60,60,0,0,0,0,2400,60,600,2203.683578,60,59,29,0.5340770345683086,0.39176221813904616,15.8,32.04462207409851,23.50573308834277
sh_mpcc_dro_straight_o1_c1_m3_boost_5_s40,straight_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc_dro,C,straight,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.002497244826278222,60,60,0,0,0,0,2400,60,600,2254.65484,60,60,21,0.40714493215242875,0.586000424996973,23.966666666666665,24.428695929145725,35.16002549981838
sh_mpcc_dro_straight_o1_c1_m3_boost_5_s40,straight_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc_dro,C,straight,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.004512599307072485,60,60,0,0,0,0,2400,60,600,2340.982371,60,51,18,0.3869780703705897,0.24873990935466428,10.166666666666666,23.21868422223538,14.924394561279856
sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.0042196872207930225,60,60,0,0,0,0,2400,60,600,2195.369528,60,60,18,0.27835111229460713,0.27835111229460713,11.6,16.701066737676427,16.701066737676427
sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.004259970988166328,60,60,0,0,0,0,2400,60,600,2191.247781,60,60,24,0.384947030677644,0.384947030677644,15.466666666666667,23.09682184065864,23.09682184065864
sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc,A,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.00455795917004076,60,60,0,0,0,0,2400,60,600,2264.226905,60,60,27,0.5056515592088626,0.5056515592088626,20.716666666666665,30.339093552531757,30.339093552531757
sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc,A,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.0030835500867287813,60,60,0,0,0,0,2400,60,600,2184.921449,60,60,21,0.48202330194310855,0.48202330194310855,19.433333333333334,28.921398116586513,28.921398116586513
sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc,A,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.004362589308114728,60,60,0,0,0,0,2400,60,600,2243.955268,60,60,33,0.5761359883228431,0.5761359883228431,23.416666666666668,34.568159299370585,34.568159299370585
sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc,A,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.003047962031878071,60,60,0,0,0,0,2400,60,600,2128.324242,60,60,30,0.5695179799100086,0.5695179799100086,22.716666666666665,34.17107879460052,34.17107879460052
sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc,A,four_way_intersection,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.004576785134004613,60,60,0,0,0,0,2400,60,600,2178.677522,60,60,20,0.41147288413790883,0.41147288413790883,16.816666666666666,24.688373048274528,24.688373048274528
sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc,A,four_way_intersection,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.0030094789439489844,60,60,0,0,0,0,2400,60,600,2240.278149,60,60,17,0.3631408651278918,0.3631408651278918,14.8,21.788451907673508,21.788451907673508
sh_mpcc_straight_o1_c1_m3_boost_0_s40,straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,straight,1,1,40,77,turn_right,False,False,not_requested,0,0,0,0,0,0.0024621280354512054,60,60,0,0,0,0,2400,60,600,2360.204627,60,60,20,0.3251251231806469,0.3251251231806469,13.5,19.507507390838814,19.507507390838814
sh_mpcc_straight_o1_c1_m3_boost_0_s40,straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,straight,1,1,40,78,turn_right,False,False,not_requested,0,0,0,0,0,0.004772350695149252,60,60,0,0,0,0,2400,60,600,2238.376448,60,60,26,0.43930026946740164,0.43930026946740164,17.616666666666667,26.3580161680441,26.3580161680441
