pair,profile,controller,arm,safe_horizon_enabled,automatic_sample_sizing,certification_status,certificate_requested_decisions,certified_decisions,environment,obstacles,classes,scenario_budget,expected_rollouts,measured_rollouts,missing_or_error_rollouts,collision_rate,safe_completion_rate,no_admissible_control_rate,first_attempt_inadmissibility,first_attempt_admissibility,final_inadmissibility,final_admissibility,fallback_rate,mean_draws_per_cycle,mean_qp_calls_per_cycle,minimum_safety_margin_m,mean_rollout_minimum_safety_margin_m,mean_cycle_ms,focus_inclusion_rate,focus_realized_frequency,mean_nominal_probability,mean_sampling_probability
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0042196872207930225,0.004239829104479675,36.55514424166667,1.0,0.35,0.3316490714861256,0.3316490714861256
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0048749578205926625,0.004968146489955638,37.237839908333335,0.9833333333333333,0.35,0.3316490714861256,0.38582226204137143
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc,A,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0030835500867287813,0.0038207546283847704,37.07623628333333,1.0,0.4,0.49383743057598556,0.49383743057598556
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,sh_mpcc_dro,C,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0033675421883698764,0.003876371283206226,39.100254541666665,0.9916666666666667,0.4,0.49383743057598556,0.5357182734902144
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc,A,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.003047962031878071,0.0037052756699963996,36.43566258333333,1.0,0.525,0.5728269841164259,0.5728269841164259
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,sh_mpcc_dro,C,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.003367207108154746,0.003870541056453347,38.29934509166666,0.9916666666666667,0.525,0.5728269841164259,0.6145751204473076
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc,A,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0030094789439489844,0.0037931320389767986,36.82463059166666,1.0,0.30833333333333335,0.38730687463290026,0.38730687463290026
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,sh_mpcc_dro,C,False,False,not_requested,0,0,four_way_intersection,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0033623309102094323,0.0038751140055328093,38.53201655833333,0.9583333333333334,0.30833333333333335,0.38730687463290026,0.42844671832830983
straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc,A,False,False,not_requested,0,0,straight,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0024621280354512054,0.003617239365300229,38.32150895833333,1.0,0.38333333333333336,0.38221269632402427,0.38221269632402427
straight_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,C,False,False,not_requested,0,0,straight,1,1,40,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0023613950367834535,0.0034344266529368617,38.18848441666667,0.9916666666666667,0.38333333333333336,0.38221269632402427,0.408482487273613
