pair,profile,environment,obstacles,classes,modes_per_class,seed,status,target_match,reverse_match,scenario_budget,controller_a,controller_b,nondro_artifact,nondro_status,nondro_error,nondro_backup_available,nondro_backup_removal_budget_exceeded,nondro_backup_dro_failed,nondro_braking_collision_feasible,nondro_any_homotopy_geometrically_feasible,nondro_last_qp_converged,nondro_sqp_sampled_collision_feasible,nondro_fallback_sampled_collision_feasible,nondro_failure_class,nondro_collision,nondro_completed_path,nondro_termination_reason,nondro_executed_steps,nondro_certified_decisions,nondro_sh_decisions,nondro_missed_mode_rollout,nondro_missed_obstacle_decisions,nondro_mode_checks,nondro_solve_count,nondro_solve_total_ms,nondro_solve_mean_ms,nondro_solve_max_ms,nondro_control_effort,nondro_max_conservatism_m,nondro_average_conservatism_m,nondro_margin_sum_m,nondro_margin_count,nondro_plant_seed,nondro_controller_seed,nondro_backend,nondro_solver_identity,dro_artifact,dro_status,dro_error,dro_backup_available,dro_backup_removal_budget_exceeded,dro_backup_dro_failed,dro_braking_collision_feasible,dro_any_homotopy_geometrically_feasible,dro_last_qp_converged,dro_sqp_sampled_collision_feasible,dro_fallback_sampled_collision_feasible,dro_failure_class,dro_collision,dro_completed_path,dro_termination_reason,dro_executed_steps,dro_certified_decisions,dro_sh_decisions,dro_missed_mode_rollout,dro_missed_obstacle_decisions,dro_mode_checks,dro_solve_count,dro_solve_total_ms,dro_solve_mean_ms,dro_solve_max_ms,dro_control_effort,dro_max_conservatism_m,dro_average_conservatism_m,dro_margin_sum_m,dro_margin_count,dro_plant_seed,dro_controller_seed,dro_backend,dro_solver_identity,paired_nominal_prefix_equal,paired_obstacle_prefix_equal,nondro_safe_completion,dro_safe_completion,nondro_collision_dro_collision_free_incomplete
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,four_way_intersection,1,1,3,77,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2195.369528,36.58949213333333,48.201679,36.94762914181364,0.0042196872207930225,0.8151292593723221,49.722884821711645,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,11,60,60,2214.371835,36.90619725,46.265164999999996,38.22997148498853,0.0048749578205926625,0.8149320802479412,49.710856895124415,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,four_way_intersection,1,1,3,78,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2191.247781,36.52079635,54.697552,30.580723197996722,0.004259970988166328,0.6731863538715305,41.06436758616336,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,9,60,60,2254.168954,37.569482566666665,56.999772,29.918763558078176,0.005061335159318614,0.6733447524868482,41.07402990169774,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,four_way_intersection,1,1,3,77,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2264.226905,37.737115083333336,53.173777,39.336988773578845,0.00455795917004076,0.7995801812078387,48.77439105367816,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,6,60,60,2320.9991019999998,38.68331836666667,56.289513,40.547566627211474,0.004385200378042575,0.7939509194356783,48.43100608557638,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,four_way_intersection,1,1,3,78,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2184.921449,36.41535748333333,47.867313,27.1900172466709,0.0030835500867287813,0.7061394082948592,43.07450390598642,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,6,60,60,2371.031443,39.51719071666667,60.474369,27.543913570010865,0.0033675421883698764,0.7015473937276793,42.794391017388435,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,four_way_intersection,1,1,3,77,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2243.955268,37.39925446666667,50.311432,40.66347222334247,0.004362589308114728,0.8021517669028372,48.93125778107307,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,7,60,60,2309.678259,38.49463765,49.841774,40.98100367490287,0.004373875004751948,0.7970682208999068,48.621161474894315,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,four_way_intersection,1,1,3,78,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2128.324242,35.4720707,51.971662,26.304767012464627,0.003047962031878071,0.740748476621974,45.18565707394041,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,5,60,60,2286.243152,38.10405253333333,56.108658999999996,26.43739359146368,0.003367207108154746,0.7394782406788506,45.10817268140988,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,four_way_intersection,1,1,3,77,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2178.677522,36.31129203333333,53.0012,38.77931035432852,0.004576785134004613,0.8029420398508784,48.97946443090358,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,6,60,60,2297.836648,38.297277466666664,53.224059,39.843153988600164,0.004387897100856186,0.7983150400145191,48.697217440885666,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,four_way_intersection,1,1,3,78,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2240.278149,37.33796915,60.913104000000004,30.95931619614251,0.0030094789439489844,0.6586649350297908,40.17856103681724,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,7,60,60,2326.005339,38.76675565,52.785208,31.37052838858657,0.0033623309102094323,0.6589323967960531,40.194876204559236,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
straight_o1_c1_m3_boost_0_s40,boost_0,straight,1,1,3,77,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2360.204627,39.33674378333333,64.99917400000001,33.06581090668443,0.0024621280354512054,0.6664689758667802,40.654607527873594,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,7,60,60,2335.4661849999998,38.924436416666666,61.320198,32.76011870540757,0.0023613950367834535,0.6609371379289664,40.31716541366695,61,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
straight_o1_c1_m3_boost_0_s40,boost_0,straight,1,1,3,78,OK,False,False,40,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,0,0,60,60,2238.376448,37.30627413333333,52.281836999999996,38.91117679600649,0.004772350695149252,0.7966976251082348,48.598555131602325,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,0,step_limit,60,0,0,1,7,60,60,2247.151945,37.45253241666667,47.990493,39.59391975675323,0.00450745826909027,0.7960711452783096,48.560339861976885,61,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,False,False,False
