step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,6,40,turn_right
0,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,11,40,turn_right
0,0,0,turn_right,0.59999999999999998,0.59999999999999998,,,23,40,turn_right
1,0,0,constant_velocity,0.42857142857142855,0.42857142857142855,,,12,40,constant_velocity
1,0,0,turn_left,0.14285714285714285,0.14285714285714285,,,5,40,constant_velocity
1,0,0,turn_right,0.42857142857142855,0.42857142857142855,,,23,40,constant_velocity
2,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,11,40,turn_left
2,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,15,40,turn_left
2,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,14,40,turn_left
3,0,0,constant_velocity,0.45454545454545453,0.45454545454545453,,,20,40,constant_velocity
3,0,0,turn_left,0.27272727272727271,0.27272727272727271,,,11,40,constant_velocity
3,0,0,turn_right,0.27272727272727271,0.27272727272727271,,,9,40,constant_velocity
4,0,0,constant_velocity,0.38461538461538464,0.38461538461538464,,,16,40,turn_right
4,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,9,40,turn_right
4,0,0,turn_right,0.38461538461538464,0.38461538461538464,,,15,40,turn_right
5,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,13,40,turn_right
5,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,7,40,turn_right
5,0,0,turn_right,0.46666666666666667,0.46666666666666667,,,20,40,turn_right
6,0,0,constant_velocity,0.29411764705882354,0.29411764705882354,,,9,40,turn_right
6,0,0,turn_left,0.17647058823529413,0.17647058823529413,,,8,40,turn_right
6,0,0,turn_right,0.52941176470588236,0.52941176470588236,,,23,40,turn_right
7,0,0,constant_velocity,0.36842105263157893,0.36842105263157893,,,16,40,constant_velocity
7,0,0,turn_left,0.15789473684210525,0.15789473684210525,,,6,40,constant_velocity
7,0,0,turn_right,0.47368421052631576,0.47368421052631576,,,18,40,constant_velocity
8,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,14,40,turn_left
8,0,0,turn_left,0.23809523809523808,0.23809523809523808,,,13,40,turn_left
8,0,0,turn_right,0.42857142857142855,0.42857142857142855,,,13,40,turn_left
9,0,0,constant_velocity,0.39130434782608697,0.39130434782608697,,,10,40,constant_velocity
9,0,0,turn_left,0.21739130434782608,0.21739130434782608,,,7,40,constant_velocity
9,0,0,turn_right,0.39130434782608697,0.39130434782608697,,,23,40,constant_velocity
10,0,0,constant_velocity,0.35999999999999999,0.35999999999999999,,,15,40,turn_right
10,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,5,40,turn_right
10,0,0,turn_right,0.44,0.44,,,20,40,turn_right
11,0,0,constant_velocity,0.40740740740740738,0.40740740740740738,,,13,40,constant_velocity
11,0,0,turn_left,0.18518518518518517,0.18518518518518517,,,8,40,constant_velocity
11,0,0,turn_right,0.40740740740740738,0.40740740740740738,,,19,40,constant_velocity
12,0,0,constant_velocity,0.37931034482758619,0.37931034482758619,,,9,40,turn_left
12,0,0,turn_left,0.2413793103448276,0.2413793103448276,,,12,40,turn_left
12,0,0,turn_right,0.37931034482758619,0.37931034482758619,,,19,40,turn_left
13,0,0,constant_velocity,0.35483870967741937,0.35483870967741937,,,18,40,turn_right
13,0,0,turn_left,0.22580645161290322,0.22580645161290322,,,7,40,turn_right
13,0,0,turn_right,0.41935483870967744,0.41935483870967744,,,15,40,turn_right
14,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,11,40,turn_right
14,0,0,turn_left,0.21212121212121213,0.21212121212121213,,,7,40,turn_right
14,0,0,turn_right,0.45454545454545453,0.45454545454545453,,,22,40,turn_right
15,0,0,constant_velocity,0.31428571428571428,0.31428571428571428,,,14,40,turn_right
15,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,9,40,turn_right
15,0,0,turn_right,0.48571428571428571,0.48571428571428571,,,17,40,turn_right
16,0,0,constant_velocity,0.29729729729729731,0.29729729729729731,,,9,40,turn_left
16,0,0,turn_left,0.24324324324324326,0.24324324324324326,,,15,40,turn_left
16,0,0,turn_right,0.45945945945945948,0.45945945945945948,,,16,40,turn_left
17,0,0,constant_velocity,0.28205128205128205,0.28205128205128205,,,11,40,turn_right
17,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,11,40,turn_right
17,0,0,turn_right,0.48717948717948717,0.48717948717948717,,,18,40,turn_right
18,0,0,constant_velocity,0.26829268292682928,0.26829268292682928,,,6,40,turn_right
18,0,0,turn_left,0.21951219512195122,0.21951219512195122,,,11,40,turn_right
18,0,0,turn_right,0.51219512195121952,0.51219512195121952,,,23,40,turn_right
19,0,0,constant_velocity,0.2558139534883721,0.2558139534883721,,,9,40,turn_right
19,0,0,turn_left,0.20930232558139536,0.20930232558139536,,,8,40,turn_right
19,0,0,turn_right,0.53488372093023251,0.53488372093023251,,,23,40,turn_right
20,0,0,constant_velocity,0.24444444444444444,0.24444444444444444,,,15,40,turn_left
20,0,0,turn_left,0.24444444444444444,0.24444444444444444,,,9,40,turn_left
20,0,0,turn_right,0.51111111111111107,0.51111111111111107,,,16,40,turn_left
21,0,0,constant_velocity,0.27659574468085107,0.27659574468085107,,,12,40,constant_velocity
21,0,0,turn_left,0.23404255319148937,0.23404255319148937,,,7,40,constant_velocity
21,0,0,turn_right,0.48936170212765956,0.48936170212765956,,,21,40,constant_velocity
22,0,0,constant_velocity,0.26530612244897961,0.26530612244897961,,,9,40,turn_left
22,0,0,turn_left,0.26530612244897961,0.26530612244897961,,,12,40,turn_left
22,0,0,turn_right,0.46938775510204084,0.46938775510204084,,,19,40,turn_left
23,0,0,constant_velocity,0.29411764705882354,0.29411764705882354,,,10,40,constant_velocity
23,0,0,turn_left,0.25490196078431371,0.25490196078431371,,,16,40,constant_velocity
23,0,0,turn_right,0.45098039215686275,0.45098039215686275,,,14,40,constant_velocity
24,0,0,constant_velocity,0.28301886792452829,0.28301886792452829,,,11,40,turn_right
24,0,0,turn_left,0.24528301886792453,0.24528301886792453,,,8,40,turn_right
24,0,0,turn_right,0.47169811320754718,0.47169811320754718,,,21,40,turn_right
25,0,0,constant_velocity,0.30909090909090908,0.30909090909090908,,,14,40,constant_velocity
25,0,0,turn_left,0.23636363636363636,0.23636363636363636,,,11,40,constant_velocity
25,0,0,turn_right,0.45454545454545453,0.45454545454545453,,,15,40,constant_velocity
26,0,0,constant_velocity,0.2982456140350877,0.2982456140350877,,,12,40,turn_left
26,0,0,turn_left,0.26315789473684209,0.26315789473684209,,,10,40,turn_left
26,0,0,turn_right,0.43859649122807015,0.43859649122807015,,,18,40,turn_left
27,0,0,constant_velocity,0.28813559322033899,0.28813559322033899,,,11,40,turn_right
27,0,0,turn_left,0.25423728813559321,0.25423728813559321,,,13,40,turn_right
27,0,0,turn_right,0.4576271186440678,0.4576271186440678,,,16,40,turn_right
28,0,0,constant_velocity,0.27868852459016391,0.27868852459016391,,,9,40,turn_right
28,0,0,turn_left,0.24590163934426229,0.24590163934426229,,,10,40,turn_right
28,0,0,turn_right,0.47540983606557374,0.47540983606557374,,,21,40,turn_right
29,0,0,constant_velocity,0.26984126984126983,0.26984126984126983,,,14,40,turn_right
29,0,0,turn_left,0.23809523809523808,0.23809523809523808,,,6,40,turn_right
29,0,0,turn_right,0.49206349206349204,0.49206349206349204,,,20,40,turn_right
30,0,0,constant_velocity,0.29230769230769232,0.29230769230769232,,,12,40,constant_velocity
