step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,0,0,0,1.5,,,0,2.0509495428720452,0,0,0
0,0,obstacle,0,turn_right,5,-0.075486150146468645,,,0.15203177172715598,0,0,2.0509495428720452,0,0,0
1,0.10000000000000001,ego,-1,,0.16499622491164184,-1.153810010997898e-10,-1.3574637348645241e-09,1.7999244982328368,,,0.16499622491164184,1.9012116527071654,0,45.442031999999998,0
1,0.10000000000000001,obstacle,0,turn_right,5.0151963362560794,-0.075942177050431409,,,0.15196336256079712,-0.004560269039627681,0.16499622491164184,1.9012116527071654,0,45.442031999999998,0
2,0.20000000000000001,ego,-1,,0.35875418860493752,-2.279432831226485e-10,1.5965051787632214e-10,2.0752347756330769,,,0.35875418860493752,1.7227306026375893,0,36.403952000000004,0
2,0.20000000000000001,obstacle,0,constant_velocity,5.0303926725121588,-0.076398203954394173,,,0.15196336256079712,-0.004560269039627681,0.35875418860493752,1.7227306026375893,0,36.403952000000004,0
3,0.30000000000000004,ego,-1,,0.5687702420004459,-5.2870700430136121e-10,-3.0113031345608586e-09,2.125086292277091,,,0.5687702420004459,1.528003586649499,0,36.336143999999997,0
3,0.30000000000000004,obstacle,0,turn_left,5.045595849684875,-0.076398203954394173,,,0.15203177172715596,0,0.5687702420004459,1.528003586649499,0,36.336143999999997,0
4,0.40000000000000002,ego,-1,,0.77626121595710917,-0.00037429879834271449,-0.0036371600181116133,2.024742225871059,,,0.77626121595710917,1.335585255727082,0,37.320377000000001,0
4,0.40000000000000002,obstacle,0,constant_velocity,5.0607990268575902,-0.076398203954394173,,,0.15203177172715596,0,0.77626121595710917,1.335585255727082,0,37.320377000000001,0
5,0.5,ego,-1,,0.97935342670361314,-0.0005696965617618127,0.0017075095310872673,2.037108703521278,,,0.97935342670361314,1.1481591107328828,0,36.879140999999997,0
5,0.5,obstacle,0,turn_right,5.0759953631136696,-0.076854230858356937,,,0.15196336256079709,-0.004560269039627681,0.97935342670361314,1.1481591107328828,0,36.879140999999997,0
6,0.60000000000000009,ego,-1,,1.1846033213476763,0.0010751263656581995,0.014288057517026592,2.0680480705967978,,,1.1846033213476763,0.95979520179430411,0,38.965806999999998,0
6,0.60000000000000009,obstacle,0,turn_right,5.091171182776205,-0.077765874272849811,,,0.15175819662535278,-0.0091164341449286208,1.1846033213476763,0.95979520179430411,0,38.965806999999998,0
7,0.70000000000000007,ego,-1,,1.3918076434666331,0.0039500432604400657,0.013460304743464485,2.0764373596498382,,,1.3918076434666331,0.76821121944634685,0,36.913515000000004,0
7,0.70000000000000007,obstacle,0,turn_right,5.1063128286318369,-0.079132313780333807,,,0.15141645855631661,-0.013664395074839972,1.3918076434666331,0.76821121944634685,0,36.913515000000004,0
8,0.80000000000000004,ego,-1,,1.598841627407817,0.0055675683512055154,0.0021541096540793753,2.064390746998416,,,1.598841627407817,0.5752972069659763,0,37.707011000000001,0
8,0.80000000000000004,obstacle,0,constant_velocity,5.1214544744874688,-0.080498753287817804,,,0.15141645855631661,-0.013664395074839972,1.598841627407817,0.5752972069659763,0,37.707011000000001,0
9,0.90000000000000002,ego,-1,,1.8051443904591467,0.0051234165468770675,-0.0064618101357466848,2.0616868385098979,,,1.8051443904591467,0.38356078946430716,0,39.762349,0
9,0.90000000000000002,obstacle,0,turn_left,5.1366302941500033,-0.081410396702310664,,,0.15175819662535278,-0.0091164341449286243,1.8051443904591467,0.38356078946430716,0,39.762349,0
10,1,ego,-1,,2.0108799714534578,0.009815576021878214,0.052100613392669685,2.0546829505767548,,,2.0108799714534578,0.21036325745672046,0,36.629083000000001,0
10,1,obstacle,0,constant_velocity,5.1518061138125386,-0.082322040116803524,,,0.15175819662535278,-0.0091164341449286243,2.0108799714534578,0.21036325745672046,0,36.629083000000001,0
11,1.1000000000000001,ego,-1,,2.2155935167554146,0.027301998190309422,0.11832061788191681,2.0552483970683384,,,2.2155935167554146,0.075836896269160237,0,37.839528999999999,0
11,1.1000000000000001,obstacle,0,turn_right,5.1669477596681705,-0.083688479624287521,,,0.15141645855631661,-0.013664395074839976,2.2155935167554146,0.075836896269160237,0,37.839528999999999,0
12,1.2000000000000002,ego,-1,,2.4191605599218278,0.05906151349199952,0.19114925009745229,2.0662549267285883,,,2.4191605599218278,0.005845766503515426,0,38.068769000000003,0
12,1.2000000000000002,obstacle,0,constant_velocity,5.1820894055238025,-0.085054919131771517,,,0.15141645855631661,-0.013664395074839976,2.4191605599218278,0.005845766503515426,0,38.068769000000003,0
13,1.3,ego,-1,,2.6210090722164483,0.105409707845949,0.26020573772170424,2.0765955536089158,,,2.6210090722164483,0.0052706702151122942,0,43.135002999999998,0
13,1.3,obstacle,0,turn_left,5.1972652251863369,-0.085966562546264377,,,0.15175819662535278,-0.0091164341449286278,2.6210090722164483,0.0052706702151122942,0,43.135002999999998,0
14,1.4000000000000001,ego,-1,,2.8209131741910234,0.16234272448118164,0.29469435699097557,2.0806776369811626,,,2.8209131741910234,0.0081523520609686484,0,41.387250000000002,0
14,1.4000000000000001,obstacle,0,turn_right,5.2124068710419689,-0.087333002053748374,,,0.15141645855631661,-0.013664395074839979,2.8209131741910234,0.0081523520609686484,0,41.387250000000002,0
15,1.5,ego,-1,,3.0194480908760712,0.22340724930478711,0.30209473420103483,2.0736062358600518,,,3.0194480908760712,0.0054663433764640112,0,37.990611999999999,0
15,1.5,obstacle,0,turn_right,5.2275007166314573,-0.089153007950898672,,,0.15093845589488408,-0.01820005897150297,3.0194480908760712,0.0054663433764640112,0,37.990611999999999,0
16,1.6000000000000001,ego,-1,,3.2096564335333908,0.28170663827474085,0.29259515339917536,1.9052543964181845,,,3.2096564335333908,0.0072931612302777893,0,43.516486999999998,0
16,1.6000000000000001,obstacle,0,turn_right,5.2425331785125762,-0.091424942355254557,,,0.15032461881118631,-0.022719344043558735,3.2096564335333908,0.0072931612302777893,0,43.516486999999998,0
17,1.7000000000000002,ego,-1,,3.3884227896049035,0.33304973624970907,0.26655346172408528,1.8147175639751676,,,3.3884227896049035,0.0050081031630477835,0,52.281836999999996,0
17,1.7000000000000002,obstacle,0,turn_left,5.2576270241020646,-0.093244948252404855,,,0.15093845589488408,-0.018200058971502973,3.3884227896049035,0.0050081031630477835,0,52.281836999999996,0
18,1.8,ego,-1,,3.563512991614123,0.3772326264716499,0.22774974557051589,1.7970852272526501,,,3.563512991614123,0.0047723506951492523,0,38.165029000000004,0
