step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,37.963318000000001,1,0,0,8.9954704640218903,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,38.021568000000002,1,0,0,7.5795748932702764,40,1,-1,-1,-1,-1,1,-1,-1,0,0
2,38.637209999999996,1,0,0,0.24851767278386219,40,1,-1,-1,-1,-1,1,-1,-1,0,0
3,39.231301999999999,1,0,0,0.81201180054466249,40,1,-1,-1,-1,-1,1,-1,-1,0,0
4,38.260415000000002,1,0,0,0.06095623331947362,40,1,-1,-1,-1,-1,1,-1,-1,0,0
5,48.752740000000003,1,0,0,0.037279783479233337,40,1,-1,-1,-1,-1,1,-1,-1,0,0
6,49.150705000000002,1,0,0,0.0013039143352444479,40,1,-1,-1,-1,-1,1,-1,-1,0,0
7,40.418785999999997,1,0,0,0.026541044641892809,40,1,-1,-1,-1,-1,1,-1,-1,0,0
8,40.149881999999998,1,0,0,0.019258519325134841,40,1,-1,-1,-1,-1,1,-1,-1,0,0
9,46.436903999999998,1,0,0,0.39393603922455811,40,1,-1,-1,-1,-1,1,-1,-1,0,0
10,40.039005000000003,1,0,0,0.4441041320619849,40,1,-1,-1,-1,-1,1,-1,-1,0,0
11,49.163829,1,0,0,0.53648935230555383,40,1,-1,-1,-1,-1,1,-1,-1,0,0
12,43.473495999999997,1,0,0,0.4724759973010772,40,1,-1,-1,-1,-1,1,-1,-1,0,0
13,41.797006999999994,1,0,0,0.11114370074340528,40,1,-1,-1,-1,-1,1,-1,-1,0,0
14,40.731972999999996,1,0,0,0.0093641762928218034,40,1,-1,-1,-1,-1,1,-1,-1,0,0
15,42.314204000000004,1,0,0,3.4990961322220451,40,1,-1,-1,-1,-1,1,-1,-1,0,0
16,42.823788999999998,1,0,0,0.79890349044769959,40,1,-1,-1,-1,-1,1,-1,-1,0,0
17,40.064081999999999,1,0,0,0.15609574862756384,40,1,-1,-1,-1,-1,1,-1,-1,0,0
18,41.965741999999999,1,0,0,0.87918297659837485,40,1,-1,-1,-1,-1,1,-1,-1,0,0
19,45.362773000000004,1,0,0,0.19798799757472502,40,1,-1,-1,-1,-1,1,-1,-1,0,0
20,41.360800000000005,1,0,0,0.49748833097779221,40,1,-1,-1,-1,-1,1,-1,-1,0,0
