step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,41.880884999999999,1,0,0,8.9954349005577701,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,38.025226000000004,1,0,0,7.5796014605787985,40,1,-1,-1,-1,-1,1,-1,-1,0,0
2,40.775344999999994,1,0,0,0.24851626019540043,40,1,-1,-1,-1,-1,1,-1,-1,0,0
3,40.312228999999995,1,0,0,0.025999482636516077,40,1,-1,-1,-1,-1,1,-1,-1,0,0
4,37.160378000000001,1,0,0,0.42728320846198475,40,1,-1,-1,-1,-1,1,-1,-1,0,0
5,37.844998999999994,1,0,0,0.071016037511332578,40,1,-1,-1,-1,-1,1,-1,-1,0,0
6,44.485002000000001,1,0,0,0.032703023353952289,40,1,-1,-1,-1,-1,1,-1,-1,0,0
7,41.451211999999998,1,0,0,0.0042344257504853015,40,1,-1,-1,-1,-1,1,-1,-1,0,0
8,40.059655999999997,1,0,0,0.02308688848360739,40,1,-1,-1,-1,-1,1,-1,-1,0,0
9,42.773717000000005,1,0,0,0.0094809440709789534,40,1,-1,-1,-1,-1,1,-1,-1,0,0
10,39.967764000000003,1,0,0,0.50579680642539959,40,1,-1,-1,-1,-1,1,-1,-1,0,0
11,41.008462000000002,1,0,0,0.42450267345421877,40,1,-1,-1,-1,-1,1,-1,-1,0,0
12,40.186484,1,0,0,0.50552800665307451,40,1,-1,-1,-1,-1,1,-1,-1,0,0
13,46.039242000000002,1,0,0,0.36178428559614928,40,1,-1,-1,-1,-1,1,-1,-1,0,0
14,48.609653999999999,1,0,0,0.085927330009782088,40,1,-1,-1,-1,-1,1,-1,-1,0,0
15,40.840828000000002,1,0,0,0.023646471018622904,40,1,-1,-1,-1,-1,1,-1,-1,0,0
16,39.658935,1,0,0,2.5701164210972918,40,1,-1,-1,-1,-1,1,-1,-1,0,0
17,43.493105,1,0,0,1.4219140521716405,40,1,-1,-1,-1,-1,1,-1,-1,0,0
18,37.586053999999997,1,0,0,0.27419324990856075,40,1,-1,-1,-1,-1,1,-1,-1,0,0
19,35.878737999999998,1,0,0,0.14571597186270055,40,1,-1,-1,-1,-1,1,-1,-1,0,0
20,37.024514000000003,1,0,0,0.030861006465256729,40,1,-1,-1,-1,-1,1,-1,-1,0,0
21,58.400625999999995,1,0,0,1.0178429212939302,40,1,-1,-1,-1,-1,1,-1,-1,0,0
22,62.657646999999997,1,0,0,0.43308518266297857,40,1,-1,-1,-1,-1,1,-1,-1,0,0
23,42.986877,1,0,0,0.79497245954555107,40,1,-1,-1,-1,-1,1,-1,-1,0,0
24,45.334102000000001,1,0,0,0.71353354851566575,40,1,-1,-1,-1,-1,1,-1,-1,0,0
25,44.741753000000003,1,0,0,0.98661145072511058,40,1,-1,-1,-1,-1,1,-1,-1,0,0
26,37.158904999999997,1,0,0,0.89492969741931949,40,1,-1,-1,-1,-1,1,-1,-1,0,0
27,37.264772999999998,1,0,0,1.597225133788164,40,1,-1,-1,-1,-1,1,-1,-1,0,0
28,35.385694000000001,1,0,0,0.64606936283008887,40,1,-1,-1,-1,-1,1,-1,-1,0,0
29,37.044108999999999,1,0,0,1.0040564403395846,40,1,-1,-1,-1,-1,1,-1,-1,0,0
30,39.778881000000005,1,0,0,1.0234051162405655,40,1,-1,-1,-1,-1,1,-1,-1,0,0
31,36.471518000000003,1,0,0,0.9332359733739265,40,1,-1,-1,-1,-1,1,-1,-1,0,0
32,37.427287,1,0,0,0.86728474263086053,40,1,-1,-1,-1,-1,1,-1,-1,0,0
33,38.023003000000003,1,0,0,0.76837386033943522,40,1,-1,-1,-1,-1,1,-1,-1,0,0
34,40.744208,1,0,0,0.70607444831395294,40,1,-1,-1,-1,-1,1,-1,-1,0,0
35,36.347636000000001,1,0,0,0.64746335376497632,40,1,-1,-1,-1,-1,1,-1,-1,0,0
36,36.196121999999995,1,0,0,0.64378269486491546,40,1,-1,-1,-1,-1,1,-1,-1,0,0
37,36.104440000000004,1,0,0,0.057121587367889262,40,1,-1,-1,-1,-1,1,-1,-1,0,0
38,37.376713000000002,1,0,0,0.2783011884580886,40,1,-1,-1,-1,-1,1,-1,-1,0,0
39,36.791356999999998,1,0,0,0.1641229976407656,40,1,-1,-1,-1,-1,1,-1,-1,0,0
40,35.043995000000002,1,0,0,0.031209873632563473,40,1,-1,-1,-1,-1,1,-1,-1,0,0
41,36.039679,1,0,0,0.0518355771968542,40,1,-1,-1,-1,-1,1,-1,-1,0,0
42,38.480970000000006,1,0,0,0.030980751379007215,40,1,-1,-1,-1,-1,1,-1,-1,0,0
43,33.598537999999998,1,0,0,0.13184831381591394,40,1,-1,-1,-1,-1,1,-1,-1,0,0
44,34.607498,1,0,0,0.2088227473660908,40,1,-1,-1,-1,-1,1,-1,-1,0,0
45,34.852787000000006,1,0,0,0.12737306528408526,40,1,-1,-1,-1,-1,1,-1,-1,0,0
46,33.690260000000002,1,0,0,0.056813213842585565,40,1,-1,-1,-1,-1,1,-1,-1,0,0
47,34.907348999999996,1,0,0,0.065195964217996241,40,1,-1,-1,-1,-1,1,-1,-1,0,0
48,32.050941000000002,1,0,0,0.029691898033868944,40,1,-1,-1,-1,-1,1,-1,-1,0,0
49,32.583877999999999,1,0,0,0.034620464952865034,40,1,-1,-1,-1,-1,1,-1,-1,0,0
50,33.63091,1,0,0,0.018682202504739502,40,1,-1,-1,-1,-1,1,-1,-1,0,0
51,33.011609999999997,1,0,0,0.015627284138526799,40,1,-1,-1,-1,-1,1,-1,-1,0,0
52,32.613384000000003,1,0,0,0.011071360707725568,40,1,-1,-1,-1,-1,1,-1,-1,0,0
53,31.343906999999998,1,0,0,0.008000587087569979,40,1,-1,-1,-1,-1,1,-1,-1,0,0
54,31.817293000000003,1,0,0,0.0058543592009370734,40,1,-1,-1,-1,-1,1,-1,-1,0,0
55,43.899645999999997,1,0,0,0.0042494047870109495,40,1,-1,-1,-1,-1,1,-1,-1,0,0
56,30.801901999999998,1,0,0,0.0030834211304391831,40,1,-1,-1,-1,-1,1,-1,-1,0,0
57,30.773057999999999,1,0,0,0.0022409455873353031,40,1,-1,-1,-1,-1,1,-1,-1,0,0
58,30.137018000000001,1,0,0,0.0016265101163094819,40,1,-1,-1,-1,-1,1,-1,-1,0,0
59,28.941097999999997,1,0,0,0.0011808331680084846,40,1,-1,-1,-1,-1,1,-1,-1,0,0
