step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.59999999999999998,0.59999999999999998,0,0.011963274961003129,23,40,constant_velocity
0,0,0,turn_left,0.20000000000000001,0.20000000000000001,0,0.011963274961003129,7,40,constant_velocity
0,0,0,turn_right,0.20000000000000001,0.20000000000000001,0,0.011963274961003129,10,40,constant_velocity
1,0,0,constant_velocity,0.7142857142857143,0.7142857142857143,0,0.010964904464789899,30,40,constant_velocity
1,0,0,turn_left,0.14285714285714285,0.14285714285714285,0,0.010964904464789899,6,40,constant_velocity
1,0,0,turn_right,0.14285714285714285,0.14285714285714285,0,0.010964904464789899,4,40,constant_velocity
2,0,0,constant_velocity,0.55555555555555558,0.55555555555555558,0,0.01225787900639368,28,40,turn_right
2,0,0,turn_left,0.1111111111111111,0.1111111111111111,0,0.01225787900639368,4,40,turn_right
2,0,0,turn_right,0.33333333333333331,0.33333333333333331,0,0.01225787900639368,8,40,turn_right
3,0,0,constant_velocity,0.45454545454545453,0,0.057401348038451733,0.012332083864118512,0,40,turn_right
3,0,0,turn_left,0.090909090909090912,0,0.054239907956711575,0.012332083864118512,0,40,turn_right
3,0,0,turn_right,0.45454545454545453,0.99999999999999989,0.064117033441468962,0.012332083864118512,40,40,turn_right
4,0,0,constant_velocity,0.38461538461538464,0,0.19927193467458462,0.011791788980642544,0,40,turn_right
4,0,0,turn_left,0.076923076923076927,0,0.19137446952041076,0.011791788980642544,0,40,turn_right
4,0,0,turn_right,0.53846153846153844,1,0.21047714188128064,0.011791788980642544,40,40,turn_right
5,0,0,constant_velocity,0.46666666666666667,0,0.025482790430324448,0.010487151434531369,0,40,constant_velocity
5,0,0,turn_left,0.066666666666666666,0,0.0058377088470474292,0.010487151434531369,0,40,constant_velocity
5,0,0,turn_right,0.46666666666666667,1,0.047625117532617722,0.010487151434531369,40,40,constant_velocity
6,0,0,constant_velocity,0.41176470588235292,0,0.051706023392565387,0.0099279651117433806,0,40,turn_left
6,0,0,turn_left,0.17647058823529413,0,0.028065703038777479,0.0099279651117433806,0,40,turn_left
6,0,0,turn_right,0.41176470588235292,1,0.077180782572730922,0.0099279651117433806,40,40,turn_left
7,0,0,constant_velocity,0.36842105263157893,0,0.043532753906304983,0.0096659978551873749,0,40,turn_right
7,0,0,turn_left,0.15789473684210525,0,0.017709012076979891,0.0096659978551873749,0,40,turn_right
7,0,0,turn_right,0.47368421052631576,0.99999999999999989,0.070657476587361157,0.0096659978551873749,40,40,turn_right
8,0,0,constant_velocity,0.33333333333333331,0,0.055114746577753199,0.0093039224034432363,0,40,turn_right
8,0,0,turn_left,0.14285714285714285,0,0.027195849814535766,0.0093039224034432363,0,40,turn_right
8,0,0,turn_right,0.52380952380952384,1.0000000000000002,0.083532295508382204,0.0093039224034432363,40,40,turn_right
9,0,0,constant_velocity,0.39130434782608697,0,0,0.0086609566111446532,0,40,constant_velocity
9,0,0,turn_left,0.13043478260869565,0,0,0.0086609566111446532,0,40,constant_velocity
9,0,0,turn_right,0.47826086956521741,1,0.014830367404886247,0.0086609566111446532,40,40,constant_velocity
10,0,0,constant_velocity,0.35999999999999999,0,0.010094237207024709,0.0083555478564623746,0,40,turn_left
10,0,0,turn_left,0.20000000000000001,0.033628830016586488,0,0.0083555478564623746,2,40,turn_left
10,0,0,turn_right,0.44,0.96637116998341355,0.032425993027731304,0.0083555478564623746,38,40,turn_left
11,0,0,constant_velocity,0.33333333333333331,0,0,0.0081328522756776052,0,40,turn_right
11,0,0,turn_left,0.18518518518518517,0.014691555433242685,0,0.0081328522756776052,0,40,turn_right
11,0,0,turn_right,0.48148148148148145,0.98530844456675737,0.0014083182262309701,0.0081328522756776052,40,40,turn_right
12,0,0,constant_velocity,0.37931034482758619,0.086276568564429112,0.024623933005491566,0.0076924718827685425,6,40,constant_velocity
12,0,0,turn_left,0.17241379310344829,0,0.0027083628090482648,0.0076924718827685425,0,40,constant_velocity
12,0,0,turn_right,0.44827586206896552,0.91372343143557089,0.045008687738235381,0.0076924718827685425,34,40,constant_velocity
13,0,0,constant_velocity,0.35483870967741937,0.35483870967741937,0,0.0074551088037347725,12,40,turn_left
13,0,0,turn_left,0.22580645161290322,0.22580645161290322,0,0.0074551088037347725,8,40,turn_left
13,0,0,turn_right,0.41935483870967744,0.41935483870967744,0,0.0074551088037347725,20,40,turn_left
14,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,0,0.0073010130700781649,18,40,turn_right
14,0,0,turn_left,0.21212121212121213,0.21212121212121213,0,0.0073010130700781649,4,40,turn_right
14,0,0,turn_right,0.45454545454545453,0.45454545454545453,0,0.0073010130700781649,18,40,turn_right
15,0,0,constant_velocity,0.31428571428571428,0,0,0.007079570989082273,0,40,turn_left
15,0,0,turn_left,0.25714285714285712,0.12082019394988604,0,0.007079570989082273,4,40,turn_left
15,0,0,turn_right,0.42857142857142855,0.87917980605011392,0.0048449020868713277,0.007079570989082273,36,40,turn_left
16,0,0,constant_velocity,0.29729729729729731,0,0.15497809046233471,0.0069441207874634831,0,40,turn_right
16,0,0,turn_left,0.24324324324324326,0.10402776909983218,0.13701164749369715,0.0069441207874634831,1,40,turn_right
16,0,0,turn_right,0.45945945945945948,0.89597223090016787,0.17559383738072515,0.0069441207874634831,39,40,turn_right
17,0,0,constant_velocity,0.33333333333333331,0,0.14752335847973233,0.0066748303499437325,0,40,constant_velocity
17,0,0,turn_left,0.23076923076923078,0.12079287098865221,0.12743036153729059,0.0066748303499437325,6,40,constant_velocity
17,0,0,turn_right,0.4358974358974359,0.87920712901134779,0.17001414436373602,0.0066748303499437325,34,40,constant_velocity
18,0,0,constant_velocity,0.31707317073170732,0,0.14568099649981528,0.006545738672797792,0,40,turn_right
18,0,0,turn_left,0.21951219512195122,0.10674411744725722,0.12328396344492326,0.006545738672797792,5,40,turn_right
18,0,0,turn_right,0.46341463414634149,0.8932558825527428,0.17012707864982507,0.006545738672797792,35,40,turn_right
19,0,0,constant_velocity,0.34883720930232559,0,0.046220490385234264,0.0063112581798647777,0,40,constant_velocity
19,0,0,turn_left,0.20930232558139536,0.12218733325784532,0.020570321763462351,0.0063112581798647777,4,40,constant_velocity
19,0,0,turn_right,0.44186046511627908,0.87781266674215475,0.073221444245764489,0.0063112581798647777,36,40,constant_velocity
20,0,0,constant_velocity,0.33333333333333331,0,0,0.0061827734851896193,0,40,turn_left
20,0,0,turn_left,0.24444444444444444,0.15489160340525776,0,0.0061827734851896193,7,40,turn_left
20,0,0,turn_right,0.42222222222222222,0.84510839659474224,0.0057678775945798066,0.0061827734851896193,33,40,turn_left
21,0,0,constant_velocity,0.31914893617021278,0.31914893617021278,0,0.0060430033043072547,10,40,turn_left
21,0,0,turn_left,0.27659574468085107,0.27659574468085107,0,0.0060430033043072547,12,40,turn_left
21,0,0,turn_right,0.40425531914893614,0.40425531914893614,0,0.0060430033043072547,18,40,turn_left
22,0,0,constant_velocity,0.30612244897959184,0,0,0.0058983010713684093,0,40,turn_left
22,0,0,turn_left,0.30612244897959184,0.21473851280041861,0,0.0058983010713684093,9,40,turn_left
22,0,0,turn_right,0.38775510204081631,0.78526148719958144,0.02006639109798547,0.0058983010713684093,31,40,turn_left
23,0,0,constant_velocity,0.29411764705882354,0.29411764705882354,0.022018741142765003,0.0058311761208062092,12,40,turn_right
23,0,0,turn_left,0.29411764705882354,0.052086403683817617,0,0.0058311761208062092,2,40,turn_right
23,0,0,turn_right,0.41176470588235292,0.65379594925735884,0.044124828994755783,0.0058311761208062092,26,40,turn_right
24,0,0,constant_velocity,0.28301886792452829,0.28301886792452829,0,0.0056995689421019376,7,40,turn_left
24,0,0,turn_left,0.32075471698113206,0.32075471698113206,0,0.0056995689421019376,13,40,turn_left
24,0,0,turn_right,0.39622641509433965,0.39622641509433965,0,0.0056995689421019376,20,40,turn_left
25,0,0,constant_velocity,0.27272727272727271,0,0.0070870663743542589,0.0056363995832090568,0,40,turn_right
25,0,0,turn_left,0.30909090909090908,0.2118393743358305,0,0.0056363995832090568,6,40,turn_right
25,0,0,turn_right,0.41818181818181815,0.78816062566416945,0.017697883562913672,0.0056363995832090568,34,40,turn_right
26,0,0,constant_velocity,0.26315789473684209,0,0.0015259990289430703,0.0055659348544108995,0,40,turn_right
26,0,0,turn_left,0.2982456140350877,0.19912249396061033,0,0.0055659348544108995,6,40,turn_right
26,0,0,turn_right,0.43859649122807015,0.80087750603938956,0.0070734099692610214,0.0055659348544108995,34,40,turn_right
27,0,0,constant_velocity,0.25423728813559321,0.25423728813559321,0,0.005490361631353532,10,40,turn_right
27,0,0,turn_left,0.28813559322033899,0.28813559322033899,0,0.005490361631353532,13,40,turn_right
27,0,0,turn_right,0.4576271186440678,0.4576271186440678,0,0.005490361631353532,17,40,turn_right
28,0,0,constant_velocity,0.24590163934426229,0.24590163934426229,0,0.0053922390582600626,7,40,turn_left
28,0,0,turn_left,0.31147540983606559,0.31147540983606559,0,0.0053922390582600626,11,40,turn_left
28,0,0,turn_right,0.44262295081967212,0.44262295081967212,0,0.0053922390582600626,22,40,turn_left
29,0,0,constant_velocity,0.23809523809523808,0.23809523809523808,0,0.0052923946974037465,10,40,turn_left
29,0,0,turn_left,0.33333333333333331,0.33333333333333331,0,0.0052923946974037465,12,40,turn_left
29,0,0,turn_right,0.42857142857142855,0.42857142857142855,0,0.0052923946974037465,18,40,turn_left
30,0,0,constant_velocity,0.23076923076923078,0,0.078808415056953823,0.0051921713007775675,0,40,turn_left
30,0,0,turn_left,0.35384615384615387,0.25400290894370814,0.052622572578604976,0.0051921713007775675,11,40,turn_left
30,0,0,turn_right,0.41538461538461541,0.74599709105629186,0.106182224958209,0.0051921713007775675,29,40,turn_left
31,0,0,constant_velocity,0.2537313432835821,0,0.031485719395221073,0.0050842843087183006,0,40,constant_velocity
31,0,0,turn_left,0.34328358208955223,0.25942731470786046,0.0033777992498748022,0.0050842843087183006,10,40,constant_velocity
31,0,0,turn_right,0.40298507462686567,0.74057268529213949,0.059989047084128944,0.0050842843087183006,30,40,constant_velocity
32,0,0,constant_velocity,0.24637681159420291,0.49557255550108981,0.060105139069963481,0.0050362919193903243,17,40,turn_right
32,0,0,turn_left,0.33333333333333331,0,0.031025974184688443,0.0050362919193903243,0,40,turn_right
32,0,0,turn_right,0.42028985507246375,0.50442744449891019,0.088736220670359967,0.0050362919193903243,23,40,turn_right
33,0,0,constant_velocity,0.26760563380281688,0.50637178106966863,0.089498367668718132,0.0049354026135721516,25,40,constant_velocity
33,0,0,turn_left,0.323943661971831,0,0.060421462398415948,0.0049354026135721516,0,40,constant_velocity
33,0,0,turn_right,0.40845070422535212,0.49362821893033143,0.11706958971140058,0.0049354026135721516,15,40,constant_velocity
34,0,0,constant_velocity,0.26027397260273971,0.48524388279901121,0.099890630888964799,0.0048873660818794648,22,40,turn_right
34,0,0,turn_left,0.31506849315068491,0,0.071844411265415575,0.0048873660818794648,0,40,turn_right
34,0,0,turn_right,0.42465753424657532,0.51475611720098868,0.1254758698377843,0.0048873660818794648,18,40,turn_right
35,0,0,constant_velocity,0.25333333333333335,0.46569673030367126,0.082851270478064759,0.0048364366709654138,13,40,turn_right
35,0,0,turn_left,0.30666666666666664,0,0.057194670686114002,0.0048364366709654138,0,40,turn_right
35,0,0,turn_right,0.44,0.53430326969632869,0.10496460207246094,0.0048364366709654138,27,40,turn_right
36,0,0,constant_velocity,0.27272727272727271,0.47666567672524307,0.029316860703240716,0.0047457732257114244,18,40,constant_velocity
36,0,0,turn_left,0.29870129870129869,0,0.0080020150220944941,0.0047457732257114244,0,40,constant_velocity
36,0,0,turn_right,0.42857142857142855,0.52333432327475693,0.047158296611211237,0.0047457732257114244,22,40,constant_velocity
37,0,0,constant_velocity,0.26582278481012656,0.26582278481012656,0,0.00469625013454621,11,40,turn_right
37,0,0,turn_left,0.29113924050632911,0.29113924050632911,0,0.00469625013454621,8,40,turn_right
37,0,0,turn_right,0.44303797468354428,0.44303797468354428,0,0.00469625013454621,21,40,turn_right
38,0,0,constant_velocity,0.25925925925925924,0,0,0.0046370891737217788,0,40,turn_left
38,0,0,turn_left,0.30864197530864196,0.24611785599108255,0,0.0046370891737217788,7,40,turn_left
38,0,0,turn_right,0.43209876543209874,0.7538821440089174,0.0066451903844877147,0.0046370891737217788,33,40,turn_left
39,0,0,constant_velocity,0.27710843373493976,0.5018446475525874,0.026269547341404659,0.0045561616579445508,15,40,constant_velocity
39,0,0,turn_left,0.30120481927710846,0,0.017540355999368193,0.0045561616579445508,0,40,constant_velocity
39,0,0,turn_right,0.42168674698795183,0.4981553524474126,0.032618977486599574,0.0045561616579445508,25,40,constant_velocity
40,0,0,constant_velocity,0.29411764705882354,0.51119829554748375,0.014990964897837356,0.0044774100431469056,18,40,constant_velocity
40,0,0,turn_left,0.29411764705882354,0,0.0091756772257741565,0.0044774100431469056,0,40,constant_velocity
40,0,0,turn_right,0.41176470588235292,0.48880170445251614,0.019382314948435633,0.0044774100431469056,22,40,constant_velocity
41,0,0,constant_velocity,0.31034482758620691,0.31034482758620691,0,0.0044008129780940533,14,40,constant_velocity
41,0,0,turn_left,0.28735632183908044,0.28735632183908044,0,0.0044008129780940533,12,40,constant_velocity
41,0,0,turn_right,0.40229885057471265,0.40229885057471265,0,0.0044008129780940533,14,40,constant_velocity
42,0,0,constant_velocity,0.3258426966292135,0.3258426966292135,0,0.0043263375936792563,7,40,constant_velocity
42,0,0,turn_left,0.2808988764044944,0.2808988764044944,0,0.0043263375936792563,19,40,constant_velocity
42,0,0,turn_right,0.39325842696629215,0.39325842696629215,0,0.0043263375936792563,14,40,constant_velocity
43,0,0,constant_velocity,0.31868131868131866,0.31868131868131866,0,0.0042907071135105989,14,40,turn_right
43,0,0,turn_left,0.27472527472527475,0.27472527472527475,0,0.0042907071135105989,9,40,turn_right
43,0,0,turn_right,0.40659340659340659,0.40659340659340659,0,0.0042907071135105989,17,40,turn_right
44,0,0,constant_velocity,0.31182795698924731,0.31182795698924731,0,0.004247007161504157,14,40,turn_left
44,0,0,turn_left,0.29032258064516131,0.29032258064516131,0,0.004247007161504157,11,40,turn_left
44,0,0,turn_right,0.39784946236559138,0.39784946236559138,0,0.004247007161504157,15,40,turn_left
45,0,0,constant_velocity,0.32631578947368423,0.32631578947368423,0,0.0041796699015653263,10,40,constant_velocity
45,0,0,turn_left,0.28421052631578947,0.28421052631578947,0,0.0041796699015653263,9,40,constant_velocity
45,0,0,turn_right,0.38947368421052631,0.38947368421052631,0,0.0041796699015653263,21,40,constant_velocity
46,0,0,constant_velocity,0.34020618556701032,0.34020618556701032,0,0.0041140973485388199,10,40,constant_velocity
46,0,0,turn_left,0.27835051546391754,0.27835051546391754,0,0.0041140973485388199,12,40,constant_velocity
46,0,0,turn_right,0.38144329896907214,0.38144329896907214,0,0.0041140973485388199,18,40,constant_velocity
47,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,0,0.0040841161067237909,10,40,turn_right
47,0,0,turn_left,0.27272727272727271,0.27272727272727271,0,0.0040841161067237909,13,40,turn_right
47,0,0,turn_right,0.39393939393939392,0.39393939393939392,0,0.0040841161067237909,17,40,turn_right
48,0,0,constant_velocity,0.32673267326732675,0.32673267326732675,0,0.00404673185429456,12,40,turn_left
48,0,0,turn_left,0.28712871287128711,0.28712871287128711,0,0.00404673185429456,16,40,turn_left
48,0,0,turn_right,0.38613861386138615,0.38613861386138615,0,0.00404673185429456,12,40,turn_left
49,0,0,constant_velocity,0.32038834951456313,0.32038834951456313,0,0.0040081010775647984,12,40,turn_left
49,0,0,turn_left,0.30097087378640774,0.30097087378640774,0,0.0040081010775647984,11,40,turn_left
49,0,0,turn_right,0.37864077669902912,0.37864077669902912,0,0.0040081010775647984,17,40,turn_left
50,0,0,constant_velocity,0.31428571428571428,0.31428571428571428,0,0.0039685639976591771,11,40,turn_left
50,0,0,turn_left,0.31428571428571428,0.31428571428571428,0,0.0039685639976591771,13,40,turn_left
50,0,0,turn_right,0.37142857142857144,0.37142857142857144,0,0.0039685639976591771,16,40,turn_left
51,0,0,constant_velocity,0.30841121495327101,0.30841121495327101,0,0.0039283974735421058,12,40,turn_left
51,0,0,turn_left,0.32710280373831774,0.32710280373831774,0,0.0039283974735421058,16,40,turn_left
51,0,0,turn_right,0.3644859813084112,0.3644859813084112,0,0.0039283974735421058,12,40,turn_left
52,0,0,constant_velocity,0.32110091743119268,0.32110091743119268,0,0.0038749082774767137,13,40,constant_velocity
52,0,0,turn_left,0.32110091743119268,0.32110091743119268,0,0.0038749082774767137,11,40,constant_velocity
52,0,0,turn_right,0.3577981651376147,0.3577981651376147,0,0.0038749082774767137,16,40,constant_velocity
53,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,0,0.0038226061500683819,9,40,constant_velocity
53,0,0,turn_left,0.31531531531531531,0.31531531531531531,0,0.0038226061500683819,15,40,constant_velocity
53,0,0,turn_right,0.35135135135135137,0.35135135135135137,0,0.0038226061500683819,16,40,constant_velocity
54,0,0,constant_velocity,0.34513274336283184,0.34513274336283184,0,0.0037714719980417926,14,40,constant_velocity
54,0,0,turn_left,0.30973451327433627,0.30973451327433627,0,0.0037714719980417926,16,40,constant_velocity
54,0,0,turn_right,0.34513274336283184,0.34513274336283184,0,0.0037714719980417926,10,40,constant_velocity
55,0,0,constant_velocity,0.35652173913043478,0.35652173913043478,0,0.0037214846017267992,19,40,constant_velocity
55,0,0,turn_left,0.30434782608695654,0.30434782608695654,0,0.0037214846017267992,9,40,constant_velocity
55,0,0,turn_right,0.33913043478260868,0.33913043478260868,0,0.0037214846017267992,12,40,constant_velocity
56,0,0,constant_velocity,0.3504273504273504,0.3504273504273504,0,0.0037041888928353714,15,40,turn_right
56,0,0,turn_left,0.29914529914529914,0.29914529914529914,0,0.0037041888928353714,10,40,turn_right
56,0,0,turn_right,0.3504273504273504,0.3504273504273504,0,0.0037041888928353714,15,40,turn_right
57,0,0,constant_velocity,0.34453781512605042,0.34453781512605042,0,0.0036854611769382064,15,40,turn_right
57,0,0,turn_left,0.29411764705882354,0.29411764705882354,0,0.0036854611769382064,10,40,turn_right
57,0,0,turn_right,0.36134453781512604,0.36134453781512604,0,0.0036854611769382064,15,40,turn_right
58,0,0,constant_velocity,0.35537190082644626,0.35537190082644626,0,0.0036387619032059327,12,40,constant_velocity
58,0,0,turn_left,0.28925619834710742,0.28925619834710742,0,0.0036387619032059327,13,40,constant_velocity
58,0,0,turn_right,0.35537190082644626,0.35537190082644626,0,0.0036387619032059327,15,40,constant_velocity
59,0,0,constant_velocity,0.36585365853658536,0.36585365853658536,0,0.0035930716340566368,15,40,constant_velocity
59,0,0,turn_left,0.28455284552845528,0.28455284552845528,0,0.0035930716340566368,9,40,constant_velocity
59,0,0,turn_right,0.34959349593495936,0.34959349593495936,0,0.0035930716340566368,16,40,constant_velocity
