step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,0,0,0,1.5,,,0,2.0509495428720452,0,0,0
0,0,obstacle,0,turn_right,5,-0.075486150146468645,,,0.15203177172715598,0,0,2.0509495428720452,0,0,0
1,0.10000000000000001,ego,-1,,0.16499622491164184,-1.153810010997898e-10,-1.3574637348645241e-09,1.7999244982328368,,,0.16499622491164184,1.9012116527071654,0.0094331558377285015,47.963527999999997,0
1,0.10000000000000001,obstacle,0,turn_right,5.0151963362560794,-0.075942177050431409,,,0.15196336256079712,-0.004560269039627681,0.16499622491164184,1.9012116527071654,0.0094331558377285015,47.963527999999997,0
2,0.20000000000000001,ego,-1,,0.35875418861315606,-2.2796814259026778e-10,1.5939985079881043e-10,2.0752347757974472,,,0.35875418861315606,1.7227244444345959,0.0067621951131936163,37.406343,0
2,0.20000000000000001,obstacle,0,turn_left,5.0303995134287955,-0.075942177050431409,,,0.15203177172715596,0,0.35875418861315606,1.7227244444345959,0.0067621951131936163,37.406343,0
3,0.30000000000000004,ego,-1,,0.56877024353765793,-6.3196843110301151e-10,-3.9903105523733353e-09,2.12508632269259,,,0.56877024353765793,1.5280035850494678,0.0076016634675092143,38.487817999999997,0
3,0.30000000000000004,obstacle,0,turn_right,5.045595849684875,-0.076398203954394173,,,0.15196336256079709,-0.004560269039627681,0.56877024353765793,1.5280035850494678,0.0076016634675092143,38.487817999999997,0
4,0.40000000000000002,ego,-1,,0.77677955039910052,-0.00052366888940955374,-0.0050715912921016461,2.0351174558125025,,,0.77677955039910052,1.3349898879037554,0.0074941314275030176,39.558492000000001,0
4,0.40000000000000002,obstacle,0,turn_right,5.0607716693474103,-0.077309847368887047,,,0.15175819662535278,-0.0091164341449286208,0.77677955039910052,1.3349898879037554,0.0074941314275030176,39.558492000000001,0
5,0.5,ego,-1,,0.9813455583191677,-0.00025045602309262067,0.0077207275569778555,2.0562342479850417,,,0.9813455583191677,1.1467436348108373,0.006516226891093665,38.723339000000003,0
5,0.5,obstacle,0,turn_left,5.0759680056034906,-0.077765874272849811,,,0.15196336256079709,-0.0045602690396276801,0.9813455583191677,1.1467436348108373,0.006516226891093665,38.723339000000003,0
6,0.60000000000000009,ego,-1,,1.1878392041430714,0.0021433747516574771,0.015452708610879282,2.0739264582419441,,,1.1878392041430714,0.9568131759038625,0.0060634164552170978,39.210971999999998,0
6,0.60000000000000009,obstacle,0,constant_velocity,5.09116434185957,-0.078221901176812575,,,0.15196336256079709,-0.0045602690396276801,1.1878392041430714,0.9568131759038625,0.0060634164552170978,39.210971999999998,0
7,0.70000000000000007,ego,-1,,1.395354512543596,0.0051245094403266972,0.013277527225141094,2.0768087714261041,,,1.395354512543596,0.76474620687042116,0.0059524340756299619,38.969900000000003,0
7,0.70000000000000007,obstacle,0,turn_right,5.1063401615221053,-0.079133544591305449,,,0.15175819662535278,-0.0091164341449286208,1.395354512543596,0.76474620687042116,0.0059524340756299619,38.969900000000003,0
8,0.80000000000000004,ego,-1,,1.602324678520382,0.0068978515104014815,0.0038475967303994198,2.0627618247687649,,,1.602324678520382,0.57214319117147938,0.0054554177695325346,39.442183999999997,0
8,0.80000000000000004,obstacle,0,turn_left,5.1215364977781856,-0.079589571495268213,,,0.15196336256079709,-0.0045602690396276801,1.602324678520382,0.57214319117147938,0.0054554177695325346,39.442183999999997,0
9,0.90000000000000002,ego,-1,,1.808365676783994,0.0062593543048405868,-0.010050573798988768,2.058111092609697,,,1.808365676783994,0.38010100015779891,0.0050186113406867723,40.574955000000003,0
9,0.90000000000000002,obstacle,0,turn_left,5.1367396749509018,-0.079589571495268213,,,0.15203177172715593,0,1.808365676783994,0.38010100015779891,0.0050186113406867723,40.574955000000003,0
10,1,ego,-1,,2.0138115940109729,0.010883626119615498,0.055089143839537946,2.0525746742561024,,,2.0138115940109729,0.20873399106653046,0.0049912394516459261,38.168729999999996,0
10,1,obstacle,0,turn_right,5.1519360112069812,-0.080045598399230977,,,0.15196336256079707,-0.0045602690396276801,2.0138115940109729,0.20873399106653046,0.0049912394516459261,38.168729999999996,0
11,1.1000000000000001,ego,-1,,2.2182722153857442,0.028941995857205922,0.12109376683055857,2.0533015348182793,,,2.2182722153857442,0.075598888957776333,0.0049003942764861063,39.926701999999999,0
11,1.1000000000000001,obstacle,0,turn_right,5.1671118308695165,-0.080957241813723851,,,0.15175819662535275,-0.0091164341449286208,2.2182722153857442,0.075598888957776333,0.0049003942764861063,39.926701999999999,0
12,1.2000000000000002,ego,-1,,2.4216227666596479,0.061148832477268697,0.19298876939516613,2.0652899462719927,,,2.4216227666596479,0.0056882573463887809,0.0046236843839216786,39.751033,0
12,1.2000000000000002,obstacle,0,turn_left,5.1823081671255968,-0.081413268717686615,,,0.15196336256079707,-0.004560269039627681,2.4216227666596479,0.0056882573463887809,0.0046236843839216786,39.751033,0
13,1.3,ego,-1,,2.6232103855593931,0.107840262012581,0.26217271169781314,2.0740210914254908,,,2.6232103855593931,0.0062124672221750554,0.0044359644279703672,43.134357000000001,0
13,1.3,obstacle,0,constant_velocity,5.1975045033816762,-0.081869295621649379,,,0.15196336256079707,-0.004560269039627681,2.6232103855593931,0.0062124672221750554,0.0044359644279703672,43.134357000000001,0
14,1.4000000000000001,ego,-1,,2.8228155740434056,0.16504726247584026,0.29605183597842116,2.0790017251155906,,,2.8228155740434056,0.0079999033127292618,0.0042541907912635596,41.974074999999999,0
14,1.4000000000000001,obstacle,0,constant_velocity,5.2127008396377557,-0.082325322525612143,,,0.15196336256079707,-0.004560269039627681,2.8228155740434056,0.0079999033127292618,0.0042541907912635596,41.974074999999999,0
15,1.5,ego,-1,,3.0214247114282466,0.2264586951456867,0.30371328130041025,2.0787459781794633,,,3.0214247114282466,0.0054819430766519517,0.0041934923299375227,44.508779999999994,0
15,1.5,obstacle,0,turn_right,5.227876659300291,-0.083236965940105018,,,0.15175819662535275,-0.0091164341449286208,3.0214247114282466,0.0054819430766519517,0.0041934923299375227,44.508779999999994,0
16,1.6000000000000001,ego,-1,,3.2106236281171312,0.28483800052615532,0.29472087495041976,1.8812862104798671,,,3.2106236281171312,0.0068653572368595484,0.0040227526631813147,40.333984000000001,0
16,1.6000000000000001,obstacle,0,turn_left,5.2430729955563713,-0.083692992844067782,,,0.15196336256079707,-0.004560269039627681,3.2106236281171312,0.0068653572368595484,0.0040227526631813147,40.333984000000001,0
