test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,applied,success,fallback,nominal_fallback_attempted,used_nominal_fallback,a,omega,control_cost_unweighted,control_cost_weighted,mpc_cost,solve_time,qp_solve_time,constraint_time,dro_risk_time,ambiguity_radius,certificate,acceleration_weight,automatically_compute_sample_size,certification_status,classes,dt,environment,log_file,nominal_resampling_baseline,num_scenarios,obstacles,profile,repeat,repeatable,run_id,safe_horizon_enabled,scenario_budget,solver_style,steering_weight,trial_error,trial_status
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.0251398,0.0182971,0.00326762,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0188815,0.0133271,0.00288129,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0159575,0.0121975,0.00184565,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_0,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.0217266,0.014915,0.00326118,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0162321,0.0123689,0.00193966,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0159366,0.0122639,0.0018424,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc/repeat_1,true,20,sh_mpcc,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.024324,0.0167554,0.00324938,0.000321725,0.0039938,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0167823,0.0124387,0.00192215,0.000206324,0.00479247,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0165169,0.0122452,0.00185407,0.000208809,0.00478306,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.0257301,0.0181257,0.00323529,0.000323298,0.0039938,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0165116,0.0122641,0.00191126,0.000222425,0.00479247,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0188331,0.0123179,0.00313541,0.000206485,0.00478306,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1,true,20,sh_mpcc_dro,0.1,,OK
