test_suite,test_name,test_root,matrix_identity,source_artifact,arm_a,arm_b,both_collide,collision_difference_b_minus_a,collision_rate_a,collision_rate_b,controller_a,controller_b,error_or_pending_pairs,exact_mcnemar_p,expected_pairs,measured_pairs,neither_collides,only_a_collides,only_b_collides,pair,paired_bootstrap95_high,paired_bootstrap95_low,profile,safe_completion_a,safe_completion_b,scenario_budget
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,A,C,0,0,0.0,0.0,sh_mpcc,sh_mpcc_dro,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,A,E,0,0,0.0,0.0,sh_mpcc,sh_mpcc_dro_fallback,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,A,B,0,0,0.0,0.0,sh_mpcc,sh_mpcc_extra,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,A,D,0,0,0.0,0.0,sh_mpcc,sh_mpcc_resample,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,C,E,0,0,0.0,0.0,sh_mpcc_dro,sh_mpcc_dro_fallback,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,C,B,0,0,0.0,0.0,sh_mpcc_dro,sh_mpcc_extra,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,C,D,0,0,0.0,0.0,sh_mpcc_dro,sh_mpcc_resample,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,B,E,0,0,0.0,0.0,sh_mpcc_extra,sh_mpcc_dro_fallback,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,B,D,0,0,0.0,0.0,sh_mpcc_extra,sh_mpcc_resample,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/primary_summary.csv,D,E,0,0,0.0,0.0,sh_mpcc_resample,sh_mpcc_dro_fallback,0,1.0,1,1,1,0,0,straight_o1_c1_m3_boost_0_s20,,,boost_0,0.0,0.0,20
