test_suite,test_name,test_root,matrix_identity,source_artifact,classes,controller_a,controller_b,dro_artifact,dro_error,dro_status,environment,modes_per_class,nondro_artifact,nondro_error,nondro_status,obstacles,pair,profile,reverse_match,scenario_budget,seed,status,target_match
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,False,40,77,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,False,40,78,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,False,40,77,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_15_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,False,40,78,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,False,40,77,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_30_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,False,40,78,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,False,40,77,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,four_way_intersection,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/four_way_intersection_o1_c1_m3_boost_5_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,False,40,78,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,straight,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '77', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,straight_o1_c1_m3_boost_0_s40,boost_0,False,40,77,ERROR,False
fixed_budget_uncertified,fixed-budget-uncertified-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot,9f6e5a80e2035b2705c49834c560ec38253ab8ea4a3af7a6c2d94f458075c667,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/all_comparisons.csv,1,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_dro_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc_dro', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,straight,3,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc/repeat_0,"Command '['/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/experiment_runner', '--config', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/configs/sh_mpcc_straight_o1_c1_m3_boost_0_s40.yaml', '--seed', '78', '--output', '/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-pilot/straight_o1_c1_m3_boost_0_s40/seed_78/sh_mpcc', '--label', 'repeat_0']' returned non-zero exit status 1.",ERROR,1,straight_o1_c1_m3_boost_0_s40,boost_0,False,40,78,ERROR,False
