test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,obstacle,mode,automatically_compute_sample_size,certification_status,classes,environment,first_count,first_fraction,log_file,nominal_resampling_baseline,num_scenarios,obstacles,occupancy,occupancy_fraction,profile,q,q_times_S,repeat,repeatable,run_id,safe_horizon_enabled,scenario_budget,solver_style,trial_error,trial_status
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,1,0,constant_velocity,false,not_requested,1,four_way_intersection,6,0.15,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,48,0.15,boost_0,0.2,8,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,1,0,turn_left,false,not_requested,1,four_way_intersection,9,0.225,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,72,0.225,boost_0,0.2,8,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,1,0,turn_right,false,not_requested,1,four_way_intersection,25,0.625,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,200,0.625,boost_0,0.6,24,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,2,0,constant_velocity,false,not_requested,1,four_way_intersection,18,0.45,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,144,0.45,boost_0,0.428571,17.1429,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,2,0,turn_left,false,not_requested,1,four_way_intersection,5,0.125,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,40,0.125,boost_0,0.142857,5.71429,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,2,0,turn_right,false,not_requested,1,four_way_intersection,17,0.425,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,136,0.425,boost_0,0.428571,17.1429,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,3,0,constant_velocity,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,3,0,turn_left,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,3,0,turn_right,false,not_requested,1,four_way_intersection,40,1,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,320,1,boost_0,1,40,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,4,0,constant_velocity,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,4,0,turn_left,false,not_requested,1,four_way_intersection,4,0.1,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,32,0.1,boost_0,0.0673262,2.69305,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,4,0,turn_right,false,not_requested,1,four_way_intersection,36,0.9,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,288,0.9,boost_0,0.932674,37.307,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,5,0,constant_velocity,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
