test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,obstacle,D_max,D_min,S,automatically_compute_sample_size,budget_usage,certification_status,classes,environment,eta,eta_raw,lambda,log_file,nominal_resampling_baseline,nominal_risk,num_scenarios,obstacles,profile,q_support,qstar_risk,radius_d,radius_m,repeat,repeatable,rho,rho_raw,risk_lift,run_id,safe_horizon_enabled,solver_style,transport_cost,trial_error,trial_status,tv,tv_bound
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,1,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,1,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,1,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,1,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,2,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,2,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,2,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,2,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,3,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,3,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,3,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,3,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,4,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,4,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,4,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,4,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,5,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,5,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,5,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,5,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,6,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,6,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,6,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,6,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,7,0,0.0582614,0.0295315,1123,true,0,see_decisions,2,roundabout,0.858201,0.858201,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,7,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,1
reviewer_matrix,reviewer-pilot,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-base/reviewer-pilot,069d5523f8e5d469a1173338e820661ec2a97c4ee2f617321f977dc5ca19df1a,shift_and_boost_roundabout_o2_c2_m3,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3,77,7,1,0.161528,0.0818445,1123,true,0,see_decisions,2,roundabout,0.309543,0.309543,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0.log,false,0,1123,2,shift_and_boost,3,0,3,7,0,,0.05,0.05,0,hybrid_fixed_radius_shift_and_boost_roundabout_o2_c2_m3/seed_77/repeat_0,true,hybrid_fixed_radius,0,,OK,0,0.610915
