case,pair,profile,controller,seed,focus_mode,collision,safe_completion,no_admissible_control,minimum_safety_margin_m,executed_steps,decisions,first_attempt_inadmissible,fallback_invocations,failed_outer_attempts,total_scenario_draws,outer_attempts,qp_calls,cycle_total_ms,focus_checks,focus_represented,focus_realized,mean_nominal_probability,mean_sampling_probability,mean_focus_scenarios,nominal_probability_sum,sampling_probability_sum
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro_fallback,77,turn_right,0,1,0,0.003298465789692062,143,143,0,0,0,2860,143,1774,16276.586435,143,143,47,0.32029125077495824,0.4121908069494212,8.132867132867133,45.80164886081903,58.943285393767226
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro_fallback,78,turn_right,0,1,0,0.0031869126615706733,145,145,0,0,0,2900,145,1669,16039.396511,145,123,52,0.40929239174060766,0.3091861412013489,5.924137931034482,59.34739680238811,44.831990474195585
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro_fallback,77,turn_right,0,1,0,0.002489683935821607,150,150,0,0,0,3000,150,2069,17799.596047,150,149,67,0.4536659248907065,0.443103568647742,8.713333333333333,68.04988873360597,66.4655352971613
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro_fallback,78,turn_right,0,1,0,0.002787668418924527,151,151,0,0,0,3020,151,1756,17416.950874,151,126,60,0.4162079261522899,0.318522058718188,6.152317880794702,62.84739684899578,48.09683086644639
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_dro_fallback,77,turn_right,0,1,0,0.0030193116842982537,151,151,0,0,0,3020,151,1944,17307.561929,151,151,78,0.5302188274651722,0.5902199091643214,11.668874172185431,80.063042947241,89.12320628381254
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_dro_fallback,78,turn_right,0,1,0,0.0033204916043206856,150,150,0,0,0,3000,150,1828,16818.763174,150,139,77,0.5266819552583107,0.4244050299395783,8.44,79.00229328874661,63.660754490936746
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_dro_fallback,77,turn_right,0,1,0,0.0027025286233153256,152,152,0,0,0,3040,152,2074,17947.216923,152,143,53,0.36108297991627997,0.3512048742282427,6.9144736842105265,54.884612947274555,53.38314088269289
sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_dro_fallback,78,turn_right,0,1,0,0.0034644271963469864,145,145,0,0,0,2900,145,1684,16598.211779,145,110,52,0.3586252095736339,0.25281851452010046,4.848275862068966,52.00065538817692,36.658684605414564
sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,77,turn_right,0,1,0,0.003298465789692062,143,143,0,0,0,2860,143,1774,15924.382056,143,143,47,0.32029125077495824,0.4121908069494212,8.132867132867133,45.80164886081903,58.943285393767226
sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,78,turn_right,0,1,0,0.0031869126615706733,145,145,0,0,0,2900,145,1669,16306.59524,145,123,52,0.40929239174060766,0.3091861412013489,5.924137931034482,59.34739680238811,44.831990474195585
