step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,167.120171,1,1,0,3.9375790699859108,20,0,-1,-1,-1,-1,1,-1,-1,0,0
1,144.41009399999999,1,1,0,0.085257094973497469,20,1,0,-1,-1,-1,1,-1,-1,0,0
2,317.414492,1,1,0,0.1409205246810154,20,1,1,-1,1,1,1,-1,-1,0,0
3,139.560305,1,1,0,0.12388306087724651,20,1,0,-1,-1,-1,1,-1,-1,0,0
4,243.84216599999999,1,1,0,0.25808178069022936,20,1,1,-1,1,1,1,-1,-1,0,0
5,124.901871,1,1,0,0.016601174640547209,20,1,0,-1,-1,-1,1,-1,-1,0,0
6,216.814806,1,1,0,0.091817223529915254,20,1,1,-1,1,1,1,-1,-1,0,0
7,127.145343,1,1,0,0.069558324207231584,20,1,0,-1,-1,-1,1,-1,-1,0,0
8,132.13767900000002,1,1,0,0.20394012959603369,20,1,0,-1,-1,-1,1,-1,-1,0,0
9,269.55251699999997,1,1,0,0.49141689625138751,20,1,1,-1,1,1,1,-1,-1,0,0
10,223.30183200000002,1,1,0,0.2104356451243572,20,1,1,-1,1,1,1,-1,-1,0,0
11,122.48186099999999,1,1,0,0.092351644317614626,20,1,0,-1,-1,-1,1,-1,-1,0,0
12,284.279222,1,1,0,25.639557417016483,20,1,1,-1,1,1,1,-1,-1,0,0
13,127.720146,1,1,0,0.060271697823154863,20,1,0,-1,-1,-1,1,-1,-1,0,0
14,118.500788,1,1,0,4.8791688788474747,20,1,0,-1,-1,-1,1,-1,-1,0,0
15,246.99044800000001,1,1,0,0.64337007026181048,20,1,1,-1,0,1,1,-1,-1,0,0
16,129.157083,1,1,0,0.97819068245586893,20,1,0,-1,-1,-1,1,-1,-1,0,0
17,192.95851999999999,1,1,0,0.46589697446963968,20,1,1,-1,0,1,1,-1,-1,0,0
18,124.48990000000001,1,1,0,0.16716657925254846,20,1,0,-1,-1,-1,1,-1,-1,0,0
19,118.92695399999999,1,1,0,0.086659934959886872,20,1,0,-1,-1,-1,1,-1,-1,0,0
20,127.605259,1,1,0,0.11394860382931549,20,1,0,-1,-1,-1,1,-1,-1,0,0
21,123.555848,1,1,0,0.13405193656099906,20,1,0,-1,-1,-1,1,-1,-1,0,0
22,236.059665,1,1,0,0.01096838446770425,20,1,1,-1,0,1,1,-1,-1,0,0
23,128.82804100000001,1,1,0,0.012137830350787542,20,1,0,-1,-1,-1,1,-1,-1,0,0
24,123.195009,1,1,0,0.023164097459867253,20,1,0,-1,-1,-1,1,-1,-1,0,0
25,225.88299499999999,1,1,0,0.20027320007426305,20,1,1,-1,0,1,1,-1,-1,0,0
26,125.83607599999999,1,1,0,0.15403328134433455,20,1,0,-1,-1,-1,1,-1,-1,0,0
27,123.936949,1,1,0,0.57789463553918619,20,1,0,-1,-1,-1,1,-1,-1,0,0
28,129.43991899999997,1,1,0,1.032859836019357,20,1,0,-1,-1,-1,1,-1,-1,0,0
29,129.03400600000001,1,1,0,1.6702647960235404,20,1,0,-1,-1,-1,1,-1,-1,0,0
30,131.564942,1,1,0,0.45191475079567012,20,1,0,-1,-1,-1,1,-1,-1,0,0
31,253.19138600000002,1,1,0,0.72167442457859143,20,1,1,-1,0,1,1,-1,-1,0,0
32,127.14918400000001,1,1,0,0.83556787754290018,20,1,0,-1,-1,-1,1,-1,-1,0,0
33,123.034702,1,1,0,0.44029840795169262,20,1,0,-1,-1,-1,1,-1,-1,0,0
34,122.432631,1,1,0,0.32919503172514458,20,1,0,-1,-1,-1,1,-1,-1,0,0
35,217.88645700000001,1,1,0,0.45417180788641942,20,1,1,-1,1,1,1,-1,-1,0,0
36,115.097498,1,1,0,2.4221323671861175,20,1,0,-1,-1,-1,1,-1,-1,0,0
37,118.619045,1,1,0,0.70500997499923246,20,1,0,-1,-1,-1,1,-1,-1,0,0
38,216.46094199999999,1,1,0,0.78605272357293821,20,1,1,-1,0,1,1,-1,-1,0,0
39,213.303256,1,1,0,0.89270625336065579,20,1,1,-1,0,1,1,-1,-1,0,0
40,114.87495799999999,1,1,0,0.8739999994704023,20,1,0,-1,-1,-1,1,-1,-1,0,0
41,210.65452200000001,1,1,0,0.76580512606505347,20,1,1,-1,0,1,1,-1,-1,0,0
42,178.89555200000001,1,1,0,0.63984959417749943,20,1,1,-1,0,1,1,-1,-1,0,0
43,116.88101900000001,1,1,0,0.6401227609547856,20,1,0,-1,-1,-1,1,-1,-1,0,0
44,199.830116,1,1,0,0.68259757740151106,20,1,1,-1,0,1,1,-1,-1,0,0
45,116.852299,1,1,0,0.096597380483443004,20,1,0,-1,-1,-1,1,-1,-1,0,0
46,114.87694599999999,1,1,0,0.23341221292692296,20,1,0,-1,-1,-1,1,-1,-1,0,0
47,119.911907,1,1,0,0.69637756145971386,20,1,1,-1,0,1,1,-1,-1,0,0
48,114.92215899999999,1,1,0,0.64988096312285903,20,1,0,-1,-1,-1,1,-1,-1,0,0
49,112.656571,1,1,0,0.32733369561099057,20,1,0,-1,-1,-1,1,-1,-1,0,0
50,104.32217200000001,1,1,0,0.28857167628506719,20,1,0,-1,-1,-1,1,-1,-1,0,0
51,113.544696,1,1,0,0.30269990931541901,20,1,0,-1,-1,-1,1,-1,-1,0,0
52,110.58319,1,1,0,0.012712944077634607,20,1,0,-1,-1,-1,1,-1,-1,0,0
53,106.09189300000001,1,1,0,0.026089556720204674,20,1,0,-1,-1,-1,1,-1,-1,0,0
54,98.710251,1,1,0,0.013316432810997311,20,1,0,-1,-1,-1,1,-1,-1,0,0
55,107.69054199999999,1,1,0,0.030339017083449764,20,1,0,-1,-1,-1,1,-1,-1,0,0
56,103.598697,1,1,0,0.10789050968013761,20,1,0,-1,-1,-1,1,-1,-1,0,0
57,106.371072,1,1,0,0.24932405571950264,20,1,0,-1,-1,-1,1,-1,-1,0,0
