step,obstacle_id,class_id,true_mode,sampled_modes,represented,scenario_count
0,0,0,constant_velocity,turn_right,0,20
1,0,0,constant_velocity,turn_left;turn_right,0,20
2,0,0,turn_right,turn_right,1,20
3,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
4,0,0,turn_right,turn_right,1,20
5,0,0,constant_velocity,turn_right,0,20
6,0,0,turn_left,turn_right,0,20
7,0,0,turn_right,turn_right,1,20
8,0,0,turn_right,turn_right,1,20
9,0,0,constant_velocity,turn_right,0,20
10,0,0,turn_left,turn_right,0,20
11,0,0,turn_right,turn_left;turn_right,1,20
12,0,0,turn_right,turn_right,1,20
13,0,0,turn_left,turn_left;turn_right,1,20
14,0,0,turn_right,turn_left;turn_right,1,20
15,0,0,turn_left,turn_left;turn_right,1,20
16,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
17,0,0,constant_velocity,turn_left;turn_right,0,20
18,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
19,0,0,turn_right,turn_left;turn_right,1,20
20,0,0,turn_left,turn_left;turn_right,1,20
21,0,0,turn_right,turn_left;turn_right,1,20
22,0,0,turn_left,turn_left;turn_right,1,20
23,0,0,turn_right,turn_left;turn_right,1,20
24,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
25,0,0,turn_right,turn_left;turn_right,1,20
26,0,0,turn_right,turn_left;turn_right,1,20
27,0,0,turn_right,turn_left;turn_right,1,20
28,0,0,turn_left,turn_left;turn_right,1,20
29,0,0,turn_right,turn_left;turn_right,1,20
30,0,0,turn_left,turn_left;turn_right,1,20
31,0,0,constant_velocity,turn_left;turn_right,0,20
32,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
33,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
34,0,0,turn_right,turn_left;turn_right,1,20
35,0,0,turn_right,turn_left;turn_right,1,20
36,0,0,constant_velocity,turn_left;turn_right,0,20
37,0,0,turn_right,turn_left;turn_right,1,20
38,0,0,turn_left,turn_left;turn_right,1,20
39,0,0,constant_velocity,turn_left;turn_right,0,20
40,0,0,constant_velocity,turn_left;turn_right,0,20
41,0,0,constant_velocity,turn_left;turn_right,0,20
42,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
43,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
44,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
45,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
46,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
47,0,0,turn_right,turn_left;turn_right,1,20
48,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
49,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
