step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.59999999999999998,0.59999999999999998,,,23,40,constant_velocity
0,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,5,40,constant_velocity
0,0,0,turn_right,0.20000000000000001,0.20000000000000001,,,12,40,constant_velocity
1,0,0,constant_velocity,0.7142857142857143,0.7142857142857143,,,27,40,constant_velocity
1,0,0,turn_left,0.14285714285714285,0.14285714285714285,,,4,40,constant_velocity
1,0,0,turn_right,0.14285714285714285,0.14285714285714285,,,9,40,constant_velocity
2,0,0,constant_velocity,0.55555555555555558,0.55555555555555558,,,28,40,turn_right
2,0,0,turn_left,0.1111111111111111,0.1111111111111111,,,5,40,turn_right
2,0,0,turn_right,0.33333333333333331,0.33333333333333331,,,7,40,turn_right
3,0,0,constant_velocity,0.45454545454545453,0.45454545454545453,,,13,40,turn_right
3,0,0,turn_left,0.090909090909090912,0.090909090909090912,,,6,40,turn_right
3,0,0,turn_right,0.45454545454545453,0.45454545454545453,,,21,40,turn_right
4,0,0,constant_velocity,0.38461538461538464,0.38461538461538464,,,16,40,turn_right
4,0,0,turn_left,0.076923076923076927,0.076923076923076927,,,1,40,turn_right
4,0,0,turn_right,0.53846153846153844,0.53846153846153844,,,23,40,turn_right
5,0,0,constant_velocity,0.46666666666666667,0.46666666666666667,,,19,40,constant_velocity
5,0,0,turn_left,0.066666666666666666,0.066666666666666666,,,2,40,constant_velocity
5,0,0,turn_right,0.46666666666666667,0.46666666666666667,,,19,40,constant_velocity
6,0,0,constant_velocity,0.41176470588235292,0.41176470588235292,,,16,40,turn_left
6,0,0,turn_left,0.17647058823529413,0.17647058823529413,,,7,40,turn_left
6,0,0,turn_right,0.41176470588235292,0.41176470588235292,,,17,40,turn_left
7,0,0,constant_velocity,0.36842105263157893,0.36842105263157893,,,13,40,turn_right
7,0,0,turn_left,0.15789473684210525,0.15789473684210525,,,5,40,turn_right
7,0,0,turn_right,0.47368421052631576,0.47368421052631576,,,22,40,turn_right
8,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,16,40,turn_right
8,0,0,turn_left,0.14285714285714285,0.14285714285714285,,,6,40,turn_right
8,0,0,turn_right,0.52380952380952384,0.52380952380952384,,,18,40,turn_right
9,0,0,constant_velocity,0.39130434782608697,0.39130434782608697,,,17,40,constant_velocity
9,0,0,turn_left,0.13043478260869565,0.13043478260869565,,,5,40,constant_velocity
9,0,0,turn_right,0.47826086956521741,0.47826086956521741,,,18,40,constant_velocity
10,0,0,constant_velocity,0.35999999999999999,0.35999999999999999,,,14,40,turn_left
10,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,7,40,turn_left
10,0,0,turn_right,0.44,0.44,,,19,40,turn_left
11,0,0,constant_velocity,0.33333333333333331,0.33333333333333331,,,13,40,turn_right
11,0,0,turn_left,0.18518518518518517,0.18518518518518517,,,6,40,turn_right
11,0,0,turn_right,0.48148148148148145,0.48148148148148145,,,21,40,turn_right
12,0,0,constant_velocity,0.31034482758620691,0.31034482758620691,,,12,40,turn_right
12,0,0,turn_left,0.17241379310344829,0.17241379310344829,,,8,40,turn_right
12,0,0,turn_right,0.51724137931034486,0.51724137931034486,,,20,40,turn_right
13,0,0,constant_velocity,0.29032258064516131,0.29032258064516131,,,14,40,turn_left
13,0,0,turn_left,0.22580645161290322,0.22580645161290322,,,7,40,turn_left
13,0,0,turn_right,0.4838709677419355,0.4838709677419355,,,19,40,turn_left
14,0,0,constant_velocity,0.27272727272727271,0.27272727272727271,,,13,40,turn_right
14,0,0,turn_left,0.21212121212121213,0.21212121212121213,,,12,40,turn_right
14,0,0,turn_right,0.51515151515151514,0.51515151515151514,,,15,40,turn_right
15,0,0,constant_velocity,0.25714285714285712,0.25714285714285712,,,13,40,turn_left
15,0,0,turn_left,0.25714285714285712,0.25714285714285712,,,8,40,turn_left
15,0,0,turn_right,0.48571428571428571,0.48571428571428571,,,19,40,turn_left
16,0,0,constant_velocity,0.24324324324324326,0.24324324324324326,,,11,40,turn_right
16,0,0,turn_left,0.24324324324324326,0.24324324324324326,,,8,40,turn_right
16,0,0,turn_right,0.51351351351351349,0.51351351351351349,,,21,40,turn_right
17,0,0,constant_velocity,0.28205128205128205,0.28205128205128205,,,15,40,constant_velocity
17,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,8,40,constant_velocity
17,0,0,turn_right,0.48717948717948717,0.48717948717948717,,,17,40,constant_velocity
18,0,0,constant_velocity,0.26829268292682928,0.26829268292682928,,,8,40,turn_right
18,0,0,turn_left,0.21951219512195122,0.21951219512195122,,,7,40,turn_right
18,0,0,turn_right,0.51219512195121952,0.51219512195121952,,,25,40,turn_right
19,0,0,constant_velocity,0.2558139534883721,0.2558139534883721,,,16,40,turn_right
19,0,0,turn_left,0.20930232558139536,0.20930232558139536,,,7,40,turn_right
19,0,0,turn_right,0.53488372093023251,0.53488372093023251,,,17,40,turn_right
20,0,0,constant_velocity,0.24444444444444444,0.24444444444444444,,,17,40,turn_left
20,0,0,turn_left,0.24444444444444444,0.24444444444444444,,,8,40,turn_left
20,0,0,turn_right,0.51111111111111107,0.51111111111111107,,,15,40,turn_left
21,0,0,constant_velocity,0.23404255319148937,0.23404255319148937,,,9,40,turn_right
21,0,0,turn_left,0.23404255319148937,0.23404255319148937,,,8,40,turn_right
21,0,0,turn_right,0.53191489361702127,0.53191489361702127,,,23,40,turn_right
22,0,0,constant_velocity,0.22448979591836735,0.22448979591836735,,,12,40,turn_left
22,0,0,turn_left,0.26530612244897961,0.26530612244897961,,,9,40,turn_left
22,0,0,turn_right,0.51020408163265307,0.51020408163265307,,,19,40,turn_left
23,0,0,constant_velocity,0.21568627450980393,0.21568627450980393,,,10,40,turn_right
23,0,0,turn_left,0.25490196078431371,0.25490196078431371,,,12,40,turn_right
23,0,0,turn_right,0.52941176470588236,0.52941176470588236,,,18,40,turn_right
24,0,0,constant_velocity,0.20754716981132076,0.20754716981132076,,,8,40,turn_left
24,0,0,turn_left,0.28301886792452829,0.28301886792452829,,,10,40,turn_left
24,0,0,turn_right,0.50943396226415094,0.50943396226415094,,,22,40,turn_left
25,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,10,40,turn_right
25,0,0,turn_left,0.27272727272727271,0.27272727272727271,,,7,40,turn_right
25,0,0,turn_right,0.52727272727272723,0.52727272727272723,,,23,40,turn_right
26,0,0,constant_velocity,0.19298245614035087,0.19298245614035087,,,8,40,turn_right
26,0,0,turn_left,0.26315789473684209,0.26315789473684209,,,13,40,turn_right
26,0,0,turn_right,0.54385964912280704,0.54385964912280704,,,19,40,turn_right
27,0,0,constant_velocity,0.1864406779661017,0.1864406779661017,,,8,40,turn_right
27,0,0,turn_left,0.25423728813559321,0.25423728813559321,,,12,40,turn_right
27,0,0,turn_right,0.55932203389830504,0.55932203389830504,,,20,40,turn_right
28,0,0,constant_velocity,0.18032786885245902,0.18032786885245902,,,7,40,turn_left
28,0,0,turn_left,0.27868852459016391,0.27868852459016391,,,9,40,turn_left
28,0,0,turn_right,0.54098360655737709,0.54098360655737709,,,24,40,turn_left
29,0,0,constant_velocity,0.17460317460317459,0.17460317460317459,,,6,40,turn_right
29,0,0,turn_left,0.26984126984126983,0.26984126984126983,,,14,40,turn_right
29,0,0,turn_right,0.55555555555555558,0.55555555555555558,,,20,40,turn_right
30,0,0,constant_velocity,0.16923076923076924,0.16923076923076924,,,9,40,turn_left
30,0,0,turn_left,0.29230769230769232,0.29230769230769232,,,11,40,turn_left
30,0,0,turn_right,0.53846153846153844,0.53846153846153844,,,20,40,turn_left
31,0,0,constant_velocity,0.19402985074626866,0.19402985074626866,,,9,40,constant_velocity
31,0,0,turn_left,0.28358208955223879,0.28358208955223879,,,15,40,constant_velocity
31,0,0,turn_right,0.52238805970149249,0.52238805970149249,,,16,40,constant_velocity
32,0,0,constant_velocity,0.18840579710144928,0.18840579710144928,,,7,40,turn_right
32,0,0,turn_left,0.27536231884057971,0.27536231884057971,,,9,40,turn_right
32,0,0,turn_right,0.53623188405797106,0.53623188405797106,,,24,40,turn_right
33,0,0,constant_velocity,0.18309859154929578,0.18309859154929578,,,9,40,turn_right
33,0,0,turn_left,0.26760563380281688,0.26760563380281688,,,16,40,turn_right
33,0,0,turn_right,0.54929577464788737,0.54929577464788737,,,15,40,turn_right
34,0,0,constant_velocity,0.17808219178082191,0.17808219178082191,,,6,40,turn_right
34,0,0,turn_left,0.26027397260273971,0.26027397260273971,,,7,40,turn_right
34,0,0,turn_right,0.56164383561643838,0.56164383561643838,,,27,40,turn_right
35,0,0,constant_velocity,0.17333333333333334,0.17333333333333334,,,5,40,turn_right
35,0,0,turn_left,0.25333333333333335,0.25333333333333335,,,13,40,turn_right
35,0,0,turn_right,0.57333333333333336,0.57333333333333336,,,22,40,turn_right
36,0,0,constant_velocity,0.19480519480519481,0.19480519480519481,,,7,40,constant_velocity
36,0,0,turn_left,0.24675324675324675,0.24675324675324675,,,15,40,constant_velocity
36,0,0,turn_right,0.55844155844155841,0.55844155844155841,,,18,40,constant_velocity
37,0,0,constant_velocity,0.189873417721519,0.189873417721519,,,10,40,turn_right
37,0,0,turn_left,0.24050632911392406,0.24050632911392406,,,13,40,turn_right
37,0,0,turn_right,0.569620253164557,0.569620253164557,,,17,40,turn_right
38,0,0,constant_velocity,0.18518518518518517,0.18518518518518517,,,9,40,turn_left
38,0,0,turn_left,0.25925925925925924,0.25925925925925924,,,7,40,turn_left
38,0,0,turn_right,0.55555555555555558,0.55555555555555558,,,24,40,turn_left
39,0,0,constant_velocity,0.20481927710843373,0.20481927710843373,,,6,40,constant_velocity
39,0,0,turn_left,0.25301204819277107,0.25301204819277107,,,9,40,constant_velocity
39,0,0,turn_right,0.54216867469879515,0.54216867469879515,,,25,40,constant_velocity
40,0,0,constant_velocity,0.22352941176470589,0.22352941176470589,,,10,40,constant_velocity
40,0,0,turn_left,0.24705882352941178,0.24705882352941178,,,10,40,constant_velocity
40,0,0,turn_right,0.52941176470588236,0.52941176470588236,,,20,40,constant_velocity
41,0,0,constant_velocity,0.2413793103448276,0.2413793103448276,,,15,40,constant_velocity
41,0,0,turn_left,0.2413793103448276,0.2413793103448276,,,11,40,constant_velocity
41,0,0,turn_right,0.51724137931034486,0.51724137931034486,,,14,40,constant_velocity
42,0,0,constant_velocity,0.25842696629213485,0.25842696629213485,,,13,40,constant_velocity
42,0,0,turn_left,0.23595505617977527,0.23595505617977527,,,5,40,constant_velocity
42,0,0,turn_right,0.5056179775280899,0.5056179775280899,,,22,40,constant_velocity
43,0,0,constant_velocity,0.25274725274725274,0.25274725274725274,,,10,40,turn_right
43,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,13,40,turn_right
43,0,0,turn_right,0.51648351648351654,0.51648351648351654,,,17,40,turn_right
44,0,0,constant_velocity,0.24731182795698925,0.24731182795698925,,,6,40,turn_left
44,0,0,turn_left,0.24731182795698925,0.24731182795698925,,,7,40,turn_left
44,0,0,turn_right,0.5053763440860215,0.5053763440860215,,,27,40,turn_left
45,0,0,constant_velocity,0.26315789473684209,0.26315789473684209,,,8,40,constant_velocity
45,0,0,turn_left,0.24210526315789474,0.24210526315789474,,,12,40,constant_velocity
45,0,0,turn_right,0.49473684210526314,0.49473684210526314,,,20,40,constant_velocity
46,0,0,constant_velocity,0.27835051546391754,0.27835051546391754,,,8,40,constant_velocity
46,0,0,turn_left,0.23711340206185566,0.23711340206185566,,,11,40,constant_velocity
46,0,0,turn_right,0.4845360824742268,0.4845360824742268,,,21,40,constant_velocity
47,0,0,constant_velocity,0.27272727272727271,0.27272727272727271,,,9,40,turn_right
47,0,0,turn_left,0.23232323232323232,0.23232323232323232,,,10,40,turn_right
47,0,0,turn_right,0.49494949494949497,0.49494949494949497,,,21,40,turn_right
48,0,0,constant_velocity,0.26732673267326734,0.26732673267326734,,,13,40,turn_left
48,0,0,turn_left,0.24752475247524752,0.24752475247524752,,,12,40,turn_left
48,0,0,turn_right,0.48514851485148514,0.48514851485148514,,,15,40,turn_left
49,0,0,constant_velocity,0.26213592233009708,0.26213592233009708,,,8,40,turn_left
49,0,0,turn_left,0.26213592233009708,0.26213592233009708,,,6,40,turn_left
49,0,0,turn_right,0.47572815533980584,0.47572815533980584,,,26,40,turn_left
50,0,0,constant_velocity,0.25714285714285712,0.25714285714285712,,,5,40,turn_right
50,0,0,turn_left,0.25714285714285712,0.25714285714285712,,,17,40,turn_right
50,0,0,turn_right,0.48571428571428571,0.48571428571428571,,,18,40,turn_right
51,0,0,constant_velocity,0.25233644859813081,0.25233644859813081,,,9,40,turn_left
51,0,0,turn_left,0.27102803738317754,0.27102803738317754,,,10,40,turn_left
51,0,0,turn_right,0.47663551401869159,0.47663551401869159,,,21,40,turn_left
52,0,0,constant_velocity,0.26605504587155965,0.26605504587155965,,,12,40,constant_velocity
52,0,0,turn_left,0.26605504587155965,0.26605504587155965,,,11,40,constant_velocity
52,0,0,turn_right,0.46788990825688076,0.46788990825688076,,,17,40,constant_velocity
53,0,0,constant_velocity,0.27927927927927926,0.27927927927927926,,,13,40,constant_velocity
53,0,0,turn_left,0.26126126126126126,0.26126126126126126,,,14,40,constant_velocity
53,0,0,turn_right,0.45945945945945948,0.45945945945945948,,,13,40,constant_velocity
54,0,0,constant_velocity,0.27433628318584069,0.27433628318584069,,,11,40,turn_right
54,0,0,turn_left,0.25663716814159293,0.25663716814159293,,,13,40,turn_right
54,0,0,turn_right,0.46902654867256638,0.46902654867256638,,,16,40,turn_right
55,0,0,constant_velocity,0.28695652173913044,0.28695652173913044,,,10,40,constant_velocity
55,0,0,turn_left,0.25217391304347825,0.25217391304347825,,,6,40,constant_velocity
55,0,0,turn_right,0.46086956521739131,0.46086956521739131,,,24,40,constant_velocity
56,0,0,constant_velocity,0.28205128205128205,0.28205128205128205,,,9,40,turn_right
56,0,0,turn_left,0.24786324786324787,0.24786324786324787,,,7,40,turn_right
56,0,0,turn_right,0.47008547008547008,0.47008547008547008,,,24,40,turn_right
57,0,0,constant_velocity,0.27731092436974791,0.27731092436974791,,,9,40,turn_right
57,0,0,turn_left,0.24369747899159663,0.24369747899159663,,,12,40,turn_right
57,0,0,turn_right,0.47899159663865548,0.47899159663865548,,,19,40,turn_right
58,0,0,constant_velocity,0.28925619834710742,0.28925619834710742,,,14,40,constant_velocity
58,0,0,turn_left,0.23966942148760331,0.23966942148760331,,,6,40,constant_velocity
58,0,0,turn_right,0.47107438016528924,0.47107438016528924,,,20,40,constant_velocity
59,0,0,constant_velocity,0.30081300813008133,0.30081300813008133,,,12,40,constant_velocity
59,0,0,turn_left,0.23577235772357724,0.23577235772357724,,,14,40,constant_velocity
