step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,160.60891999999998,1,1,0,3.7408844798179888,20,0,-1,-1,-1,-1,1,-1,-1,0,0
1,131.12323800000001,1,1,0,0.075814401872879064,20,1,0,-1,-1,-1,1,-1,-1,0,0
2,295.39461299999999,1,1,0,0.0077102204589275785,20,1,1,-1,1,1,1,-1,-1,0,0
3,131.45741699999999,1,1,0,0.059236031930322418,20,1,0,-1,-1,-1,1,-1,-1,0,0
4,210.24962600000001,1,1,0,0.3773303148064589,20,1,1,-1,1,1,1,-1,-1,0,0
5,130.85233199999999,1,1,0,0.032865545585056964,20,1,0,-1,-1,-1,1,-1,-1,0,0
6,248.19261600000002,1,1,0,0.087841598262021203,20,1,1,-1,1,1,1,-1,-1,0,0
7,120.34114599999999,1,1,0,0.087166781806799848,20,1,0,-1,-1,-1,1,-1,-1,0,0
8,118.50296899999999,1,1,0,0.2080659957348058,20,1,0,-1,-1,-1,1,-1,-1,0,0
9,275.68116799999996,1,1,0,0.72012144309313897,20,1,1,-1,1,1,1,-1,-1,0,0
10,116.286151,1,1,0,0.12229455243852112,20,1,0,-1,-1,-1,1,-1,-1,0,0
11,112.314386,1,1,0,0.082943636947451299,20,1,0,-1,-1,-1,1,-1,-1,0,0
12,226.85702999999998,1,1,0,25.639835536072546,20,1,1,-1,1,1,1,-1,-1,0,0
13,128.571744,1,1,0,25.639940145706564,20,1,0,-1,-1,-1,1,-1,-1,0,0
14,215.79763,1,1,0,19.130586900215413,20,1,1,-1,1,1,1,-1,-1,0,0
15,236.57966400000001,1,1,0,8.6351506883624918,20,1,1,-1,1,1,1,-1,-1,0,0
16,113.23198099999999,1,1,0,9.6389311741247123,20,1,0,-1,-1,-1,1,-1,-1,0,0
17,129.23651599999999,1,1,0,9.6393507988930853,20,1,0,-1,-1,-1,1,-1,-1,0,0
18,272.70987200000002,1,1,0,25.639988070051142,20,1,1,-1,1,1,1,-1,-1,0,0
19,113.659085,1,1,0,21.453424615187576,20,1,0,-1,-1,-1,1,-1,-1,0,0
20,114.42574,1,1,0,1.2716519791954182,20,1,0,-1,-1,-1,1,-1,-1,0,0
21,253.27628899999999,1,1,0,9.6389627878190876,20,1,1,-1,1,1,1,-1,-1,0,0
22,124.01101800000001,1,1,0,9.6389379716422621,20,1,0,-1,-1,-1,1,-1,-1,0,0
23,126.879452,1,1,0,9.4716169889505224,20,1,0,-1,-1,-1,1,-1,-1,0,0
24,228.75359399999999,1,1,0,0.97264529332592831,20,1,1,-1,1,1,1,-1,-1,0,0
25,123.479822,1,1,0,0.66285558548506907,20,1,0,-1,-1,-1,1,-1,-1,0,0
26,124.84584,1,1,0,9.3576807505614159,20,1,0,-1,-1,-1,1,-1,-1,0,0
27,115.761684,1,1,0,2.8515344496929291,20,1,0,-1,-1,-1,1,-1,-1,0,0
28,219.70889699999998,1,1,0,0.86293449559985036,20,1,1,-1,0,1,1,-1,-1,0,0
29,127.56425399999999,1,1,0,0.049054909752115947,20,1,0,-1,-1,-1,1,-1,-1,0,0
30,129.60534000000001,1,1,0,0.031098847641203423,20,1,0,-1,-1,-1,1,-1,-1,0,0
31,227.04963799999999,1,1,0,0.036719199062878786,20,1,1,-1,0,1,1,-1,-1,0,0
32,122.550983,1,1,0,0.00019336544593400609,20,1,0,-1,-1,-1,1,-1,-1,0,0
33,127.259553,1,1,0,0.0403495631815887,20,1,0,-1,-1,-1,1,-1,-1,0,0
34,126.815557,1,1,0,0.01808026524164652,20,1,0,-1,-1,-1,1,-1,-1,0,0
35,216.042417,1,1,0,0.04610232793291056,20,1,1,-1,0,1,1,-1,-1,0,0
36,129.214448,1,1,0,0.17213538525509897,20,1,0,-1,-1,-1,1,-1,-1,0,0
37,125.241356,1,1,0,0.062632419073313947,20,1,0,-1,-1,-1,1,-1,-1,0,0
38,125.149658,1,1,0,0.15898772065803593,20,1,0,-1,-1,-1,1,-1,-1,0,0
39,197.183604,1,1,0,0.51105725738778851,20,1,1,-1,0,1,1,-1,-1,0,0
40,115.275592,1,1,0,0.57899030645808569,20,1,0,-1,-1,-1,1,-1,-1,0,0
41,118.893676,1,1,0,1.4986501911453187,20,1,0,-1,-1,-1,1,-1,-1,0,0
42,219.65731099999999,1,1,0,2.5691936212519852,20,1,1,-1,0,1,1,-1,-1,0,0
43,230.217153,1,1,0,25.639993511753321,20,1,1,-1,1,1,1,-1,-1,0,0
44,118.703585,1,1,0,22.971878254979657,20,1,0,-1,-1,-1,1,-1,-1,0,0
45,123.925231,1,1,0,3.0791945793404127,20,1,0,-1,-1,-1,1,-1,-1,0,0
46,125.105867,1,1,0,1.4756294785443163,20,1,0,-1,-1,-1,1,-1,-1,0,0
47,188.956525,1,1,0,24.045351878806965,20,1,1,-1,0,1,1,-1,-1,0,0
48,114.72477600000001,1,1,0,9.6355579932273798,20,1,0,-1,-1,-1,1,-1,-1,0,0
49,127.17292099999999,1,1,0,8.9963475836606843,20,1,0,-1,-1,-1,1,-1,-1,0,0
50,211.26550399999999,1,1,0,6.6878347243677014,20,1,1,-1,0,1,1,-1,-1,0,0
51,127.474568,1,1,0,9.6398041518044728,20,1,0,-1,-1,-1,1,-1,-1,0,0
52,222.67317500000001,1,1,0,9.6399602408814111,20,1,1,-1,0,1,1,-1,-1,0,0
53,137.10762600000001,1,1,0,9.1290113935486321,20,1,0,-1,-1,-1,1,-1,-1,0,0
54,121.985074,1,1,0,9.0764022928765904,20,1,0,-1,-1,-1,1,-1,-1,0,0
55,225.90428200000002,1,1,0,7.257937276727878,20,1,1,-1,0,1,1,-1,-1,0,0
56,119.13921500000001,1,1,0,7.2669494897684181,20,1,0,-1,-1,-1,1,-1,-1,0,0
57,117.39037400000001,1,1,0,7.9409175020172214,20,1,0,-1,-1,-1,1,-1,-1,0,0
58,199.41842700000001,1,1,0,0.70132652243025395,20,1,1,-1,0,1,1,-1,-1,0,0
59,118.507204,1,1,0,2.3100822627720352,20,1,0,-1,-1,-1,1,-1,-1,0,0
60,213.44702500000002,1,1,0,2.2736307044027622,20,1,1,-1,0,1,1,-1,-1,0,0
61,113.484607,1,1,0,2.1479374861987104,20,1,0,-1,-1,-1,1,-1,-1,0,0
62,111.74557300000001,1,1,0,2.2796288495437094,20,1,0,-1,-1,-1,1,-1,-1,0,0
63,111.371668,1,1,0,1.4485007461888253,20,1,0,-1,-1,-1,1,-1,-1,0,0
64,109.651186,1,1,0,0.98038356069704913,20,1,0,-1,-1,-1,1,-1,-1,0,0
65,120.515091,1,1,0,0.29146456123815101,20,1,1,-1,0,1,1,-1,-1,0,0
66,112.71829799999999,1,1,0,0.64238817538146953,20,1,0,-1,-1,-1,1,-1,-1,0,0
67,213.26009000000002,1,1,0,0.69888471700395227,20,1,1,-1,0,1,1,-1,-1,0,0
68,119.772401,1,1,0,0.66016171711676019,20,1,0,-1,-1,-1,1,-1,-1,0,0
69,118.58999300000001,1,1,0,0.67425213138089402,20,1,0,-1,-1,-1,1,-1,-1,0,0
70,106.154504,1,1,0,0.76650664663077861,20,1,0,-1,-1,-1,1,-1,-1,0,0
