step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,1,190.81091999999998,20,10
1,0,1,1,160.439391,20,10
2,0,1,1,161.08325300000001,20,10
3,0,1,1,138.18487500000001,20,10
4,0,1,1,238.39902099999998,20,19
5,0,1,1,140.70666400000002,20,10
6,0,1,1,280.19816800000001,20,118
7,0,1,1,134.605119,20,10
8,0,1,1,243.70113400000002,20,20
9,0,1,1,129.48992000000001,20,10
10,0,1,1,131.88138899999998,20,10
11,0,1,1,241.85034300000001,20,20
12,0,1,1,126.80070800000001,20,10
13,0,1,1,127.27981699999999,20,10
14,0,1,1,249.07670400000001,20,19
15,0,1,1,123.476758,20,10
16,0,1,1,125.254965,20,10
17,0,1,1,196.02217299999998,20,15
18,0,1,1,141.59093899999999,20,10
19,0,1,1,207.90005199999999,20,15
20,0,1,1,124.650543,20,10
21,0,1,1,229.43064799999999,20,19
22,0,1,1,129.60702800000001,20,10
23,0,1,1,229.30607000000001,20,19
24,0,1,1,128.341509,20,10
25,0,1,1,246.570413,20,19
26,0,1,1,125.849024,20,10
27,0,1,1,126.24194,20,10
28,0,1,1,231.79047699999998,20,19
29,0,1,1,127.46532199999999,20,10
30,0,1,1,118.66278600000001,20,10
31,0,1,1,126.84599999999999,20,10
32,0,1,1,228.15635600000002,20,19
33,0,1,1,135.43942200000001,20,10
34,0,1,1,119.567275,20,10
35,0,1,1,136.20763199999999,20,10
36,0,1,1,144.39718300000001,20,10
37,0,1,1,226.84544300000002,20,19
38,0,1,1,135.06128200000001,20,10
39,0,1,1,127.59466599999999,20,10
40,0,1,1,125.31285699999999,20,10
41,0,1,1,125.94029,20,10
42,0,1,1,118.074898,20,10
43,0,1,1,211.711501,20,19
44,0,1,1,116.66885500000001,20,10
45,0,1,1,126.59758099999999,20,10
46,0,1,1,202.77990000000003,20,17
47,0,1,1,116.428833,20,10
48,0,1,1,195.931265,20,15
49,0,1,1,112.460004,20,10
50,0,1,1,194.66977799999998,20,15
51,0,1,1,118.266812,20,10
52,0,1,1,116.69681799999999,20,10
53,0,1,1,216.395027,20,15
54,0,1,1,120.208331,20,10
55,0,1,1,109.31919499999999,20,10
56,0,1,1,189.41662700000001,20,15
57,0,1,1,112.758357,20,10
58,0,1,1,112.519019,20,10
59,0,1,1,107.141897,20,10
60,0,1,1,104.56965599999999,20,10
61,0,1,1,102.51808199999999,20,10
62,0,1,1,105.140885,20,10
63,0,1,1,113.16604,20,10
64,0,1,1,102.146947,20,10
65,0,1,1,105.83730299999999,20,10
66,0,1,1,103.19525400000001,20,10
67,0,1,1,105.589973,20,10
68,0,1,1,100.71051,20,10
69,0,1,1,103.52695800000001,20,10
70,0,1,1,105.563343,20,10
71,0,1,1,112.405709,20,10
72,0,1,1,101.34701200000001,20,10
73,0,1,1,106.792879,20,10
74,0,1,1,96.193317000000008,20,10
75,0,1,1,97.772359000000009,20,10
76,0,1,1,98.48905400000001,20,10
77,0,1,1,95.339101999999997,20,10
78,0,1,1,110.084743,20,10
79,0,1,1,113.946074,20,10
80,0,1,1,97.570458000000002,20,10
81,0,1,1,91.823828999999989,20,10
82,0,1,1,91.635987,20,10
83,0,1,1,89.327459000000005,20,10
84,0,1,1,93.643236999999999,20,10
85,0,1,1,93.509994000000006,20,10
86,0,1,1,92.284716000000003,20,10
87,0,1,1,93.563451000000001,20,10
88,0,1,1,89.308127999999996,20,10
89,0,1,1,90.002119000000008,20,10
90,0,1,1,87.677432999999994,20,10
91,0,1,1,91.312630000000013,20,10
92,0,1,1,94.630911999999995,20,10
93,0,1,1,91.233567000000008,20,10
94,0,1,1,89.860810999999998,20,10
95,0,1,1,89.981140999999994,20,10
96,0,1,1,89.161951000000002,20,10
97,0,1,1,90.216328000000004,20,10
98,0,1,1,83.318650999999988,20,10
99,0,1,1,86.330489999999998,20,10
100,0,1,1,90.445367000000005,20,10
101,0,1,1,87.585100999999995,20,10
102,0,1,1,83.686357000000001,20,10
103,0,1,1,87.414830999999992,20,10
104,0,1,1,82.537209000000004,20,10
105,0,1,1,82.75761,20,10
106,0,1,1,80.090624000000005,20,10
107,0,1,1,83.098509000000007,20,10
108,0,1,1,82.349378000000002,20,10
109,0,1,1,81.256642999999997,20,10
110,0,1,1,84.430108000000004,20,10
111,0,1,1,78.890204000000011,20,10
112,0,1,1,80.494729000000007,20,10
113,0,1,1,78.256203999999997,20,10
114,0,1,1,79.381597999999997,20,10
115,0,1,1,79.654684000000003,20,10
116,0,1,1,78.610316999999995,20,10
117,0,1,1,79.332318000000001,20,10
118,0,1,1,77.419664999999995,20,10
119,0,1,1,85.021160999999992,20,10
120,0,1,1,77.075548999999995,20,10
121,0,1,1,76.393211000000008,20,10
122,0,1,1,74.484133,20,10
123,0,1,1,73.92504799999999,20,10
124,0,1,1,74.224971999999994,20,10
125,0,1,1,72.909772000000004,20,10
126,0,1,1,75.255390000000006,20,10
127,0,1,1,73.509399999999999,20,10
128,0,1,1,74.719386999999998,20,10
129,0,1,1,74.210463000000004,20,10
130,0,1,1,72.640833000000001,20,10
131,0,1,1,70.046864999999997,20,10
132,0,1,1,69.325755000000001,20,10
133,0,1,1,69.165244000000001,20,10
134,0,1,1,70.09961100000001,20,10
135,0,1,1,71.170314000000005,20,10
136,0,1,1,68.766469999999998,20,10
137,0,1,1,68.11489499999999,20,10
138,0,1,1,67.910136999999992,20,10
139,0,1,1,67.071646000000001,20,10
140,0,1,1,66.840166000000011,20,10
141,0,1,1,66.787148999999999,20,10
142,0,1,1,69.007118000000006,20,10
143,0,1,1,66.429681000000002,20,10
144,0,1,1,66.866012999999995,20,10
145,0,1,1,66.685956000000004,20,10
146,0,1,1,66.037498999999997,20,10
147,0,1,1,65.591780999999997,20,10
148,0,1,1,65.92174,20,10
149,0,1,1,65.737645000000001,20,10
150,0,1,1,65.478394999999992,20,10
