step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.20000000000000001,0.016442507011749059,1.4915627139148984,0.047721991236874865,0,20,turn_right
0,0,0,turn_left,0.20000000000000001,0.9835574929882509,1.5127756357254256,0.047721991236874865,20,20,turn_right
0,0,0,turn_right,0.59999999999999998,0,1.4225387297693723,0.047721991236874865,0,20,turn_right
1,0,0,constant_velocity,0.14285714285714285,0.0082384528562677497,0.18294449849891692,0.034209500503882842,0,20,turn_left
1,0,0,turn_left,0.42857142857142855,0.99176154714373221,0.25676007756500707,0.034209500503882842,20,20,turn_left
1,0,0,turn_right,0.42857142857142855,0,0.09104753544434796,0.034209500503882842,0,20,turn_left
2,0,0,constant_velocity,0.1111111111111111,0.1059035488292963,0.36550517874046407,0.038437254514193289,1,20,turn_right
2,0,0,turn_left,0.33333333333333331,0.89409645117070369,0.44249324872440121,0.038437254514193289,19,20,turn_right
2,0,0,turn_right,0.55555555555555558,0,0.27440668183482564,0.038437254514193289,0,20,turn_right
3,0,0,constant_velocity,0.090909090909090912,0.26562938282171455,0.40976039478284065,0.037886349762076041,3,20,turn_right
3,0,0,turn_left,0.27272727272727271,0.73437061717828533,0.48587208166717766,0.037886349762076041,17,20,turn_right
3,0,0,turn_right,0.63636363636363635,0,0.32361919666071359,0.037886349762076041,0,20,turn_right
4,0,0,constant_velocity,0.076923076923076927,0.19873064003675439,0.41882964184276539,0.032941765640637624,3,20,turn_left
4,0,0,turn_left,0.38461538461538464,0.80126935996324566,0.48345591458725445,0.032941765640637624,17,20,turn_left
4,0,0,turn_right,0.53846153846153844,0,0.34722237423143198,0.032941765640637624,0,20,turn_left
5,0,0,constant_velocity,0.20000000000000001,0.24314936454877628,0.3415010240113393,0.030669254270607984,8,20,constant_velocity
5,0,0,turn_left,0.33333333333333331,0.75685063545122366,0.40871104353222065,0.030669254270607984,12,20,constant_velocity
5,0,0,turn_right,0.46666666666666667,0,0.25038150648884938,0.030669254270607984,0,20,constant_velocity
6,0,0,constant_velocity,0.17647058823529413,0.36368955758622001,0.53237628112131163,0.030097189529623432,6,20,turn_right
6,0,0,turn_left,0.29411764705882354,0.63631044241377999,0.59019283521387178,0.030097189529623432,14,20,turn_right
6,0,0,turn_right,0.52941176470588236,0,0.44443647534775022,0.030097189529623432,0,20,turn_right
7,0,0,constant_velocity,0.15789473684210525,0,0.2617572384339224,0.029026474187417797,0,20,turn_right
7,0,0,turn_left,0.26315789473684209,0.76255825132014032,0.31660148172502256,0.029026474187417797,13,20,turn_right
7,0,0,turn_right,0.57894736842105265,0.23744174867985962,0.22118881121163991,0.029026474187417797,7,20,turn_right
8,0,0,constant_velocity,0.14285714285714285,0,0.58159978456163874,0.027769176051980676,0,20,turn_right
8,0,0,turn_left,0.23809523809523808,0.71182052227266923,0.64090030305096002,0.027769176051980676,16,20,turn_right
8,0,0,turn_right,0.61904761904761907,0.2881794777273306,0.5344177088967349,0.027769176051980676,4,20,turn_right
9,0,0,constant_velocity,0.13043478260869565,0.13043478260869565,0,0.026472924963320592,1,20,turn_right
9,0,0,turn_left,0.21739130434782608,0.21739130434782608,0,0.026472924963320592,5,20,turn_right
9,0,0,turn_right,0.65217391304347827,0.65217391304347827,0,0.026472924963320592,14,20,turn_right
10,0,0,constant_velocity,0.12,0,0.27871747614428477,0.025207551841430434,0,20,turn_right
10,0,0,turn_left,0.20000000000000001,0,0.21323099500875264,0.025207551841430434,0,20,turn_right
10,0,0,turn_right,0.68000000000000005,1,0.35264598126121205,0.025207551841430434,20,20,turn_right
11,0,0,constant_velocity,0.1111111111111111,0,0.50308825082896558,0.024375763175151294,0,20,turn_left
11,0,0,turn_left,0.25925925925925924,0,0.44099802489161466,0.024375763175151294,0,20,turn_left
11,0,0,turn_right,0.62962962962962965,1.0000000000000002,0.57421537104973119,0.024375763175151294,20,20,turn_left
12,0,0,constant_velocity,0.17241379310344829,0.17241379310344829,0,0.023300746532863119,1,20,constant_velocity
12,0,0,turn_left,0.2413793103448276,0.2413793103448276,0,0.023300746532863119,6,20,constant_velocity
12,0,0,turn_right,0.58620689655172409,0.58620689655172409,0,0.023300746532863119,13,20,constant_velocity
13,0,0,constant_velocity,0.22580645161290322,0,0.31504807493380782,0.02226935259670379,0,20,constant_velocity
13,0,0,turn_left,0.22580645161290322,0.6605712414381516,0.38198161143757281,0.02226935259670379,12,20,constant_velocity
13,0,0,turn_right,0.54838709677419351,0.33942875856184829,0.25915503444762933,0.02226935259670379,8,20,constant_velocity
14,0,0,constant_velocity,0.21212121212121213,0,0.4801668291638963,0.021557746175114835,0,20,turn_right
14,0,0,turn_left,0.21212121212121213,0.62980255168499699,0.55619243387567108,0.021557746175114835,15,20,turn_right
14,0,0,turn_right,0.5757575757575758,0.37019744831500317,0.41111947937126569,0.021557746175114835,5,20,turn_right
15,0,0,constant_velocity,0.20000000000000001,0,0.28381307608786099,0.020981822004937624,0,20,turn_left
15,0,0,turn_left,0.25714285714285712,0.66048250849626799,0.35654898704474258,0.020981822004937624,11,20,turn_left
15,0,0,turn_right,0.54285714285714282,0.33951749150373189,0.22003810012660907,0.020981822004937624,9,20,turn_left
16,0,0,constant_velocity,0.24324324324324326,0,0.39027568199717466,0.02018612093046375,0,20,constant_velocity
16,0,0,turn_left,0.24324324324324326,0.6563543922140711,0.4712567957969197,0.02018612093046375,14,20,constant_velocity
16,0,0,turn_right,0.51351351351351349,0.34364560778592884,0.31342367031057294,0.02018612093046375,6,20,constant_velocity
17,0,0,constant_velocity,0.28205128205128205,0.28205128205128205,0.44057868550554802,0.019431915647625427,7,20,constant_velocity
17,0,0,turn_left,0.23076923076923078,0.51296407178948911,0.5246560143186566,0.019431915647625427,10,20,constant_velocity
17,0,0,turn_right,0.48717948717948717,0.20498464615922884,0.35773038593991935,0.019431915647625427,3,20,constant_velocity
18,0,0,constant_velocity,0.26829268292682928,0,0.41302469140740827,0.018948552100862198,0,20,turn_left
18,0,0,turn_left,0.26829268292682928,0.67578553794384466,0.49484161149137729,0.018948552100862198,12,20,turn_left
18,0,0,turn_right,0.46341463414634149,0.32421446205615545,0.3346394437517467,0.018948552100862198,8,20,turn_left
19,0,0,constant_velocity,0.2558139534883721,0.6991247726810047,0.55593424983352602,0.018574172768776921,14,20,turn_right
19,0,0,turn_left,0.2558139534883721,0.3008752273189953,0.64313993684296145,0.018574172768776921,6,20,turn_right
19,0,0,turn_right,0.48837209302325579,0,0.46406000018989657,0.018574172768776921,0,20,turn_right
20,0,0,constant_velocity,0.24444444444444444,0.74535318127414452,0.42867581744311889,0.01818392110001632,15,20,turn_right
20,0,0,turn_left,0.24444444444444444,0.25464681872585548,0.51615542585719487,0.01818392110001632,5,20,turn_right
20,0,0,turn_right,0.51111111111111107,0,0.33323866855572482,0.01818392110001632,0,20,turn_right
21,0,0,constant_velocity,0.23404255319148937,0.74370302985046433,0.41960840362326746,0.017786816349810494,17,20,turn_right
21,0,0,turn_left,0.23404255319148937,0.23404255319148937,0.50587136592273418,0.017786816349810494,3,20,turn_right
21,0,0,turn_right,0.53191489361702127,0.022254416958046364,0.32485938583749852,0.017786816349810494,0,20,turn_right
22,0,0,constant_velocity,0.26530612244897961,0.76000354956481853,0.17872788089404179,0.017264615734997425,15,20,constant_velocity
22,0,0,turn_left,0.22448979591836735,0.22448979591836735,0.26510239319644657,0.017264615734997425,4,20,constant_velocity
22,0,0,turn_right,0.51020408163265307,0.015506654516814156,0.079672252251298592,0.017264615734997425,1,20,constant_velocity
23,0,0,constant_velocity,0.25490196078431371,0,0.20256373540887596,0.016974808263856733,0,20,turn_left
23,0,0,turn_left,0.25490196078431371,0.62712756079055454,0.2692068742009246,0.016974808263856733,15,20,turn_left
23,0,0,turn_right,0.49019607843137253,0.37287243920944535,0.17047799640242506,0.016974808263856733,5,20,turn_left
24,0,0,constant_velocity,0.24528301886792453,0.72263006858070722,0.15701421729176546,0.016659098943719541,17,20,turn_right
24,0,0,turn_left,0.24528301886792453,0.24528301886792453,0.2383964174754204,0.016659098943719541,3,20,turn_right
24,0,0,turn_right,0.50943396226415094,0.032086912551368169,0.055110241114853964,0.016659098943719541,0,20,turn_right
