step,support_evaluated,support_count,scenario_ids
0,1,3,6;14;24
1,1,3,9;13;36
2,1,5,0;2;16;19;28
3,1,4,5;9;20;29
4,1,5,7;11;19;27;31
5,1,5,0;1;6;9;39
6,1,2,2;12
7,1,3,12;19;26
8,1,4,1;29;30;36
9,1,5,3;5;13;20;36
10,1,1,21
11,1,2,15;17
12,1,4,0;3;16;25
13,1,5,1;8;25;36;38
14,1,4,14;19;24;38
15,1,4,6;12;25;33
16,1,5,10;11;20;26;27
17,1,4,9;21;28;36
18,1,4,22;24;29;39
19,1,2,3;6
20,1,5,3;18;22;30;36
21,1,7,7;13;23;25;31;37;39
22,1,5,9;11;13;14;21
23,1,2,15;29
24,1,8,4;8;10;11;20;25;29;35
25,1,4,2;5;20;38
26,1,5,4;8;31;35;38
27,1,3,24;32;38
28,1,5,11;14;26;31;32
29,1,1,33
30,1,3,5;9;14
31,1,4,9;11;16;39
32,1,1,0
33,1,2,7;12
34,1,1,0
35,1,1,10
36,1,3,10;12;37
37,1,5,17;18;22;28;30
38,1,3,18;25;31
39,1,1,35
40,1,2,18;19
41,1,4,14;24;26;33
42,1,3,13;14;27
43,1,5,5;7;14;24;28
44,1,6,10;12;15;24;34;35
45,1,4,5;14;20;37
46,1,2,7;38
47,1,4,0;10;13;37
48,1,3,13;19;21
49,1,2,11;38
50,1,5,16;22;31;32;37
51,1,2,18;26
52,1,3,3;4;39
53,1,4,13;20;33;37
54,1,2,7;25
55,1,1,31
56,1,1,15
57,1,0,
58,1,0,
59,1,0,
60,1,0,
61,1,0,
62,1,0,
63,1,0,
64,1,0,
65,1,0,
66,1,0,
67,1,0,
68,1,0,
69,1,0,
70,1,0,
71,1,0,
72,1,0,
73,1,0,
74,1,0,
75,1,0,
76,1,0,
77,1,0,
78,1,0,
79,1,0,
80,1,0,
81,1,0,
82,1,0,
83,1,0,
84,1,0,
85,1,0,
86,1,0,
87,1,0,
88,1,0,
89,1,0,
90,1,0,
91,1,0,
92,1,0,
93,1,0,
94,1,0,
95,1,0,
96,1,0,
97,1,0,
98,1,0,
99,1,0,
100,1,0,
101,1,0,
102,1,0,
103,1,0,
104,1,0,
105,1,0,
106,1,0,
107,1,0,
108,1,0,
109,1,0,
110,1,0,
111,1,0,
112,1,0,
113,1,0,
114,1,0,
115,1,0,
116,1,0,
117,1,0,
118,1,0,
119,1,0,
120,1,0,
121,1,0,
122,1,0,
123,1,0,
124,1,0,
125,1,0,
126,1,0,
127,1,0,
128,1,0,
129,1,0,
130,1,0,
131,1,0,
132,1,0,
133,1,0,
134,1,0,
135,1,0,
136,1,0,
137,1,0,
138,1,0,
139,1,0,
140,1,0,
141,1,0,
142,1,0,
143,1,0,
144,1,0,
145,1,0,
