step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,160.69181499999999,1,1,0,5.9998443508279724,20,0,-1,-1,-1,-1,1,-1,-1,0,0
1,134.96955,1,1,0,0.13980466373963224,20,1,0,-1,-1,-1,1,-1,-1,0,0
2,125.380894,1,1,0,0.30018585593073155,20,1,0,-1,-1,-1,1,-1,-1,0,0
3,138.11878199999998,1,1,0,0.16130236934957681,20,1,0,-1,-1,-1,1,-1,-1,0,0
4,263.341476,1,1,0,0.16161218121407753,20,1,1,-1,1,1,1,-1,-1,0,0
5,159.92768099999998,1,1,0,0.18661183209417848,20,1,0,-1,-1,-1,1,-1,-1,0,0
6,291.550004,1,1,0,0.42360532002897555,20,1,1,-1,1,1,1,-1,-1,0,0
7,133.67240200000001,1,1,0,0.20329192517127148,20,1,0,-1,-1,-1,1,-1,-1,0,0
8,239.953576,1,1,0,10.90551134020343,20,1,1,-1,1,1,1,-1,-1,0,0
9,129.99102999999999,1,1,0,0.64005200699820386,20,1,0,-1,-1,-1,1,-1,-1,0,0
10,132.64373600000002,1,1,0,0.65370833947798723,20,1,0,-1,-1,-1,1,-1,-1,0,0
11,242.82633200000001,1,1,0,3.3044459281207645,20,1,1,-1,1,1,1,-1,-1,0,0
12,127.49609100000001,1,1,0,0.83980701659861789,20,1,0,-1,-1,-1,1,-1,-1,0,0
13,128.29708300000001,1,1,0,1.8160815291739749,20,1,0,-1,-1,-1,1,-1,-1,0,0
14,247.90950599999999,1,1,0,0.68090157128950657,20,1,1,-1,0,1,1,-1,-1,0,0
15,124.737156,1,1,0,0.34146467803307157,20,1,0,-1,-1,-1,1,-1,-1,0,0
16,129.17858900000002,1,1,0,0.50335755467666687,20,1,0,-1,-1,-1,1,-1,-1,0,0
17,191.96766300000002,1,1,0,0.55864528654631007,20,1,1,-1,0,1,1,-1,-1,0,0
18,126.64952800000002,1,1,0,0.083200165642348167,20,1,0,-1,-1,-1,1,-1,-1,0,0
19,207.804642,1,1,0,0.13660579569930606,20,1,1,-1,0,1,1,-1,-1,0,0
20,129.093493,1,1,0,0.15786949706660094,20,1,0,-1,-1,-1,1,-1,-1,0,0
21,228.867198,1,1,0,0.010987681775947776,20,1,1,-1,0,1,1,-1,-1,0,0
22,123.50332,1,1,0,0.01671922763672196,20,1,0,-1,-1,-1,1,-1,-1,0,0
23,230.760098,1,1,0,0.052225988961504162,20,1,1,-1,0,1,1,-1,-1,0,0
24,130.20947899999999,1,1,0,0.20341096051063434,20,1,0,-1,-1,-1,1,-1,-1,0,0
25,221.296313,1,1,0,0.062327512739163572,20,1,1,-1,0,1,1,-1,-1,0,0
26,126.317466,1,1,0,1.8441339062337478,20,1,0,-1,-1,-1,1,-1,-1,0,0
27,121.82897,1,1,0,1.9022155558419054,20,1,0,-1,-1,-1,1,-1,-1,0,0
28,227.36842700000003,1,1,0,25.637761301885394,20,1,1,-1,1,1,1,-1,-1,0,0
