step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.000949542872045,0.95,2.0509495428720452
1,0.1,0,2.8535897297654658,0.95,1.9035897297654658
2,0.2,0,2.6926471184975185,0.95,1.7426471184975185
3,0.30000000000000004,0,2.532980557637549,0.95,1.5829805576375489
4,0.4,0,2.378419535829411,0.95,1.4284195358294112
5,0.5,0,2.232764872465211,0.95,1.2827648724652112
6,0.6000000000000001,0,2.0948010684836618,0.95,1.1448010684836618
7,0.7000000000000001,0,1.962163173214444,0.95,1.012163173214444
8,0.8,0,1.8515374525596835,0.95,0.9015374525596835
9,0.9,0,1.6766376981155575,0.95,0.7266376981155576
10,1.0,0,1.5362401947363185,0.95,0.5862401947363185
11,1.1,0,1.423474800059071,0.95,0.47347480005907094
12,1.2000000000000002,0,1.3149821355724405,0.95,0.3649821355724405
13,1.3,0,1.2123420610241353,0.95,0.2623420610241354
14,1.4000000000000001,0,1.0987060313572339,0.95,0.14870603135723393
15,1.5,0,1.014163665567805,0.95,0.06416366556780506
16,1.6,0,0.9565955434831657,0.95,0.006595543483165711
17,1.7000000000000002,0,0.9557390007376717,0.95,0.005739000737671751
18,1.8,0,0.9570082002846314,0.95,0.0070082002846314495
19,1.9000000000000001,0,0.9543256491821851,0.95,0.004325649182185143
20,2.0,0,0.9533204916043206,0.95,0.0033204916043206856
21,2.1,0,0.9544655713021739,0.95,0.004465571302173954
22,2.2,0,0.9558344843331161,0.95,0.005834484333116174
23,2.3000000000000003,0,0.9555149369905744,0.95,0.005514936990574482
24,2.4000000000000004,0,0.9564962186053437,0.95,0.006496218605343773
25,2.5,0,0.9541506254407658,0.95,0.004150625440765832
26,2.6,0,1.015213921967181,0.95,0.06521392196718101
27,2.7,0,0.960685734660147,0.95,0.010685734660146995
28,2.8000000000000003,0,1.1381206371337766,0.95,0.1881206371337767
29,2.9000000000000004,0,1.1131108410089663,0.95,0.16311084100896633
30,3.0,0,1.073517470763434,0.95,0.12351747076343411
31,3.1,0,1.2332233742177392,0.95,0.28322337421773924
32,3.2,0,1.2418472508391143,0.95,0.29184725083911434
33,3.3000000000000003,0,1.1881016149429557,0.95,0.23810161494295579
34,3.4000000000000004,0,1.159648866208574,0.95,0.20964886620857404
35,3.5,0,1.1286177252495595,0.95,0.17861772524955954
36,3.6,0,1.1033961182506815,0.95,0.15339611825068156
37,3.7,0,1.0848234888708943,0.95,0.13482348887089435
38,3.8000000000000003,0,1.0604605228114126,0.95,0.11046052281141261
39,3.9000000000000004,0,1.0382132540913522,0.95,0.08821325409135228
40,4.0,0,1.0201472659541198,0.95,0.0701472659541198
41,4.1000000000000005,0,1.007195643818734,0.95,0.05719564381873399
42,4.2,0,1.0037179702769377,0.95,0.0537179702769377
43,4.3,0,1.0101863011495753,0.95,0.06018630114957535
44,4.4,0,1.0275851243453127,0.95,0.07758512434531273
45,4.5,0,1.0562777246150872,0.95,0.10627772461508722
46,4.6000000000000005,0,1.0965265965272641,0.95,0.14652659652726419
47,4.7,0,1.1477511884822766,0.95,0.19775118848227669
48,4.800000000000001,0,1.2075389307580762,0.95,0.2575389307580762
49,4.9,0,1.275032194022145,0.95,0.325032194022145
50,5.0,0,1.349099930784924,0.95,0.3990999307849241
51,5.1000000000000005,0,1.426522440558819,0.95,0.4765224405588191
52,5.2,0,1.5168320363620007,0.95,0.5668320363620007
53,5.300000000000001,0,1.4201525408402713,0.95,0.47015254084027136
54,5.4,0,1.2263862651188824,0.95,0.2763862651188824
55,5.5,0,1.059693300973483,0.95,0.10969330097348307
56,5.6000000000000005,0,0.9542888553057214,0.95,0.0042888553057214285
57,5.7,0,0.9684868480979144,0.95,0.018486848097914454
58,5.800000000000001,0,0.9614022409611632,0.95,0.011402240961163268
59,5.9,0,0.9572319037212721,0.95,0.007231903721272137
60,6.0,0,0.9602512478383356,0.95,0.010251247838335642
61,6.1000000000000005,0,0.9801741647759903,0.95,0.03017416477599033
62,6.2,0,1.063448247457049,0.95,0.11344824745704907
63,6.300000000000001,0,1.1832437755428158,0.95,0.23324377554281583
64,6.4,0,1.3208089883331025,0.95,0.3708089883331025
65,6.5,0,1.4707161774233553,0.95,0.5207161774233553
66,6.6000000000000005,0,1.6244833437857449,0.95,0.6744833437857449
67,6.7,0,1.7780862709654779,0.95,0.8280862709654779
68,6.800000000000001,0,1.935848825350906,0.95,0.9858488253509061
69,6.9,0,2.0952972556832785,0.95,1.1452972556832786
70,7.0,0,2.25571447133828,0.95,1.3057144713382802
71,7.1000000000000005,0,2.416891990901761,0.95,1.4668919909017613
72,7.2,0,2.5788803021712043,0.95,1.6288803021712044
73,7.300000000000001,0,2.740889186453422,0.95,1.7908891864534222
74,7.4,0,2.9035030815990077,0.95,1.9535030815990078
75,7.5,0,3.06633455388245,0.95,2.1163345538824503
76,7.6000000000000005,0,3.2296670691997003,0.95,2.2796670691997
77,7.7,0,3.393118971861031,0.95,2.443118971861031
78,7.800000000000001,0,3.557033604715449,0.95,2.6070336047154488
