step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.000949542872045,0.95,2.0509495428720452
1,0.1,0,2.8533279519409454,0.95,1.9033279519409454
2,0.2,0,2.6929869220387688,0.95,1.7429869220387688
3,0.30000000000000004,0,2.535001847955961,0.95,1.5850018479559609
4,0.4,0,2.384572192063364,0.95,1.4345721920633638
5,0.5,0,2.251033147907639,0.95,1.3010331479076391
6,0.6000000000000001,0,2.115646761048529,0.95,1.165646761048529
7,0.7000000000000001,0,1.9802803847146233,0.95,1.0302803847146234
8,0.8,0,1.8228989628931882,0.95,0.8728989628931882
9,0.9,0,1.6912854996495228,0.95,0.7412854996495228
10,1.0,0,1.558066053938256,0.95,0.6080660539382561
11,1.1,0,1.4035982210353755,0.95,0.4535982210353755
12,1.2000000000000002,0,1.271742844597682,0.95,0.321742844597682
13,1.3,0,1.187682314909155,0.95,0.23768231490915515
14,1.4000000000000001,0,1.0853679066481094,0.95,0.1353679066481095
15,1.5,0,1.0031783842406012,0.95,0.053178384240601284
16,1.6,0,0.9718479280456912,0.95,0.021847928045691245
17,1.7000000000000002,0,0.9569693985576909,0.95,0.0069693985576909645
18,1.8,0,0.957901677491675,0.95,0.00790167749167503
19,1.9000000000000001,0,0.9543881558050935,0.95,0.004388155805093552
20,2.0,0,0.9627196079443221,0.95,0.012719607944322142
21,2.1,0,0.9552302173523065,0.95,0.005230217352306554
22,2.2,0,0.9557949540744666,0.95,0.005794954074466618
23,2.3000000000000003,0,0.9541060087758455,0.95,0.004106008775845549
24,2.4000000000000004,0,1.0128422179403433,0.95,0.06284221794034339
25,2.5,0,0.9579952700201224,0.95,0.007995270020122458
26,2.6,0,0.954671497624655,0.95,0.004671497624655019
27,2.7,0,0.9562401171412037,0.95,0.00624011714120376
28,2.8000000000000003,0,1.135203461073198,0.95,0.18520346107319807
29,2.9000000000000004,0,1.115381063976027,0.95,0.16538106397602714
30,3.0,0,1.097616035380581,0.95,0.1476160353805811
31,3.1,0,1.1448840746208804,0.95,0.19488407462088042
32,3.2,0,1.2430160062163096,0.95,0.29301600621630963
33,3.3000000000000003,0,1.197517910997068,0.95,0.247517910997068
