step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,0,157.63009399999999,20,10
1,0,1,0,132.36593199999999,20,10
2,0,1,0,121.93582000000001,20,10
3,0,1,0,130.54620399999999,20,10
4,0,1,0,233.50046899999998,20,20
5,0,1,0,124.282078,20,10
6,0,1,0,292.48068599999999,20,118
7,0,1,0,130.53446199999999,20,10
8,0,1,0,218.92862199999999,20,18
9,0,1,0,124.21368100000001,20,10
10,0,1,0,259.17178999999999,20,24
11,0,1,0,114.72497800000001,20,10
12,0,1,0,115.794653,20,10
13,0,1,0,114.76280799999999,20,10
14,0,1,0,111.878596,20,10
15,0,1,0,239.01289,20,19
16,0,1,0,124.69647999999999,20,10
17,0,1,0,128.03322,20,10
18,0,1,0,225.70375200000001,20,19
19,0,1,0,117.86972900000001,20,10
20,0,1,0,118.25579599999999,20,10
21,0,1,0,122.002116,20,10
22,0,1,0,221.45163400000001,20,19
23,0,1,0,125.85516199999999,20,10
24,0,1,0,195.81041900000002,20,15
25,0,1,0,195.28234,20,15
26,0,1,0,126.526101,20,10
27,0,1,0,129.692825,20,10
28,0,1,0,201.27042499999999,20,15
29,0,1,0,130.06468199999998,20,10
30,0,1,0,238.14571900000001,20,19
31,0,1,0,219.37777,20,19
32,0,1,0,119.486161,20,10
33,0,1,0,118.18467800000001,20,10
34,0,1,0,126.132665,20,10
35,0,1,0,123.248147,20,10
36,0,1,0,115.255667,20,10
37,0,1,0,212.311273,20,17
38,0,1,0,129.384477,20,10
39,0,1,0,127.28708899999999,20,10
40,0,1,0,121.81006599999999,20,10
41,0,1,0,117.632152,20,10
42,0,1,0,198.22562199999999,20,17
43,0,1,0,108.810491,20,10
44,0,1,0,114.297489,20,10
45,0,1,0,107.675327,20,10
46,0,1,0,188.95368100000002,20,15
47,0,1,0,121.516839,20,10
48,0,1,0,189.31969900000001,20,15
49,0,1,0,118.901533,20,10
50,0,1,0,106.29432299999999,20,10
51,0,1,0,180.62750199999999,20,15
52,0,1,0,108.36771200000001,20,10
53,0,1,0,108.393371,20,10
54,0,1,0,109.993745,20,10
55,0,1,0,182.64327599999999,20,15
56,0,1,0,112.265906,20,10
57,0,1,0,107.96343399999999,20,10
58,0,1,0,110.181048,20,10
59,0,1,0,102.792779,20,10
60,0,1,0,103.750422,20,10
61,0,1,0,97.869347999999988,20,10
62,0,1,0,115.872758,20,10
63,0,1,0,111.54397900000001,20,10
64,0,1,0,98.363053000000008,20,10
65,0,1,0,106.24167700000001,20,10
66,0,1,0,119.534341,20,10
67,0,1,0,118.41358200000001,20,10
68,0,1,0,101.887799,20,10
69,0,1,0,101.867772,20,10
70,0,1,0,100.059783,20,10
71,0,1,0,98.064798999999994,20,10
72,0,1,0,96.912863999999999,20,10
73,0,1,0,102.728024,20,10
74,0,1,0,93.292689999999993,20,10
75,0,1,0,94.475791000000001,20,10
76,0,1,0,95.340812999999997,20,10
77,0,1,0,92.814620000000005,20,10
78,0,1,0,91.056841000000006,20,10
79,0,1,0,92.152499000000006,20,10
80,0,1,0,97.162404999999993,20,10
81,0,1,0,89.215321000000003,20,10
82,0,1,0,88.373401000000001,20,10
83,0,1,0,91.278711000000001,20,10
84,0,1,0,92.000095999999999,20,10
85,0,1,0,90.702303999999998,20,10
86,0,1,0,90.274803000000006,20,10
87,0,1,0,94.493534000000011,20,10
88,0,1,0,90.437244000000007,20,10
89,0,1,0,87.967363000000006,20,10
90,0,1,0,85.402775000000005,20,10
91,0,1,0,88.787631000000005,20,10
92,0,1,0,89.481666000000004,20,10
93,0,1,0,87.994772999999995,20,10
94,0,1,0,86.738287999999997,20,10
95,0,1,0,88.038263999999998,20,10
96,0,1,0,84.707267000000002,20,10
97,0,1,0,84.490736999999996,20,10
98,0,1,0,82.899029999999996,20,10
99,0,1,0,84.247797000000006,20,10
100,0,1,0,83.351202999999998,20,10
101,0,1,0,83.285270999999995,20,10
102,0,1,0,81.79049400000001,20,10
103,0,1,0,79.186954999999998,20,10
104,0,1,0,80.656415999999993,20,10
105,0,1,0,81.281242000000006,20,10
106,0,1,0,78.938195000000007,20,10
107,0,1,0,80.09165999999999,20,10
108,0,1,0,80.391775999999993,20,10
109,0,1,0,81.108812999999998,20,10
110,0,1,0,79.967580999999996,20,10
111,0,1,0,76.282950999999997,20,10
112,0,1,0,78.65430099999999,20,10
113,0,1,0,75.646512000000001,20,10
114,0,1,0,76.207539000000011,20,10
115,0,1,0,76.997962000000001,20,10
116,0,1,0,74.103746999999998,20,10
117,0,1,0,76.362505999999996,20,10
118,0,1,0,75.515680000000003,20,10
119,0,1,0,73.894589999999994,20,10
120,0,1,0,75.176721999999998,20,10
121,0,1,0,73.572394000000003,20,10
122,0,1,0,71.571411999999995,20,10
123,0,1,0,71.304937999999993,20,10
124,0,1,0,72.211786000000004,20,10
125,0,1,0,71.12301699999999,20,10
126,0,1,0,72.413790000000006,20,10
127,0,1,0,70.443826000000001,20,10
128,0,1,0,72.390958000000012,20,10
129,0,1,0,70.001026999999993,20,10
130,0,1,0,71.759799999999998,20,10
131,0,1,0,68.624540999999994,20,10
132,0,1,0,67.766652999999991,20,10
133,0,1,0,66.531047000000001,20,10
134,0,1,0,68.263763000000012,20,10
135,0,1,0,67.373775999999992,20,10
136,0,1,0,66.254726000000005,20,10
137,0,1,0,65.474553,20,10
138,0,1,0,65.546777000000006,20,10
139,0,1,0,65.460036000000002,20,10
140,0,1,0,64.917746999999991,20,10
141,0,1,0,65.080286999999998,20,10
142,0,1,0,65.674897000000001,20,10
143,0,1,0,64.103260999999989,20,10
144,0,1,0,64.77273799999999,20,10
145,0,1,0,64.038691,20,10
146,0,1,0,64.371495999999993,20,10
147,0,1,0,63.282731999999996,20,10
148,0,1,0,63.815295999999996,20,10
149,0,1,0,63.266412999999993,20,10
150,0,1,0,63.136012000000008,20,10
