step,attempt,obstacle_id,mode,nominal_probability,sampling_probability,risk_score,rho,sampled_count,scenario_count,true_mode
0,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,4,20,turn_right
0,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,4,20,turn_right
0,0,0,turn_right,0.59999999999999998,0.59999999999999998,,,12,20,turn_right
1,0,0,constant_velocity,0.14285714285714285,0.14285714285714285,,,2,20,turn_left
1,0,0,turn_left,0.42857142857142855,0.42857142857142855,,,8,20,turn_left
1,0,0,turn_right,0.42857142857142855,0.42857142857142855,,,10,20,turn_left
2,0,0,constant_velocity,0.1111111111111111,0.1111111111111111,,,2,20,turn_right
2,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,9,20,turn_right
2,0,0,turn_right,0.55555555555555558,0.55555555555555558,,,9,20,turn_right
3,0,0,constant_velocity,0.090909090909090912,0.090909090909090912,,,2,20,turn_right
3,0,0,turn_left,0.27272727272727271,0.27272727272727271,,,1,20,turn_right
3,0,0,turn_right,0.63636363636363635,0.63636363636363635,,,17,20,turn_right
4,0,0,constant_velocity,0.076923076923076927,0.076923076923076927,,,1,20,turn_left
4,0,0,turn_left,0.38461538461538464,0.38461538461538464,,,7,20,turn_left
4,0,0,turn_right,0.53846153846153844,0.53846153846153844,,,12,20,turn_left
5,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,7,20,constant_velocity
5,0,0,turn_left,0.33333333333333331,0.33333333333333331,,,4,20,constant_velocity
5,0,0,turn_right,0.46666666666666667,0.46666666666666667,,,9,20,constant_velocity
6,0,0,constant_velocity,0.17647058823529413,0.17647058823529413,,,0,20,turn_right
6,0,0,turn_left,0.29411764705882354,0.29411764705882354,,,9,20,turn_right
6,0,0,turn_right,0.52941176470588236,0.52941176470588236,,,11,20,turn_right
7,0,0,constant_velocity,0.15789473684210525,0.15789473684210525,,,3,20,turn_right
7,0,0,turn_left,0.26315789473684209,0.26315789473684209,,,4,20,turn_right
7,0,0,turn_right,0.57894736842105265,0.57894736842105265,,,13,20,turn_right
8,0,0,constant_velocity,0.14285714285714285,0.14285714285714285,,,2,20,turn_right
8,0,0,turn_left,0.23809523809523808,0.23809523809523808,,,5,20,turn_right
8,0,0,turn_right,0.61904761904761907,0.61904761904761907,,,13,20,turn_right
9,0,0,constant_velocity,0.13043478260869565,0.13043478260869565,,,1,20,turn_right
9,0,0,turn_left,0.21739130434782608,0.21739130434782608,,,5,20,turn_right
9,0,0,turn_right,0.65217391304347827,0.65217391304347827,,,14,20,turn_right
10,0,0,constant_velocity,0.12,0.12,,,5,20,turn_right
10,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,2,20,turn_right
10,0,0,turn_right,0.68000000000000005,0.68000000000000005,,,13,20,turn_right
11,0,0,constant_velocity,0.1111111111111111,0.1111111111111111,,,2,20,turn_left
11,0,0,turn_left,0.25925925925925924,0.25925925925925924,,,5,20,turn_left
11,0,0,turn_right,0.62962962962962965,0.62962962962962965,,,13,20,turn_left
12,0,0,constant_velocity,0.17241379310344829,0.17241379310344829,,,1,20,constant_velocity
12,0,0,turn_left,0.2413793103448276,0.2413793103448276,,,6,20,constant_velocity
12,0,0,turn_right,0.58620689655172409,0.58620689655172409,,,13,20,constant_velocity
13,0,0,constant_velocity,0.22580645161290322,0.22580645161290322,,,4,20,constant_velocity
13,0,0,turn_left,0.22580645161290322,0.22580645161290322,,,6,20,constant_velocity
13,0,0,turn_right,0.54838709677419351,0.54838709677419351,,,10,20,constant_velocity
14,0,0,constant_velocity,0.21212121212121213,0.21212121212121213,,,5,20,turn_right
14,0,0,turn_left,0.21212121212121213,0.21212121212121213,,,7,20,turn_right
14,0,0,turn_right,0.5757575757575758,0.5757575757575758,,,8,20,turn_right
15,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,5,20,turn_left
15,0,0,turn_left,0.25714285714285712,0.25714285714285712,,,4,20,turn_left
15,0,0,turn_right,0.54285714285714282,0.54285714285714282,,,11,20,turn_left
16,0,0,constant_velocity,0.24324324324324326,0.24324324324324326,,,5,20,constant_velocity
16,0,0,turn_left,0.24324324324324326,0.24324324324324326,,,9,20,constant_velocity
16,0,0,turn_right,0.51351351351351349,0.51351351351351349,,,6,20,constant_velocity
17,0,0,constant_velocity,0.23076923076923078,0.23076923076923078,,,6,20,turn_right
17,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,4,20,turn_right
17,0,0,turn_right,0.53846153846153844,0.53846153846153844,,,10,20,turn_right
18,0,0,constant_velocity,0.21951219512195122,0.21951219512195122,,,5,20,turn_left
18,0,0,turn_left,0.26829268292682928,0.26829268292682928,,,4,20,turn_left
18,0,0,turn_right,0.51219512195121952,0.51219512195121952,,,11,20,turn_left
19,0,0,constant_velocity,0.20930232558139536,0.20930232558139536,,,3,20,turn_right
19,0,0,turn_left,0.2558139534883721,0.2558139534883721,,,8,20,turn_right
19,0,0,turn_right,0.53488372093023251,0.53488372093023251,,,9,20,turn_right
20,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,4,20,turn_right
20,0,0,turn_left,0.24444444444444444,0.24444444444444444,,,3,20,turn_right
20,0,0,turn_right,0.55555555555555558,0.55555555555555558,,,13,20,turn_right
21,0,0,constant_velocity,0.19148936170212766,0.19148936170212766,,,2,20,turn_right
21,0,0,turn_left,0.23404255319148937,0.23404255319148937,,,3,20,turn_right
21,0,0,turn_right,0.57446808510638303,0.57446808510638303,,,15,20,turn_right
22,0,0,constant_velocity,0.22448979591836735,0.22448979591836735,,,6,20,constant_velocity
22,0,0,turn_left,0.22448979591836735,0.22448979591836735,,,6,20,constant_velocity
22,0,0,turn_right,0.55102040816326525,0.55102040816326525,,,8,20,constant_velocity
23,0,0,constant_velocity,0.21568627450980393,0.21568627450980393,,,4,20,turn_left
23,0,0,turn_left,0.25490196078431371,0.25490196078431371,,,4,20,turn_left
23,0,0,turn_right,0.52941176470588236,0.52941176470588236,,,12,20,turn_left
24,0,0,constant_velocity,0.20754716981132076,0.20754716981132076,,,6,20,turn_right
24,0,0,turn_left,0.24528301886792453,0.24528301886792453,,,5,20,turn_right
24,0,0,turn_right,0.54716981132075471,0.54716981132075471,,,9,20,turn_right
25,0,0,constant_velocity,0.20000000000000001,0.20000000000000001,,,2,20,turn_right
25,0,0,turn_left,0.23636363636363636,0.23636363636363636,,,5,20,turn_right
25,0,0,turn_right,0.5636363636363636,0.5636363636363636,,,13,20,turn_right
26,0,0,constant_velocity,0.22807017543859648,0.22807017543859648,,,8,20,constant_velocity
26,0,0,turn_left,0.22807017543859648,0.22807017543859648,,,2,20,constant_velocity
26,0,0,turn_right,0.54385964912280704,0.54385964912280704,,,10,20,constant_velocity
27,0,0,constant_velocity,0.25423728813559321,0.25423728813559321,,,4,20,constant_velocity
27,0,0,turn_left,0.22033898305084745,0.22033898305084745,,,3,20,constant_velocity
27,0,0,turn_right,0.52542372881355937,0.52542372881355937,,,13,20,constant_velocity
28,0,0,constant_velocity,0.24590163934426229,0.24590163934426229,,,5,20,turn_left
28,0,0,turn_left,0.24590163934426229,0.24590163934426229,,,5,20,turn_left
28,0,0,turn_right,0.50819672131147542,0.50819672131147542,,,10,20,turn_left
29,0,0,constant_velocity,0.26984126984126983,0.26984126984126983,,,4,20,constant_velocity
29,0,0,turn_left,0.23809523809523808,0.23809523809523808,,,3,20,constant_velocity
29,0,0,turn_right,0.49206349206349204,0.49206349206349204,,,13,20,constant_velocity
30,0,0,constant_velocity,0.26153846153846155,0.26153846153846155,,,8,20,turn_right
30,0,0,turn_left,0.23076923076923078,0.23076923076923078,,,5,20,turn_right
30,0,0,turn_right,0.50769230769230766,0.50769230769230766,,,7,20,turn_right
31,0,0,constant_velocity,0.28358208955223879,0.28358208955223879,,,5,20,constant_velocity
31,0,0,turn_left,0.22388059701492538,0.22388059701492538,,,4,20,constant_velocity
31,0,0,turn_right,0.4925373134328358,0.4925373134328358,,,11,20,constant_velocity
32,0,0,constant_velocity,0.27536231884057971,0.27536231884057971,,,2,20,turn_right
32,0,0,turn_left,0.21739130434782608,0.21739130434782608,,,5,20,turn_right
32,0,0,turn_right,0.50724637681159424,0.50724637681159424,,,13,20,turn_right
33,0,0,constant_velocity,0.26760563380281688,0.26760563380281688,,,4,20,turn_right
33,0,0,turn_left,0.21126760563380281,0.21126760563380281,,,5,20,turn_right
33,0,0,turn_right,0.52112676056338025,0.52112676056338025,,,11,20,turn_right
34,0,0,constant_velocity,0.28767123287671231,0.28767123287671231,,,8,20,constant_velocity
34,0,0,turn_left,0.20547945205479451,0.20547945205479451,,,3,20,constant_velocity
34,0,0,turn_right,0.50684931506849318,0.50684931506849318,,,9,20,constant_velocity
35,0,0,constant_velocity,0.30666666666666664,0.30666666666666664,,,9,20,constant_velocity
35,0,0,turn_left,0.20000000000000001,0.20000000000000001,,,4,20,constant_velocity
35,0,0,turn_right,0.49333333333333335,0.49333333333333335,,,7,20,constant_velocity
36,0,0,constant_velocity,0.32467532467532467,0.32467532467532467,,,6,20,constant_velocity
36,0,0,turn_left,0.19480519480519481,0.19480519480519481,,,4,20,constant_velocity
36,0,0,turn_right,0.48051948051948051,0.48051948051948051,,,10,20,constant_velocity
37,0,0,constant_velocity,0.31645569620253167,0.31645569620253167,,,9,20,turn_right
37,0,0,turn_left,0.189873417721519,0.189873417721519,,,3,20,turn_right
37,0,0,turn_right,0.49367088607594939,0.49367088607594939,,,8,20,turn_right
38,0,0,constant_velocity,0.30864197530864196,0.30864197530864196,,,7,20,turn_right
38,0,0,turn_left,0.18518518518518517,0.18518518518518517,,,2,20,turn_right
38,0,0,turn_right,0.50617283950617287,0.50617283950617287,,,11,20,turn_right
39,0,0,constant_velocity,0.30120481927710846,0.30120481927710846,,,4,20,turn_right
