step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,0,171.145882,20,10
1,0,1,0,126.111217,20,10
2,0,1,0,278.96037000000001,20,24
3,0,1,0,137.58261299999998,20,10
4,0,1,0,213.280539,20,15
5,0,1,0,133.588347,20,10
6,0,1,0,249.748212,20,20
7,0,1,0,128.26506500000002,20,10
8,0,1,0,126.679199,20,10
9,0,1,0,293.47770000000003,20,118
10,0,1,0,119.373396,20,10
11,0,1,0,115.996478,20,10
12,0,1,0,264.92075699999998,20,23
13,0,1,0,134.90317900000002,20,10
14,0,1,0,257.05357699999996,20,118
15,0,1,0,255.60987299999999,20,24
16,0,1,0,115.772329,20,10
17,0,1,0,129.789672,20,10
18,0,1,0,295.63211200000001,20,28
19,0,1,0,116.21397899999999,20,10
20,0,1,0,117.955586,20,10
21,0,1,0,245.92750699999999,20,114
22,0,1,0,119.010452,20,10
23,0,1,0,244.395026,20,19
24,0,1,0,130.691981,20,10
25,0,1,0,125.39078000000001,20,10
26,0,1,0,116.847543,20,7
27,0,1,0,114.959408,20,10
28,0,1,0,217.38141899999999,20,19
29,0,1,0,130.606427,20,10
30,0,1,0,118.34070200000001,20,10
31,0,1,0,220.66623899999999,20,19
32,0,1,0,123.32565600000001,20,10
33,0,1,0,130.46769899999998,20,10
34,0,1,0,130.801062,20,10
35,0,1,0,249.423902,20,19
36,0,1,0,119.743537,20,10
37,0,1,0,119.386253,20,10
38,0,1,0,132.79994100000002,20,10
39,0,1,0,127.77228700000001,20,10
40,0,1,0,121.765147,20,10
41,0,1,0,244.12187499999999,20,19
42,0,1,0,137.701672,20,10
43,0,1,0,228.64816800000003,20,19
44,0,1,0,118.68710400000001,20,10
45,0,1,0,135.00022999999999,20,10
46,0,1,0,135.03260499999999,20,10
47,0,1,0,123.47953800000001,20,10
48,0,1,0,132.026893,20,10
49,0,1,0,127.31367099999999,20,10
50,0,1,0,117.541847,20,10
51,0,1,0,118.389595,20,10
52,0,1,0,114.803512,20,10
53,0,1,0,120.41049099999999,20,10
54,0,1,0,248.65957599999999,20,19
55,0,1,0,115.07717600000001,20,10
56,0,1,0,199.303112,20,17
57,0,1,0,119.20424799999999,20,10
58,0,1,0,181.61420699999999,20,15
59,0,1,0,105.85999200000001,20,6
60,0,1,0,119.860467,20,10
61,0,1,0,114.72444499999999,20,10
62,0,1,0,106.29217200000001,20,10
63,0,1,0,109.79044500000001,20,10
64,0,1,0,114.965423,20,10
65,0,1,0,183.32192499999999,20,15
66,0,1,0,105.66315,20,10
67,0,1,0,112.14892999999999,20,10
68,0,1,0,196.205457,20,15
69,0,1,0,103.371026,20,10
70,0,1,0,101.27972200000001,20,10
71,0,1,0,104.544399,20,10
72,0,1,0,102.678907,20,10
73,0,1,0,100.685957,20,10
74,0,1,0,100.018094,20,10
75,0,1,0,100.38762699999999,20,10
76,0,1,0,99.988924000000011,20,10
77,0,1,0,94.842568999999997,20,10
78,0,1,0,98.133558999999991,20,10
79,0,1,0,93.925719999999998,20,10
80,0,1,0,99.559207999999998,20,10
81,0,1,0,98.153632999999999,20,10
82,0,1,0,94.501844000000006,20,10
83,0,1,0,96.312228000000005,20,10
