step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,166.95151999999999,1,1,0,3.905070721016604,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,139.15545900000001,1,1,0,0.013137692975234986,40,1,0,-1,-1,-1,1,-1,-1,0,0
2,148.084137,1,1,0,0.059195272729167907,40,1,0,-1,-1,-1,1,-1,-1,0,0
3,332.57118800000001,1,1,0,0.11995408547815678,40,1,1,-1,1,1,1,-1,-1,0,0
4,170.86559,1,1,0,0.0071132043404638322,40,1,0,-1,-1,-1,1,-1,-1,0,0
5,134.57424700000001,1,1,0,0.036044336100020828,40,1,0,-1,-1,-1,1,-1,-1,0,0
6,292.33893500000005,1,1,0,0.29626259859662013,40,1,1,-1,1,1,1,-1,-1,0,0
7,140.94290800000002,1,1,0,0.39522297670753187,40,1,0,-1,-1,-1,1,-1,-1,0,0
8,132.07269199999999,1,1,0,0.2015975312323138,40,1,0,-1,-1,-1,1,-1,-1,0,0
9,145.641041,1,1,0,0.016867961285973381,40,1,0,-1,-1,-1,1,-1,-1,0,0
10,345.71540299999998,1,1,0,17.176009945850687,40,1,1,-1,1,1,1,-1,-1,0,0
11,142.15583800000002,1,1,0,0.74754050458704224,40,1,0,-1,-1,-1,1,-1,-1,0,0
12,156.57239799999999,1,1,0,0.78580550417600192,40,1,0,-1,-1,-1,1,-1,-1,0,0
13,157.458358,1,1,0,1.2830297112523403,40,1,0,-1,-1,-1,1,-1,-1,0,0
14,347.132589,1,1,0,12.14378695933843,40,1,1,-1,1,1,1,-1,-1,0,0
15,147.88616900000002,1,1,0,1.6467959282736375,40,1,0,-1,-1,-1,1,-1,-1,0,0
16,135.98270300000001,1,1,0,1.904646318852476,40,1,0,-1,-1,-1,1,-1,-1,0,0
17,269.31368700000002,1,1,0,1.468648630791046,40,1,1,-1,0,1,1,-1,-1,0,0
18,141.63101,1,1,0,3.9271713739910288,40,1,0,-1,-1,-1,1,-1,-1,0,0
19,307.38750500000003,1,1,0,4.6994628956111972,40,1,1,-1,1,1,1,-1,-1,0,0
20,144.31976899999998,1,1,0,0.19624694696102732,40,1,0,-1,-1,-1,1,-1,-1,0,0
21,284.97693299999997,1,1,0,1.8007383593459005,40,1,1,-1,1,1,1,-1,-1,0,0
22,146.314098,1,1,0,0.039155447305887381,40,1,0,-1,-1,-1,1,-1,-1,0,0
23,143.47849200000002,1,1,0,4.6773185190292565,40,1,0,-1,-1,-1,1,-1,-1,0,0
24,255.625944,1,1,0,0.37310717639651625,40,1,1,-1,0,1,1,-1,-1,0,0
