step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,150.945942,1,1,0,5.0120910968464036,20,0,-1,-1,-1,-1,1,-1,-1,0,0
1,127.274145,1,1,0,0.042208288607423969,20,1,0,-1,-1,-1,1,-1,-1,0,0
2,120.81422599999999,1,1,0,0.11158647440637748,20,1,0,-1,-1,-1,1,-1,-1,0,0
3,129.92172199999999,1,1,0,0.022357040875445693,20,1,0,-1,-1,-1,1,-1,-1,0,0
4,232.54478700000001,1,1,0,0.25531409783577108,20,1,1,-1,1,1,1,-1,-1,0,0
5,123.411097,1,1,0,0.18716885224680213,20,1,0,-1,-1,-1,1,-1,-1,0,0
6,290.315134,1,1,0,0.23613445016637058,20,1,1,-1,1,1,1,-1,-1,0,0
7,124.980715,1,1,0,0.28713702112043926,20,1,0,-1,-1,-1,1,-1,-1,0,0
8,214.90820299999999,1,1,0,0.35860116797028385,20,1,1,-1,1,1,1,-1,-1,0,0
9,114.57484199999999,1,1,0,0.24688304494478391,20,1,0,-1,-1,-1,1,-1,-1,0,0
10,288.42520999999999,1,1,0,25.637534746616421,20,1,1,-1,1,1,1,-1,-1,0,0
11,145.712445,1,1,0,0.97786981086003588,20,1,0,-1,-1,-1,1,-1,-1,0,0
12,300.70224000000002,1,1,0,25.639997187679619,20,1,1,-1,1,1,1,-1,-1,0,0
13,113.383156,1,1,0,25.639988502889835,20,1,0,-1,-1,-1,1,-1,-1,0,0
14,117.47702100000001,1,1,0,4.0169393142805312,20,1,0,-1,-1,-1,1,-1,-1,0,0
15,119.23344299999999,1,1,0,2.8689853533686636,20,1,0,-1,-1,-1,1,-1,-1,0,0
16,112.866755,1,1,0,6.2392014757070946,20,1,0,-1,-1,-1,1,-1,-1,0,0
17,116.043593,1,1,0,8.7005168226258291,20,1,0,-1,-1,-1,1,-1,-1,0,0
18,254.91817300000002,1,1,0,6.1964203210206348,20,1,1,-1,0,1,1,-1,-1,0,0
19,141.52721500000001,1,1,0,6.2867677439264318,20,1,0,-1,-1,-1,1,-1,-1,0,0
20,129.850617,1,1,0,2.4258525445140906,20,1,0,-1,-1,-1,1,-1,-1,0,0
21,121.55751400000001,1,1,0,1.7532859065130233,20,1,0,-1,-1,-1,1,-1,-1,0,0
