setup,profile,shift_boost,controller,matched_seeds,collision_rate,safe_completion_rate,focus_omission_rate,mean_cycle_ms
straight_o1_c1_m3_s20,boost_0,0.0,sh_mpcc,1,0.0,0.0,0.0,18.718389333333334
straight_o1_c1_m3_s20,boost_0,0.0,sh_mpcc_dro,1,0.0,0.0,0.0,20.969421333333333
straight_o1_c1_m3_s20,boost_0,0.0,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,25.15323666666667
straight_o1_c1_m3_s20,boost_0,0.0,sh_mpcc_extra,1,0.0,0.0,0.0,27.248496333333332
straight_o1_c1_m3_s20,boost_0,0.0,sh_mpcc_resample,1,0.0,0.0,0.0,21.83987666666667
straight_o1_c1_m3_s20,boost_15,0.15,sh_mpcc,1,0.0,0.0,0.0,24.29025
straight_o1_c1_m3_s20,boost_15,0.15,sh_mpcc_dro,1,0.0,0.0,0.0,20.470313333333333
straight_o1_c1_m3_s20,boost_15,0.15,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,25.335106
straight_o1_c1_m3_s20,boost_15,0.15,sh_mpcc_extra,1,0.0,0.0,0.0,22.897527666666665
straight_o1_c1_m3_s20,boost_15,0.15,sh_mpcc_resample,1,0.0,0.0,0.0,20.306244666666668
straight_o1_c1_m3_s20,boost_30,0.3,sh_mpcc,1,0.0,0.0,0.0,20.003912666666665
straight_o1_c1_m3_s20,boost_30,0.3,sh_mpcc_dro,1,0.0,0.0,0.0,20.646747666666666
straight_o1_c1_m3_s20,boost_30,0.3,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,20.385598666666667
straight_o1_c1_m3_s20,boost_30,0.3,sh_mpcc_extra,1,0.0,0.0,0.0,24.551047333333333
straight_o1_c1_m3_s20,boost_30,0.3,sh_mpcc_resample,1,0.0,0.0,0.0,24.364479666666668
straight_o1_c1_m3_s20,boost_5,0.05,sh_mpcc,1,0.0,0.0,0.0,24.449726
straight_o1_c1_m3_s20,boost_5,0.05,sh_mpcc_dro,1,0.0,0.0,0.0,18.753660333333332
straight_o1_c1_m3_s20,boost_5,0.05,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,22.222916333333334
straight_o1_c1_m3_s20,boost_5,0.05,sh_mpcc_extra,1,0.0,0.0,0.0,22.120460666666663
straight_o1_c1_m3_s20,boost_5,0.05,sh_mpcc_resample,1,0.0,0.0,0.0,20.300186666666665
