pair,profile,controller_a,controller_b,expected_pairs,measured_pairs,error_or_pending_pairs,neither_collides,only_a_collides,only_b_collides,both_collide,collision_rate_a,collision_rate_b,safe_completion_a,safe_completion_b,collision_difference_b_minus_a,paired_bootstrap95_low,paired_bootstrap95_high,exact_mcnemar_p
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,sh_mpcc_dro,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,sh_mpcc_extra,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,sh_mpcc_extra,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_dro,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_extra,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_extra,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_resample,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,sh_mpcc_dro,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,sh_mpcc_extra,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro,sh_mpcc_extra,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_dro,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_extra,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_extra,sh_mpcc_resample,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_resample,sh_mpcc_dro_fallback,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,1.0
