budget,scheme,replicates,inclusion_rate,expected_inclusion,mean_dangerous_draws
16,nominal_single,500,0.136,0.15518189268716742,0.146
16,nominal_split,500,0.136,0.15518189268716753,0.146
16,wdro_nominal_split_unconditional,500,0.272,0.2789386442042947,0.31
16,wdro_single,500,0.372,0.3845663648525314,0.458
40,nominal_single,500,0.328,0.34399366366366013,0.4
40,nominal_split,500,0.328,0.34399366366366013,0.4
40,wdro_nominal_split_unconditional,500,0.56,0.5585001584450417,0.784
40,wdro_single,500,0.7,0.7028655070899879,1.152
80,nominal_single,500,0.572,0.569655686686573,0.854
80,nominal_split,500,0.572,0.569655686686573,0.854
80,wdro_nominal_split_unconditional,500,0.81,0.8050778899069468,1.606
80,wdro_single,500,0.916,0.9117110931231099,2.34
160,nominal_single,500,0.816,0.814803771998795,1.702
160,nominal_split,500,0.816,0.814803771998795,1.702
160,wdro_nominal_split_unconditional,500,0.964,0.9620053709968717,3.188
160,wdro_single,500,0.988,0.9922050689224838,4.736
