budget_design,base_S,method,matched_trials,first_attempt_inadmissibility,final_inadmissibility,fallback_rate,first_dangerous_inclusion,any_attempt_dangerous_inclusion,mean_total_draws,mean_outer_attempts,mean_failed_attempts,mean_qp_calls,mean_cycle_ms
equal_max_draws,8,nominal,4,0.0,0.0,0.0,0,0.0,16.0,1.0,0.0,10.0,108.623797
equal_max_draws,8,nominal_nominal,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,100.09851474999999
equal_max_draws,8,wdro,4,0.0,0.0,0.0,0,0.0,16.0,1.0,0.0,10.0,106.46705575
equal_max_draws,8,wdro_nominal,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,101.68568125
equal_max_draws,20,nominal,4,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,125.872151
equal_max_draws,20,nominal_nominal,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,108.79884025
equal_max_draws,20,wdro,4,0.0,0.0,0.0,0.5,0.5,40.0,1.0,0.0,15.5,238.569044
equal_max_draws,20,wdro_nominal,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,112.360381
equal_max_draws,40,nominal,4,0.0,0.0,0.0,0.25,0.25,80.0,1.0,0.0,12.75,229.2455105
equal_max_draws,40,nominal_nominal,4,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,123.184001
equal_max_draws,40,wdro,4,0.0,0.0,0.0,1,1.0,80.0,1.0,0.0,21.0,454.798851
equal_max_draws,40,wdro_nominal,4,0.0,0.0,0.0,0.5,0.5,40.0,1.0,0.0,15.5,238.39135675
equal_per_attempt,8,nominal,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,98.03460050000001
equal_per_attempt,8,nominal_nominal,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,97.55796975
equal_per_attempt,8,wdro,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,99.730151
equal_per_attempt,8,wdro_nominal,4,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,99.897892
equal_per_attempt,20,nominal,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,109.87662275
equal_per_attempt,20,nominal_nominal,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,110.18159374999999
equal_per_attempt,20,wdro,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,113.44708275
equal_per_attempt,20,wdro_nominal,4,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,110.4170055
equal_per_attempt,40,nominal,4,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,122.84186225
equal_per_attempt,40,nominal_nominal,4,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,122.3956465
equal_per_attempt,40,wdro,4,0.0,0.0,0.0,0.5,0.5,40.0,1.0,0.0,15.5,240.4149325
equal_per_attempt,40,wdro_nominal,4,0.0,0.0,0.0,0.5,0.5,40.0,1.0,0.0,15.5,236.32933375000002
