budget_design,base_S,seed,method,attempt,success,dro_enabled,draws,cut_in_count,p_cut_in,q_cut_in,qp_calls,solve_ms
equal_per_attempt,8,77,nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,99.065999000000005
equal_per_attempt,8,77,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,98.667504000000008
equal_per_attempt,8,77,wdro,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.467507
equal_per_attempt,8,77,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.52441400000001
equal_per_attempt,8,78,nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,95.302171999999999
equal_per_attempt,8,78,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,95.126430999999997
equal_per_attempt,8,78,wdro,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,97.494579000000002
equal_per_attempt,8,78,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,97.489069999999998
equal_per_attempt,8,79,nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,99.050154000000006
equal_per_attempt,8,79,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,98.440033999999997
equal_per_attempt,8,79,wdro,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.60276499999999
equal_per_attempt,8,79,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.563614
equal_per_attempt,8,80,nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,98.661417999999998
equal_per_attempt,8,80,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,97.943093999999988
equal_per_attempt,8,80,wdro,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.30238199999999
equal_per_attempt,8,80,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,100.961617
equal_per_attempt,20,77,nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,107.526314
equal_per_attempt,20,77,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,106.88258400000001
equal_per_attempt,20,77,wdro,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,108.91876999999999
equal_per_attempt,20,77,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,108.64993000000001
equal_per_attempt,20,78,nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,103.51536
equal_per_attempt,20,78,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,109.134174
equal_per_attempt,20,78,wdro,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,118.639307
equal_per_attempt,20,78,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,112.53595
equal_per_attempt,20,79,nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,116.56553099999999
equal_per_attempt,20,79,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,113.256918
equal_per_attempt,20,79,wdro,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,114.594633
equal_per_attempt,20,79,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,109.70419800000001
equal_per_attempt,20,80,nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,111.847706
equal_per_attempt,20,80,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,111.397295
equal_per_attempt,20,80,wdro,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,111.582629
equal_per_attempt,20,80,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,110.725695
equal_per_attempt,40,77,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,124.534718
equal_per_attempt,40,77,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,122.081613
equal_per_attempt,40,77,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,129.39024900000001
equal_per_attempt,40,77,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,126.42499900000001
equal_per_attempt,40,78,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,122.41779799999999
equal_per_attempt,40,78,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,121.75353
equal_per_attempt,40,78,wdro,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,354.44855100000001
equal_per_attempt,40,78,wdro_nominal,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,343.34414499999997
equal_per_attempt,40,79,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,122.316232
equal_per_attempt,40,79,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,122.506996
equal_per_attempt,40,79,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,127.871973
equal_per_attempt,40,79,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,125.941185
equal_per_attempt,40,80,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,122.045458
equal_per_attempt,40,80,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,123.18930999999999
equal_per_attempt,40,80,wdro,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,349.89254099999999
equal_per_attempt,40,80,wdro_nominal,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,349.54839700000002
equal_max_draws,8,77,nominal,0,1,0,16,0,0.010484273589615577,0.010484273589615577,10,107.644823
equal_max_draws,8,77,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,100.721087
equal_max_draws,8,77,wdro,0,1,1,16,0,0.010484273589615577,0.029883644073199624,10,107.939414
equal_max_draws,8,77,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,101.94204499999999
equal_max_draws,8,78,nominal,0,1,0,16,0,0.010484273589615577,0.010484273589615577,10,105.533242
equal_max_draws,8,78,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,96.084974000000003
equal_max_draws,8,78,wdro,0,1,1,16,0,0.010484273589615577,0.029883644073199624,10,103.74669400000001
equal_max_draws,8,78,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,102.16637800000001
equal_max_draws,8,79,nominal,0,1,0,16,0,0.010484273589615577,0.010484273589615577,10,110.562676
equal_max_draws,8,79,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,103.72264699999999
equal_max_draws,8,79,wdro,0,1,1,16,0,0.010484273589615577,0.029883644073199624,10,106.62861099999999
equal_max_draws,8,79,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,101.28281699999999
equal_max_draws,8,80,nominal,0,1,0,16,0,0.010484273589615577,0.010484273589615577,10,110.698183
equal_max_draws,8,80,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,99.814721999999989
equal_max_draws,8,80,wdro,0,1,1,16,0,0.010484273589615577,0.029883644073199624,10,107.49695800000001
equal_max_draws,8,80,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,101.29735199999999
equal_max_draws,20,77,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,126.08925500000001
equal_max_draws,20,77,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,110.23532299999999
equal_max_draws,20,77,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,127.137006
equal_max_draws,20,77,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,110.60930400000001
equal_max_draws,20,78,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,126.02271400000001
equal_max_draws,20,78,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,105.270967
equal_max_draws,20,78,wdro,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,350.93856699999998
equal_max_draws,20,78,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,111.912469
equal_max_draws,20,79,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,127.214921
equal_max_draws,20,79,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,110.898681
equal_max_draws,20,79,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,125.65837399999999
equal_max_draws,20,79,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,114.694626
equal_max_draws,20,80,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,124.10840300000001
