budget_design,base_S,seed,method,status,first_success,final_success,fallback,outer_attempts,failed_attempts,qp_calls,total_draws,first_cut_in_count,any_cut_in,cycle_ms,sample_count_sufficient,error
equal_per_attempt,8,77,nominal,OK,1,1,0,1,0,10,8,0,0,99.079969000000006,0,
equal_per_attempt,8,77,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,98.682718000000008,0,
equal_per_attempt,8,77,wdro,OK,1,1,0,1,0,10,8,0,0,100.479865,0,
equal_per_attempt,8,77,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,100.537024,0,
equal_per_attempt,8,78,nominal,OK,1,1,0,1,0,10,8,0,0,95.316854000000006,0,
equal_per_attempt,8,78,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,95.138899999999992,0,
equal_per_attempt,8,78,wdro,OK,1,1,0,1,0,10,8,0,0,97.506467000000001,0,
equal_per_attempt,8,78,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,97.501739999999998,0,
equal_per_attempt,8,79,nominal,OK,1,1,0,1,0,10,8,0,0,99.068872999999996,0,
equal_per_attempt,8,79,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,98.455087999999989,0,
equal_per_attempt,8,79,wdro,OK,1,1,0,1,0,10,8,0,0,100.614092,0,
equal_per_attempt,8,79,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,100.57685500000001,0,
equal_per_attempt,8,80,nominal,OK,1,1,0,1,0,10,8,0,0,98.672706000000005,0,
equal_per_attempt,8,80,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,97.955173000000002,0,
equal_per_attempt,8,80,wdro,OK,1,1,0,1,0,10,8,0,0,100.32017999999999,0,
equal_per_attempt,8,80,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,100.975949,0,
equal_per_attempt,20,77,nominal,OK,1,1,0,1,0,10,20,0,0,107.538282,0,
equal_per_attempt,20,77,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,106.894853,0,
equal_per_attempt,20,77,wdro,OK,1,1,0,1,0,10,20,0,0,108.93124,0,
equal_per_attempt,20,77,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,108.661618,0,
equal_per_attempt,20,78,nominal,OK,1,1,0,1,0,10,20,0,0,103.52677799999999,0,
equal_per_attempt,20,78,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,109.150128,0,
equal_per_attempt,20,78,wdro,OK,1,1,0,1,0,10,20,0,0,118.652417,0,
equal_per_attempt,20,78,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,112.550292,0,
equal_per_attempt,20,79,nominal,OK,1,1,0,1,0,10,20,0,0,116.582617,0,
equal_per_attempt,20,79,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,113.270618,0,
equal_per_attempt,20,79,wdro,OK,1,1,0,1,0,10,20,0,0,114.60791300000001,0,
equal_per_attempt,20,79,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,109.71755800000001,0,
equal_per_attempt,20,80,nominal,OK,1,1,0,1,0,10,20,0,0,111.858814,0,
equal_per_attempt,20,80,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,111.410776,0,
equal_per_attempt,20,80,wdro,OK,1,1,0,1,0,10,20,0,0,111.596761,0,
