budget,seed,scheme,draws,cut_in_count,represented,expected_inclusion
16,10001,nominal_single,16,1,1,0.15518189268716742
16,10001,nominal_split,16,1,1,0.15518189268716753
16,10001,wdro_single,16,1,1,0.38456636485253137
16,10001,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10002,nominal_single,16,0,0,0.15518189268716742
16,10002,nominal_split,16,0,0,0.15518189268716753
16,10002,wdro_single,16,1,1,0.38456636485253137
16,10002,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10003,nominal_single,16,0,0,0.15518189268716742
16,10003,nominal_split,16,0,0,0.15518189268716753
16,10003,wdro_single,16,0,0,0.38456636485253137
16,10003,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10004,nominal_single,16,0,0,0.15518189268716742
16,10004,nominal_split,16,0,0,0.15518189268716753
16,10004,wdro_single,16,1,1,0.38456636485253137
16,10004,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10005,nominal_single,16,0,0,0.15518189268716742
16,10005,nominal_split,16,0,0,0.15518189268716753
16,10005,wdro_single,16,0,0,0.38456636485253137
16,10005,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10006,nominal_single,16,0,0,0.15518189268716742
16,10006,nominal_split,16,0,0,0.15518189268716753
16,10006,wdro_single,16,0,0,0.38456636485253137
16,10006,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10007,nominal_single,16,0,0,0.15518189268716742
16,10007,nominal_split,16,0,0,0.15518189268716753
16,10007,wdro_single,16,0,0,0.38456636485253137
16,10007,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10008,nominal_single,16,1,1,0.15518189268716742
16,10008,nominal_split,16,1,1,0.15518189268716753
16,10008,wdro_single,16,1,1,0.38456636485253137
16,10008,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10009,nominal_single,16,0,0,0.15518189268716742
16,10009,nominal_split,16,0,0,0.15518189268716753
16,10009,wdro_single,16,1,1,0.38456636485253137
16,10009,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10010,nominal_single,16,0,0,0.15518189268716742
16,10010,nominal_split,16,0,0,0.15518189268716753
16,10010,wdro_single,16,0,0,0.38456636485253137
16,10010,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10011,nominal_single,16,0,0,0.15518189268716742
16,10011,nominal_split,16,0,0,0.15518189268716753
16,10011,wdro_single,16,0,0,0.38456636485253137
16,10011,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10012,nominal_single,16,0,0,0.15518189268716742
16,10012,nominal_split,16,0,0,0.15518189268716753
16,10012,wdro_single,16,2,1,0.38456636485253137
16,10012,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10013,nominal_single,16,0,0,0.15518189268716742
16,10013,nominal_split,16,0,0,0.15518189268716753
16,10013,wdro_single,16,1,1,0.38456636485253137
16,10013,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10014,nominal_single,16,1,1,0.15518189268716742
16,10014,nominal_split,16,1,1,0.15518189268716753
16,10014,wdro_single,16,1,1,0.38456636485253137
16,10014,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10015,nominal_single,16,0,0,0.15518189268716742
16,10015,nominal_split,16,0,0,0.15518189268716753
16,10015,wdro_single,16,0,0,0.38456636485253137
16,10015,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10016,nominal_single,16,0,0,0.15518189268716742
16,10016,nominal_split,16,0,0,0.15518189268716753
16,10016,wdro_single,16,1,1,0.38456636485253137
16,10016,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10017,nominal_single,16,0,0,0.15518189268716742
16,10017,nominal_split,16,0,0,0.15518189268716753
16,10017,wdro_single,16,0,0,0.38456636485253137
16,10017,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10018,nominal_single,16,0,0,0.15518189268716742
16,10018,nominal_split,16,0,0,0.15518189268716753
16,10018,wdro_single,16,1,1,0.38456636485253137
16,10018,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10019,nominal_single,16,0,0,0.15518189268716742
16,10019,nominal_split,16,0,0,0.15518189268716753
16,10019,wdro_single,16,0,0,0.38456636485253137
16,10019,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10020,nominal_single,16,0,0,0.15518189268716742
16,10020,nominal_split,16,0,0,0.15518189268716753
16,10020,wdro_single,16,0,0,0.38456636485253137
16,10020,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10021,nominal_single,16,0,0,0.15518189268716742
16,10021,nominal_split,16,0,0,0.15518189268716753
16,10021,wdro_single,16,1,1,0.38456636485253137
16,10021,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10022,nominal_single,16,0,0,0.15518189268716742
16,10022,nominal_split,16,0,0,0.15518189268716753
16,10022,wdro_single,16,0,0,0.38456636485253137
16,10022,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10023,nominal_single,16,0,0,0.15518189268716742
16,10023,nominal_split,16,0,0,0.15518189268716753
16,10023,wdro_single,16,0,0,0.38456636485253137
16,10023,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10024,nominal_single,16,1,1,0.15518189268716742
16,10024,nominal_split,16,1,1,0.15518189268716753
16,10024,wdro_single,16,2,1,0.38456636485253137
16,10024,wdro_nominal_split_unconditional,16,2,1,0.27893864420429471
16,10025,nominal_single,16,0,0,0.15518189268716742
16,10025,nominal_split,16,0,0,0.15518189268716753
16,10025,wdro_single,16,1,1,0.38456636485253137
16,10025,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10026,nominal_single,16,0,0,0.15518189268716742
16,10026,nominal_split,16,0,0,0.15518189268716753
16,10026,wdro_single,16,0,0,0.38456636485253137
16,10026,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10027,nominal_single,16,0,0,0.15518189268716742
16,10027,nominal_split,16,0,0,0.15518189268716753
16,10027,wdro_single,16,0,0,0.38456636485253137
16,10027,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10028,nominal_single,16,0,0,0.15518189268716742
16,10028,nominal_split,16,0,0,0.15518189268716753
16,10028,wdro_single,16,0,0,0.38456636485253137
16,10028,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10029,nominal_single,16,0,0,0.15518189268716742
16,10029,nominal_split,16,0,0,0.15518189268716753
16,10029,wdro_single,16,0,0,0.38456636485253137
16,10029,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10030,nominal_single,16,0,0,0.15518189268716742
16,10030,nominal_split,16,0,0,0.15518189268716753
16,10030,wdro_single,16,1,1,0.38456636485253137
