budget_design,base_S,seed,method,status,first_success,final_success,fallback,outer_attempts,failed_attempts,qp_calls,total_draws,first_cut_in_count,any_cut_in,cycle_ms,sample_count_sufficient,error
equal_per_attempt,8,77,nominal,OK,1,1,0,1,0,10,8,0,0,99.950275000000005,0,
equal_per_attempt,8,77,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,98.759910000000005,0,
equal_per_attempt,8,77,wdro,OK,1,1,0,1,0,10,8,0,0,101.018547,0,
equal_per_attempt,8,77,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,101.68127699999999,0,
equal_per_attempt,20,77,nominal,OK,1,1,0,1,0,10,20,0,0,114.12925300000001,0,
equal_per_attempt,20,77,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,111.59103300000001,0,
equal_per_attempt,20,77,wdro,OK,1,1,0,1,0,10,20,0,0,109.267211,0,
equal_per_attempt,20,77,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,109.811044,0,
equal_per_attempt,40,77,nominal,OK,1,1,0,1,0,10,40,0,0,120.20935,0,
equal_per_attempt,40,77,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,121.312786,0,
equal_per_attempt,40,77,wdro,OK,1,1,0,1,0,10,40,0,0,122.89359,0,
equal_per_attempt,40,77,wdro_nominal,OK,1,1,0,1,0,10,40,0,0,125.242572,0,
equal_max_draws,8,77,nominal,OK,1,1,0,1,0,10,16,0,0,105.69762800000001,0,
equal_max_draws,8,77,nominal_nominal,OK,1,1,0,1,0,10,8,0,0,107.91119400000001,0,
equal_max_draws,8,77,wdro,OK,1,1,0,1,0,10,16,0,0,122.06017600000001,0,
equal_max_draws,8,77,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,106.090581,0,
equal_max_draws,20,77,nominal,OK,1,1,0,1,0,10,40,0,0,128.19262800000001,0,
equal_max_draws,20,77,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,112.325033,0,
equal_max_draws,20,77,wdro,OK,1,1,0,1,0,10,40,0,0,131.380438,0,
equal_max_draws,20,77,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,116.199065,0,
equal_max_draws,40,77,nominal,OK,1,1,0,1,0,10,80,0,0,179.97988599999999,0,
equal_max_draws,40,77,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,132.02069299999999,0,
equal_max_draws,40,77,wdro,OK,1,1,0,1,0,21,80,3,1,468.61859399999997,0,
equal_max_draws,40,77,wdro_nominal,OK,1,1,0,1,0,10,40,0,0,131.10240899999999,0,
