budget,seed,scheme,draws,cut_in_count,represented,expected_inclusion
16,10001,nominal_single,16,1,1,0.15518189268716742
16,10001,nominal_split,16,1,1,0.15518189268716753
16,10001,wdro_single,16,1,1,0.38456636485253137
16,10001,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10002,nominal_single,16,0,0,0.15518189268716742
16,10002,nominal_split,16,0,0,0.15518189268716753
16,10002,wdro_single,16,1,1,0.38456636485253137
16,10002,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10003,nominal_single,16,0,0,0.15518189268716742
16,10003,nominal_split,16,0,0,0.15518189268716753
16,10003,wdro_single,16,0,0,0.38456636485253137
16,10003,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10004,nominal_single,16,0,0,0.15518189268716742
16,10004,nominal_split,16,0,0,0.15518189268716753
16,10004,wdro_single,16,1,1,0.38456636485253137
16,10004,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10005,nominal_single,16,0,0,0.15518189268716742
16,10005,nominal_split,16,0,0,0.15518189268716753
16,10005,wdro_single,16,0,0,0.38456636485253137
16,10005,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10006,nominal_single,16,0,0,0.15518189268716742
16,10006,nominal_split,16,0,0,0.15518189268716753
16,10006,wdro_single,16,0,0,0.38456636485253137
16,10006,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10007,nominal_single,16,0,0,0.15518189268716742
16,10007,nominal_split,16,0,0,0.15518189268716753
16,10007,wdro_single,16,0,0,0.38456636485253137
16,10007,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10008,nominal_single,16,1,1,0.15518189268716742
16,10008,nominal_split,16,1,1,0.15518189268716753
16,10008,wdro_single,16,1,1,0.38456636485253137
16,10008,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10009,nominal_single,16,0,0,0.15518189268716742
16,10009,nominal_split,16,0,0,0.15518189268716753
16,10009,wdro_single,16,1,1,0.38456636485253137
16,10009,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10010,nominal_single,16,0,0,0.15518189268716742
16,10010,nominal_split,16,0,0,0.15518189268716753
16,10010,wdro_single,16,0,0,0.38456636485253137
16,10010,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
40,10001,nominal_single,40,1,1,0.34399366366366013
40,10001,nominal_split,40,1,1,0.34399366366366013
40,10001,wdro_single,40,1,1,0.70286550708998785
40,10001,wdro_nominal_split_unconditional,40,1,1,0.55850015844504175
40,10002,nominal_single,40,0,0,0.34399366366366013
40,10002,nominal_split,40,0,0,0.34399366366366013
40,10002,wdro_single,40,1,1,0.70286550708998785
40,10002,wdro_nominal_split_unconditional,40,1,1,0.55850015844504175
40,10003,nominal_single,40,0,0,0.34399366366366013
40,10003,nominal_split,40,0,0,0.34399366366366013
40,10003,wdro_single,40,0,0,0.70286550708998785
40,10003,wdro_nominal_split_unconditional,40,0,0,0.55850015844504175
40,10004,nominal_single,40,2,1,0.34399366366366013
40,10004,nominal_split,40,2,1,0.34399366366366013
40,10004,wdro_single,40,3,1,0.70286550708998785
40,10004,wdro_nominal_split_unconditional,40,3,1,0.55850015844504175
40,10005,nominal_single,40,0,0,0.34399366366366013
40,10005,nominal_split,40,0,0,0.34399366366366013
40,10005,wdro_single,40,1,1,0.70286550708998785
40,10005,wdro_nominal_split_unconditional,40,0,0,0.55850015844504175
40,10006,nominal_single,40,0,0,0.34399366366366013
40,10006,nominal_split,40,0,0,0.34399366366366013
40,10006,wdro_single,40,1,1,0.70286550708998785
40,10006,wdro_nominal_split_unconditional,40,0,0,0.55850015844504175
40,10007,nominal_single,40,0,0,0.34399366366366013
40,10007,nominal_split,40,0,0,0.34399366366366013
40,10007,wdro_single,40,0,0,0.70286550708998785
40,10007,wdro_nominal_split_unconditional,40,0,0,0.55850015844504175
40,10008,nominal_single,40,1,1,0.34399366366366013
40,10008,nominal_split,40,1,1,0.34399366366366013
40,10008,wdro_single,40,1,1,0.70286550708998785
40,10008,wdro_nominal_split_unconditional,40,1,1,0.55850015844504175
40,10009,nominal_single,40,0,0,0.34399366366366013
40,10009,nominal_split,40,0,0,0.34399366366366013
40,10009,wdro_single,40,1,1,0.70286550708998785
40,10009,wdro_nominal_split_unconditional,40,1,1,0.55850015844504175
40,10010,nominal_single,40,0,0,0.34399366366366013
40,10010,nominal_split,40,0,0,0.34399366366366013
40,10010,wdro_single,40,0,0,0.70286550708998785
40,10010,wdro_nominal_split_unconditional,40,0,0,0.55850015844504175
80,10001,nominal_single,80,1,1,0.56965568668657296
80,10001,nominal_split,80,1,1,0.56965568668657296
80,10001,wdro_single,80,3,1,0.91171109312310994
80,10001,wdro_nominal_split_unconditional,80,1,1,0.80507788990694684
80,10002,nominal_single,80,0,0,0.56965568668657296
80,10002,nominal_split,80,0,0,0.56965568668657296
80,10002,wdro_single,80,1,1,0.91171109312310994
80,10002,wdro_nominal_split_unconditional,80,1,1,0.80507788990694684
80,10003,nominal_single,80,0,0,0.56965568668657296
80,10003,nominal_split,80,0,0,0.56965568668657296
80,10003,wdro_single,80,1,1,0.91171109312310994
80,10003,wdro_nominal_split_unconditional,80,0,0,0.80507788990694684
80,10004,nominal_single,80,2,1,0.56965568668657296
80,10004,nominal_split,80,2,1,0.56965568668657296
80,10004,wdro_single,80,4,1,0.91171109312310994
80,10004,wdro_nominal_split_unconditional,80,3,1,0.80507788990694684
80,10005,nominal_single,80,0,0,0.56965568668657296
80,10005,nominal_split,80,0,0,0.56965568668657296
80,10005,wdro_single,80,2,1,0.91171109312310994
80,10005,wdro_nominal_split_unconditional,80,1,1,0.80507788990694684
80,10006,nominal_single,80,0,0,0.56965568668657296
80,10006,nominal_split,80,0,0,0.56965568668657296
80,10006,wdro_single,80,1,1,0.91171109312310994
80,10006,wdro_nominal_split_unconditional,80,1,1,0.80507788990694684
80,10007,nominal_single,80,1,1,0.56965568668657296
80,10007,nominal_split,80,1,1,0.56965568668657296
80,10007,wdro_single,80,1,1,0.91171109312310994
80,10007,wdro_nominal_split_unconditional,80,1,1,0.80507788990694684
80,10008,nominal_single,80,2,1,0.56965568668657296
80,10008,nominal_split,80,2,1,0.56965568668657296
80,10008,wdro_single,80,2,1,0.91171109312310994
80,10008,wdro_nominal_split_unconditional,80,2,1,0.80507788990694684
80,10009,nominal_single,80,2,1,0.56965568668657296
80,10009,nominal_split,80,2,1,0.56965568668657296
80,10009,wdro_single,80,4,1,0.91171109312310994
80,10009,wdro_nominal_split_unconditional,80,3,1,0.80507788990694684
80,10010,nominal_single,80,0,0,0.56965568668657296
80,10010,nominal_split,80,0,0,0.56965568668657296
80,10010,wdro_single,80,0,0,0.91171109312310994
