budget_design,base_S,seed,method,k,x,y,theta
equal_per_attempt,8,77,nominal,0,0,0,0
equal_per_attempt,8,77,nominal,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,8,77,nominal,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,8,77,nominal,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
equal_per_attempt,8,77,nominal,4,0.88087615824222421,-5.4724742834487793e-08,-2.4725240199409499e-07
equal_per_attempt,8,77,nominal,5,1.1066743204339817,-1.1565233661358518e-07,-2.9242442772112858e-07
equal_per_attempt,8,77,nominal,6,1.3321025906648516,-1.7888035963110292e-07,-2.6852831607060185e-07
equal_per_attempt,8,77,nominal,7,1.5572346310077139,-2.3150661969746427e-07,-1.9897440540295473e-07
equal_per_attempt,8,77,nominal,8,1.7821966027349125,-2.6474720393841626e-07,-9.6539124436616025e-08
equal_per_attempt,8,77,nominal,9,2.0070914111465963,-2.7266747420132683e-07,2.6106087714000831e-08
equal_per_attempt,8,77,nominal,10,2.2319857995842352,-2.5118425604785893e-07,1.649430161012067e-07
equal_per_attempt,8,77,nominal,11,2.4569185237802689,-2.0442273096812512e-07,2.5083597920106377e-07
equal_per_attempt,8,77,nominal,12,2.6819115245790419,-1.4222332397023277e-07,3.0206224634193533e-07
equal_per_attempt,8,77,nominal,13,2.9069764686313739,-7.0336521234456152e-08,3.3674522822178959e-07
equal_per_attempt,8,77,nominal,14,3.1321125556255596,7.9179803600939805e-09,3.58428807380259e-07
equal_per_attempt,8,77,nominal,15,3.3572912690933894,8.7543866238000982e-08,3.4879524190324125e-07
equal_per_attempt,8,77,nominal,16,3.5824212573036518,1.5809452482412913e-07,2.7795354708119195e-07
equal_per_attempt,8,77,nominal,17,3.8072824451936231,2.0415971848063226e-07,1.317219204429964e-07
equal_per_attempt,8,77,nominal,18,4.0314133176142759,2.1171062951776918e-07,-6.4494043250180967e-08
equal_per_attempt,8,77,nominal,19,4.2539301467506494,1.7627923099174808e-07,-2.5427752203691638e-07
equal_per_attempt,8,77,nominal,20,4.4732544514211412,1.0446944827392383e-07,-4.0101777691666938e-07
equal_per_attempt,8,77,nominal_nominal,0,0,0,0
equal_per_attempt,8,77,nominal_nominal,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,8,77,nominal_nominal,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,8,77,nominal_nominal,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
equal_per_attempt,8,77,nominal_nominal,4,0.88087615824222421,-5.4724742834487793e-08,-2.4725240199409499e-07
equal_per_attempt,8,77,nominal_nominal,5,1.1066743204339817,-1.1565233661358518e-07,-2.9242442772112858e-07
equal_per_attempt,8,77,nominal_nominal,6,1.3321025906648516,-1.7888035963110292e-07,-2.6852831607060185e-07
equal_per_attempt,8,77,nominal_nominal,7,1.5572346310077139,-2.3150661969746427e-07,-1.9897440540295473e-07
equal_per_attempt,8,77,nominal_nominal,8,1.7821966027349125,-2.6474720393841626e-07,-9.6539124436616025e-08
equal_per_attempt,8,77,nominal_nominal,9,2.0070914111465963,-2.7266747420132683e-07,2.6106087714000831e-08
equal_per_attempt,8,77,nominal_nominal,10,2.2319857995842352,-2.5118425604785893e-07,1.649430161012067e-07
equal_per_attempt,8,77,nominal_nominal,11,2.4569185237802689,-2.0442273096812512e-07,2.5083597920106377e-07
equal_per_attempt,8,77,nominal_nominal,12,2.6819115245790419,-1.4222332397023277e-07,3.0206224634193533e-07
equal_per_attempt,8,77,nominal_nominal,13,2.9069764686313739,-7.0336521234456152e-08,3.3674522822178959e-07
equal_per_attempt,8,77,nominal_nominal,14,3.1321125556255596,7.9179803600939805e-09,3.58428807380259e-07
equal_per_attempt,8,77,nominal_nominal,15,3.3572912690933894,8.7543866238000982e-08,3.4879524190324125e-07
equal_per_attempt,8,77,nominal_nominal,16,3.5824212573036518,1.5809452482412913e-07,2.7795354708119195e-07
equal_per_attempt,8,77,nominal_nominal,17,3.8072824451936231,2.0415971848063226e-07,1.317219204429964e-07
equal_per_attempt,8,77,nominal_nominal,18,4.0314133176142759,2.1171062951776918e-07,-6.4494043250180967e-08
equal_per_attempt,8,77,nominal_nominal,19,4.2539301467506494,1.7627923099174808e-07,-2.5427752203691638e-07
equal_per_attempt,8,77,nominal_nominal,20,4.4732544514211412,1.0446944827392383e-07,-4.0101777691666938e-07
equal_per_attempt,8,77,wdro,0,0,0,0
equal_per_attempt,8,77,wdro,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,8,77,wdro,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,8,77,wdro,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
equal_per_attempt,8,77,wdro,4,0.88087615824222421,-5.4724742834487793e-08,-2.4725240199409499e-07
equal_per_attempt,8,77,wdro,5,1.1066743204339817,-1.1565233661358518e-07,-2.9242442772112858e-07
equal_per_attempt,8,77,wdro,6,1.3321025906648516,-1.7888035963110292e-07,-2.6852831607060185e-07
equal_per_attempt,8,77,wdro,7,1.5572346310077139,-2.3150661969746427e-07,-1.9897440540295473e-07
equal_per_attempt,8,77,wdro,8,1.7821966027349125,-2.6474720393841626e-07,-9.6539124436616025e-08
equal_per_attempt,8,77,wdro,9,2.0070914111465963,-2.7266747420132683e-07,2.6106087714000831e-08
equal_per_attempt,8,77,wdro,10,2.2319857995842352,-2.5118425604785893e-07,1.649430161012067e-07
equal_per_attempt,8,77,wdro,11,2.4569185237802689,-2.0442273096812512e-07,2.5083597920106377e-07
equal_per_attempt,8,77,wdro,12,2.6819115245790419,-1.4222332397023277e-07,3.0206224634193533e-07
equal_per_attempt,8,77,wdro,13,2.9069764686313739,-7.0336521234456152e-08,3.3674522822178959e-07
equal_per_attempt,8,77,wdro,14,3.1321125556255596,7.9179803600939805e-09,3.58428807380259e-07
equal_per_attempt,8,77,wdro,15,3.3572912690933894,8.7543866238000982e-08,3.4879524190324125e-07
equal_per_attempt,8,77,wdro,16,3.5824212573036518,1.5809452482412913e-07,2.7795354708119195e-07
equal_per_attempt,8,77,wdro,17,3.8072824451936231,2.0415971848063226e-07,1.317219204429964e-07
equal_per_attempt,8,77,wdro,18,4.0314133176142759,2.1171062951776918e-07,-6.4494043250180967e-08
equal_per_attempt,8,77,wdro,19,4.2539301467506494,1.7627923099174808e-07,-2.5427752203691638e-07
equal_per_attempt,8,77,wdro,20,4.4732544514211412,1.0446944827392383e-07,-4.0101777691666938e-07
equal_per_attempt,8,77,wdro_nominal,0,0,0,0
equal_per_attempt,8,77,wdro_nominal,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,8,77,wdro_nominal,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,8,77,wdro_nominal,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
equal_per_attempt,8,77,wdro_nominal,4,0.88087615824222421,-5.4724742834487793e-08,-2.4725240199409499e-07
equal_per_attempt,8,77,wdro_nominal,5,1.1066743204339817,-1.1565233661358518e-07,-2.9242442772112858e-07
equal_per_attempt,8,77,wdro_nominal,6,1.3321025906648516,-1.7888035963110292e-07,-2.6852831607060185e-07
equal_per_attempt,8,77,wdro_nominal,7,1.5572346310077139,-2.3150661969746427e-07,-1.9897440540295473e-07
equal_per_attempt,8,77,wdro_nominal,8,1.7821966027349125,-2.6474720393841626e-07,-9.6539124436616025e-08
equal_per_attempt,8,77,wdro_nominal,9,2.0070914111465963,-2.7266747420132683e-07,2.6106087714000831e-08
equal_per_attempt,8,77,wdro_nominal,10,2.2319857995842352,-2.5118425604785893e-07,1.649430161012067e-07
equal_per_attempt,8,77,wdro_nominal,11,2.4569185237802689,-2.0442273096812512e-07,2.5083597920106377e-07
equal_per_attempt,8,77,wdro_nominal,12,2.6819115245790419,-1.4222332397023277e-07,3.0206224634193533e-07
equal_per_attempt,8,77,wdro_nominal,13,2.9069764686313739,-7.0336521234456152e-08,3.3674522822178959e-07
equal_per_attempt,8,77,wdro_nominal,14,3.1321125556255596,7.9179803600939805e-09,3.58428807380259e-07
equal_per_attempt,8,77,wdro_nominal,15,3.3572912690933894,8.7543866238000982e-08,3.4879524190324125e-07
equal_per_attempt,8,77,wdro_nominal,16,3.5824212573036518,1.5809452482412913e-07,2.7795354708119195e-07
equal_per_attempt,8,77,wdro_nominal,17,3.8072824451936231,2.0415971848063226e-07,1.317219204429964e-07
equal_per_attempt,8,77,wdro_nominal,18,4.0314133176142759,2.1171062951776918e-07,-6.4494043250180967e-08
equal_per_attempt,8,77,wdro_nominal,19,4.2539301467506494,1.7627923099174808e-07,-2.5427752203691638e-07
equal_per_attempt,8,77,wdro_nominal,20,4.4732544514211412,1.0446944827392383e-07,-4.0101777691666938e-07
equal_per_attempt,20,77,nominal,0,0,0,0
equal_per_attempt,20,77,nominal,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,20,77,nominal,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,20,77,nominal,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
equal_per_attempt,20,77,nominal,4,0.88087615824222421,-5.4724742834487793e-08,-2.4725240199409499e-07
equal_per_attempt,20,77,nominal,5,1.1066743204339817,-1.1565233661358518e-07,-2.9242442772112858e-07
equal_per_attempt,20,77,nominal,6,1.3321025906648516,-1.7888035963110292e-07,-2.6852831607060185e-07
equal_per_attempt,20,77,nominal,7,1.5572346310077139,-2.3150661969746427e-07,-1.9897440540295473e-07
equal_per_attempt,20,77,nominal,8,1.7821966027349125,-2.6474720393841626e-07,-9.6539124436616025e-08
equal_per_attempt,20,77,nominal,9,2.0070914111465963,-2.7266747420132683e-07,2.6106087714000831e-08
equal_per_attempt,20,77,nominal,10,2.2319857995842352,-2.5118425604785893e-07,1.649430161012067e-07
equal_per_attempt,20,77,nominal,11,2.4569185237802689,-2.0442273096812512e-07,2.5083597920106377e-07
equal_per_attempt,20,77,nominal,12,2.6819115245790419,-1.4222332397023277e-07,3.0206224634193533e-07
equal_per_attempt,20,77,nominal,13,2.9069764686313739,-7.0336521234456152e-08,3.3674522822178959e-07
equal_per_attempt,20,77,nominal,14,3.1321125556255596,7.9179803600939805e-09,3.58428807380259e-07
equal_per_attempt,20,77,nominal,15,3.3572912690933894,8.7543866238000982e-08,3.4879524190324125e-07
equal_per_attempt,20,77,nominal,16,3.5824212573036518,1.5809452482412913e-07,2.7795354708119195e-07
equal_per_attempt,20,77,nominal,17,3.8072824451936231,2.0415971848063226e-07,1.317219204429964e-07
equal_per_attempt,20,77,nominal,18,4.0314133176142759,2.1171062951776918e-07,-6.4494043250180967e-08
equal_per_attempt,20,77,nominal,19,4.2539301467506494,1.7627923099174808e-07,-2.5427752203691638e-07
equal_per_attempt,20,77,nominal,20,4.4732544514211412,1.0446944827392383e-07,-4.0101777691666938e-07
equal_per_attempt,20,77,nominal_nominal,0,0,0,0
equal_per_attempt,20,77,nominal_nominal,1,0.20887884214959609,6.6698204969895345e-10,6.2970818581772607e-09
equal_per_attempt,20,77,nominal_nominal,2,0.42985380410989571,-1.1833895881150825e-09,-2.2902712774079668e-08
equal_per_attempt,20,77,nominal_nominal,3,0.65491620186354538,-1.52579216652903e-08,-1.0206752865955796e-07
