k,actor,x,y
0,ego_reference,0,0
1,ego_reference,0.20000000000000001,0
2,ego_reference,0.40000000000000002,0
3,ego_reference,0.60000000000000009,0
4,ego_reference,0.80000000000000004,0
5,ego_reference,1,0
6,ego_reference,1.2000000000000002,0
7,ego_reference,1.4000000000000001,0
8,ego_reference,1.6000000000000001,0
9,ego_reference,1.8,0
10,ego_reference,2,0
11,ego_reference,2.2000000000000002,0
12,ego_reference,2.4000000000000004,0
13,ego_reference,2.6000000000000001,0
14,ego_reference,2.8000000000000003,0
15,ego_reference,3,0
16,ego_reference,3.2000000000000002,0
17,ego_reference,3.4000000000000004,0
18,ego_reference,3.6000000000000001,0
19,ego_reference,3.8000000000000003,0
20,ego_reference,4,0
0,away,3,2
1,away,3.1000000000000001,2.0499999999999998
2,away,3.2000000000000002,2.0999999999999996
3,away,3.3000000000000003,2.1499999999999995
4,away,3.4000000000000004,2.1999999999999993
5,away,3.5000000000000004,2.2499999999999991
6,away,3.6000000000000005,2.2999999999999989
7,away,3.7000000000000006,2.3499999999999988
8,away,3.8000000000000007,2.3999999999999986
9,away,3.9000000000000008,2.4499999999999984
10,away,4.0000000000000009,2.4999999999999982
11,away,4.1000000000000005,2.549999999999998
12,away,4.2000000000000002,2.5999999999999979
13,away,4.2999999999999998,2.6499999999999977
14,away,4.3999999999999995,2.6999999999999975
15,away,4.4999999999999991,2.7499999999999973
16,away,4.5999999999999988,2.7999999999999972
17,away,4.6999999999999984,2.849999999999997
18,away,4.799999999999998,2.8999999999999968
19,away,4.8999999999999977,2.9499999999999966
20,away,4.9999999999999973,2.9999999999999964
0,cut_in,3,2
1,cut_in,3,1.8
2,cut_in,3,1.6000000000000001
3,cut_in,3,1.4000000000000001
4,cut_in,3,1.2000000000000002
5,cut_in,3,1.0000000000000002
6,cut_in,3,0.80000000000000027
7,cut_in,3,0.60000000000000031
8,cut_in,3,0.4000000000000003
9,cut_in,3,0.20000000000000029
10,cut_in,3,2.7755575615628914e-16
11,cut_in,3,-0.19999999999999973
12,cut_in,3,-0.39999999999999974
13,cut_in,3,-0.59999999999999976
14,cut_in,3,-0.79999999999999982
15,cut_in,3,-0.99999999999999978
16,cut_in,3,-1.1999999999999997
17,cut_in,3,-1.3999999999999997
18,cut_in,3,-1.5999999999999996
19,cut_in,3,-1.7999999999999996
20,cut_in,3,-1.9999999999999996
0,straight,3,2
1,straight,3,2
2,straight,3,2
3,straight,3,2
4,straight,3,2
5,straight,3,2
6,straight,3,2
7,straight,3,2
8,straight,3,2
9,straight,3,2
10,straight,3,2
11,straight,3,2
12,straight,3,2
13,straight,3,2
14,straight,3,2
15,straight,3,2
16,straight,3,2
17,straight,3,2
18,straight,3,2
19,straight,3,2
20,straight,3,2
