budget,scheme,replicates,inclusion_rate,expected_inclusion,mean_dangerous_draws
16,nominal_single,10,0.2,0.15518189268716742,0.2
16,nominal_split,10,0.2,0.15518189268716753,0.2
16,wdro_nominal_split_unconditional,10,0.4,0.2789386442042947,0.4
16,wdro_single,10,0.5,0.3845663648525314,0.5
40,nominal_single,10,0.3,0.34399366366366013,0.4
40,nominal_split,10,0.3,0.34399366366366013,0.4
40,wdro_nominal_split_unconditional,10,0.5,0.5585001584450417,0.7
40,wdro_single,10,0.7,0.7028655070899879,0.9
80,nominal_single,10,0.5,0.569655686686573,0.8
80,nominal_split,10,0.5,0.569655686686573,0.8
80,wdro_nominal_split_unconditional,10,0.8,0.8050778899069468,1.3
80,wdro_single,10,0.9,0.9117110931231099,1.9
160,nominal_single,10,0.8,0.814803771998795,1.7
160,nominal_split,10,0.8,0.814803771998795,1.7
160,wdro_nominal_split_unconditional,10,1,0.9620053709968717,2.8
160,wdro_single,10,1,0.9922050689224838,4.4
