budget_design,base_S,method,matched_trials,first_attempt_inadmissibility,final_inadmissibility,fallback_rate,first_dangerous_inclusion,any_attempt_dangerous_inclusion,mean_total_draws,mean_outer_attempts,mean_failed_attempts,mean_qp_calls,mean_cycle_ms
equal_max_draws,8,nominal,1,0.0,0.0,0.0,0,0.0,16.0,1.0,0.0,10.0,105.69762800000001
equal_max_draws,8,nominal_nominal,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,107.91119400000001
equal_max_draws,8,wdro,1,0.0,0.0,0.0,0,0.0,16.0,1.0,0.0,10.0,122.06017600000001
equal_max_draws,8,wdro_nominal,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,106.090581
equal_max_draws,20,nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,128.192628
equal_max_draws,20,nominal_nominal,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,112.325033
equal_max_draws,20,wdro,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,131.380438
equal_max_draws,20,wdro_nominal,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,116.199065
equal_max_draws,40,nominal,1,0.0,0.0,0.0,0,0.0,80.0,1.0,0.0,10.0,179.979886
equal_max_draws,40,nominal_nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,132.020693
equal_max_draws,40,wdro,1,0.0,0.0,0.0,1,1.0,80.0,1.0,0.0,21.0,468.618594
equal_max_draws,40,wdro_nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,131.102409
equal_per_attempt,8,nominal,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,99.950275
equal_per_attempt,8,nominal_nominal,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,98.75991
equal_per_attempt,8,wdro,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,101.018547
equal_per_attempt,8,wdro_nominal,1,0.0,0.0,0.0,0,0.0,8.0,1.0,0.0,10.0,101.681277
equal_per_attempt,20,nominal,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,114.129253
equal_per_attempt,20,nominal_nominal,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,111.59103300000001
equal_per_attempt,20,wdro,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,109.267211
equal_per_attempt,20,wdro_nominal,1,0.0,0.0,0.0,0,0.0,20.0,1.0,0.0,10.0,109.811044
equal_per_attempt,40,nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,120.20935
equal_per_attempt,40,nominal_nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,121.312786
equal_per_attempt,40,wdro,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,122.89359
equal_per_attempt,40,wdro_nominal,1,0.0,0.0,0.0,0,0.0,40.0,1.0,0.0,10.0,125.242572
