K,selector,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,WDRO,WDRO_K1,0.046400,0.040909,0.052587,0.275905,0.274097,0.277721,0.297494,0.294755,0.300249,1.2933,0.8711,0.9551,0.946,5000
1,TopRisk,TopRisk_K1,0.051000,0.045239,0.057450,0.273345,0.271546,0.275152,0.288913,0.286219,0.291622,1.2779,0.8460,0.9551,0.949,5000
1,DiverseRisk,DiverseRisk_K1,0.048000,0.042414,0.054280,0.275872,0.274068,0.277683,0.295614,0.292898,0.298345,1.2770,0.8652,0.9550,0.951,5000
2,WDRO,WDRO_K2,0.049000,0.043355,0.055338,0.275836,0.274032,0.277647,0.292635,0.289932,0.295351,1.2841,0.8561,0.9551,0.951,5000
2,TopRisk,TopRisk_K2,0.050800,0.045051,0.057239,0.275933,0.274137,0.277737,0.291398,0.288704,0.294107,1.2729,0.8438,0.9550,0.950,5000
2,DiverseRisk,DiverseRisk_K2,0.054000,0.048071,0.060614,0.275960,0.274162,0.277765,0.288575,0.285898,0.291267,1.2700,0.8287,0.9550,0.952,5000
3,WDRO,WDRO_K3,0.046000,0.040534,0.052163,0.274133,0.272332,0.275942,0.294715,0.291987,0.297457,1.2775,0.8748,0.9550,0.950,5000
3,TopRisk,TopRisk_K3,0.049200,0.043543,0.055549,0.273788,0.271993,0.275591,0.291029,0.288339,0.293733,1.2813,0.8558,0.9550,0.948,5000
3,DiverseRisk,DiverseRisk_K3,0.048400,0.042790,0.054703,0.274686,0.272887,0.276492,0.285761,0.283067,0.288470,1.2733,0.8599,0.9550,0.951,5000
4,WDRO,WDRO_K4,0.047400,0.041849,0.053645,0.277519,0.275710,0.279335,0.298747,0.296021,0.301487,1.2804,0.8670,0.9552,0.951,5000
4,TopRisk,TopRisk_K4,0.051000,0.045239,0.057450,0.276316,0.274516,0.278123,0.290067,0.287379,0.292770,1.2663,0.8348,0.9549,0.953,5000
4,DiverseRisk,DiverseRisk_K4,0.048200,0.042602,0.054492,0.275307,0.273507,0.277114,0.287172,0.284481,0.289878,1.2787,0.8607,0.9550,0.951,5000
