K,selector,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,WDRO,WDRO_K1,0.147200,0.137650,0.157292,0.235741,0.234085,0.237405,0.196875,0.194581,0.199188,1.0775,0.5269,0.9561,0.949,5000
1,TopRisk,TopRisk_K1,0.146200,0.136678,0.156265,0.234617,0.232966,0.236276,0.197387,0.195110,0.199683,1.0734,0.4926,0.9560,0.949,5000
1,DiverseRisk,DiverseRisk_K1,0.152200,0.142510,0.162424,0.234023,0.232373,0.235681,0.197371,0.195092,0.199671,1.0699,0.4845,0.9560,0.951,5000
2,WDRO,WDRO_K2,0.141000,0.131629,0.150923,0.235152,0.233493,0.236820,0.198135,0.195848,0.200442,1.0825,0.5185,0.9561,0.948,5000
2,TopRisk,TopRisk_K2,0.165800,0.155749,0.176364,0.233323,0.231678,0.234975,0.194638,0.192375,0.196921,1.0628,0.4780,0.9560,0.950,5000
2,DiverseRisk,DiverseRisk_K2,0.146800,0.137261,0.156881,0.233985,0.232335,0.235644,0.197335,0.195062,0.199628,1.0797,0.5028,0.9560,0.952,5000
3,WDRO,WDRO_K3,0.155000,0.145234,0.165296,0.236430,0.234775,0.238092,0.196686,0.194403,0.198989,1.0656,0.4803,0.9561,0.952,5000
3,TopRisk,TopRisk_K3,0.153000,0.143288,0.163244,0.233558,0.231911,0.235214,0.192352,0.190103,0.194621,1.0724,0.4759,0.9560,0.950,5000
3,DiverseRisk,DiverseRisk_K3,0.152600,0.142899,0.162834,0.236814,0.235156,0.238480,0.199259,0.196959,0.201578,1.0700,0.4834,0.9560,0.952,5000
4,WDRO,WDRO_K4,0.146600,0.137067,0.156676,0.234100,0.232445,0.235762,0.194326,0.192054,0.196618,1.0764,0.4826,0.9561,0.953,5000
4,TopRisk,TopRisk_K4,0.156400,0.146596,0.166732,0.233186,0.231541,0.234838,0.187514,0.185284,0.189766,1.0689,0.4744,0.9560,0.950,5000
4,DiverseRisk,DiverseRisk_K4,0.155200,0.145428,0.165501,0.236185,0.234533,0.237845,0.194128,0.191866,0.196410,1.0626,0.4602,0.9560,0.943,5000
