max_history,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
5,Base,0.688000,0.658610,0.715951,0.344880,0.340963,0.348818,0.318431,0.312821,0.324095,0.7267,0.2566,0.9300,0.847,1000
5,WDRO-injection,0.147000,0.126404,0.170298,0.086612,0.084167,0.089122,0.062616,0.059538,0.065841,1.0704,0.5379,0.9565,0.952,1000
5,TopRisk-inject,0.140000,0.119868,0.162887,0.086233,0.083801,0.088729,0.063511,0.060439,0.066728,1.0615,0.4863,0.9563,0.954,1000
5,WDRO-sampling,0.141000,0.120801,0.163947,0.128907,0.125999,0.131871,0.085152,0.081617,0.088824,1.0688,0.5144,0.9562,0.962,1000
10,Base,0.643000,0.612809,0.672097,0.334521,0.330704,0.338360,0.303774,0.298343,0.309260,0.7543,0.2738,0.9248,0.855,1000
10,WDRO-injection,0.138000,0.118004,0.160766,0.152885,0.149760,0.156063,0.112463,0.108424,0.116632,1.0742,0.4937,0.9561,0.956,1000
10,TopRisk-inject,0.136000,0.116142,0.158644,0.145520,0.142466,0.148629,0.097402,0.093690,0.101245,1.0739,0.5662,0.9560,0.966,1000
10,WDRO-sampling,0.154000,0.132956,0.177692,0.187927,0.184530,0.191371,0.130202,0.125945,0.134581,1.0726,0.4874,0.9563,0.949,1000
20,Base,0.656000,0.626010,0.684796,0.338393,0.334517,0.342291,0.311301,0.305767,0.316889,0.7428,0.2494,0.9291,0.838,1000
20,WDRO-injection,0.135000,0.115211,0.157583,0.197895,0.194423,0.201415,0.147402,0.142886,0.152035,1.0779,0.5215,0.9561,0.937,1000
20,TopRisk-inject,0.149000,0.128274,0.172412,0.201393,0.197899,0.204933,0.145924,0.141367,0.150603,1.0677,0.4951,0.9560,0.947,1000
20,WDRO-sampling,0.176000,0.153649,0.200831,0.241598,0.237888,0.245348,0.175230,0.170372,0.180197,1.0744,0.4605,0.9563,0.945,1000
50,Base,0.650000,0.619914,0.678938,0.343479,0.339610,0.347369,0.322319,0.316716,0.327973,0.7495,0.2824,0.9254,0.844,1000
50,WDRO-injection,0.141000,0.120801,0.163947,0.231943,0.228254,0.235673,0.193502,0.188461,0.198646,1.0779,0.4663,0.9560,0.945,1000
50,TopRisk-inject,0.137000,0.117073,0.159706,0.227679,0.224020,0.231381,0.183624,0.178685,0.188669,1.0893,0.4747,0.9562,0.943,1000
50,WDRO-sampling,0.166000,0.144225,0.190331,0.275259,0.271429,0.279122,0.214828,0.209662,0.220084,1.0913,0.4526,0.9562,0.923,1000
100,Base,0.647000,0.616868,0.676007,0.347228,0.343311,0.351166,0.325442,0.319766,0.331170,0.7550,0.2418,0.9296,0.846,1000
100,WDRO-injection,0.156000,0.134831,0.179802,0.238917,0.235227,0.242648,0.213086,0.207911,0.218353,1.0720,0.4822,0.9560,0.942,1000
100,TopRisk-inject,0.167000,0.145166,0.191383,0.231837,0.228174,0.235542,0.191001,0.186055,0.196047,1.0657,0.4687,0.9560,0.950,1000
100,WDRO-sampling,0.176000,0.153649,0.200831,0.275101,0.271236,0.279000,0.220255,0.214951,0.225652,1.0654,0.4152,0.9562,0.951,1000
150,Base,0.637000,0.606724,0.666228,0.359858,0.355895,0.363841,0.340099,0.334403,0.345841,0.7550,0.2790,0.9306,0.844,1000
150,WDRO-injection,0.131000,0.111492,0.153332,0.235178,0.231482,0.238914,0.200362,0.195198,0.205629,1.0884,0.5105,0.9561,0.932,1000
150,TopRisk-inject,0.166000,0.144225,0.190331,0.232477,0.228795,0.236200,0.183619,0.178675,0.188669,1.0606,0.4664,0.9564,0.939,1000
150,WDRO-sampling,0.197000,0.173528,0.222791,0.272937,0.269097,0.276810,0.212317,0.207144,0.217583,1.0721,0.3955,0.9563,0.935,1000
