max_history,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
5,Base,0.053000,0.040746,0.068675,0.439511,0.434831,0.444202,0.512366,0.505390,0.519337,1.4803,0.8113,0.9496,0.884,1000
5,WDRO-injection,0.050000,0.038130,0.065314,0.111472,0.108633,0.114376,0.121536,0.117201,0.126009,1.3023,0.8483,0.9556,0.990,1000
5,TopRisk-inject,0.041000,0.030365,0.055148,0.111178,0.108344,0.114078,0.121670,0.117350,0.126126,1.3136,0.9199,0.9552,1.009,1000
5,WDRO-sampling,0.048000,0.036393,0.063066,0.141321,0.138169,0.144533,0.159494,0.154623,0.164488,1.3606,0.8577,0.9554,1.021,1000
10,Base,0.078000,0.062947,0.096283,0.468099,0.463391,0.472812,0.573440,0.566515,0.580337,1.4307,0.6923,0.9507,0.901,1000
10,WDRO-injection,0.052000,0.039873,0.067556,0.185536,0.182023,0.189102,0.205192,0.199769,0.210724,1.2902,0.8426,0.9555,1.010,1000
10,TopRisk-inject,0.040000,0.029511,0.054010,0.187754,0.184232,0.191327,0.201877,0.196606,0.207252,1.3190,0.9504,0.9551,0.988,1000
10,WDRO-sampling,0.051000,0.039001,0.066436,0.211558,0.207832,0.215334,0.235732,0.230051,0.241510,1.3597,0.8266,0.9554,0.983,1000
20,Base,0.055000,0.042497,0.070909,0.485932,0.481213,0.490653,0.613605,0.606794,0.620372,1.4636,0.8348,0.9498,0.824,1000
20,WDRO-injection,0.050000,0.038130,0.065314,0.249539,0.245632,0.253487,0.270207,0.264313,0.276184,1.2826,0.8483,0.9551,0.964,1000
20,TopRisk-inject,0.041000,0.030365,0.055148,0.246728,0.242832,0.250666,0.261801,0.255880,0.267809,1.2719,0.9172,0.9551,0.963,1000
20,WDRO-sampling,0.045000,0.033799,0.059683,0.278373,0.274300,0.282484,0.303546,0.297315,0.309851,1.3540,0.8866,0.9555,0.936,1000
50,Base,0.060000,0.046896,0.076471,0.498750,0.494015,0.503487,0.632211,0.625415,0.638955,1.4517,0.8035,0.9513,0.821,1000
50,WDRO-injection,0.051000,0.039001,0.066436,0.277666,0.273627,0.281742,0.300728,0.294644,0.306883,1.2788,0.8460,0.9551,0.949,1000
50,TopRisk-inject,0.039000,0.028659,0.052870,0.271128,0.267125,0.275168,0.291796,0.285766,0.297900,1.3020,0.8932,0.9551,0.938,1000
50,WDRO-sampling,0.046000,0.034662,0.060813,0.306083,0.301890,0.310309,0.335571,0.329238,0.341964,1.3405,0.8880,0.9556,0.913,1000
100,Base,0.072000,0.057564,0.089712,0.494059,0.489330,0.498789,0.637195,0.630354,0.643981,1.4588,0.7389,0.9514,0.798,1000
100,WDRO-injection,0.048000,0.036393,0.063066,0.275237,0.271218,0.279292,0.289738,0.283753,0.295797,1.2916,0.8575,0.9549,0.932,1000
100,TopRisk-inject,0.046000,0.034662,0.060813,0.278043,0.274008,0.282115,0.294053,0.288064,0.300115,1.2747,0.8906,0.9551,0.936,1000
100,WDRO-sampling,0.044000,0.032938,0.058552,0.299825,0.295666,0.304017,0.335308,0.328943,0.341734,1.3361,0.9068,0.9552,0.910,1000
150,Base,0.054000,0.041621,0.069792,0.492746,0.488034,0.497460,0.627512,0.620763,0.634212,1.4756,0.8374,0.9494,0.798,1000
150,WDRO-injection,0.048000,0.036393,0.063066,0.277136,0.273107,0.281201,0.300887,0.294749,0.307098,1.2718,0.8727,0.9549,0.935,1000
150,TopRisk-inject,0.046000,0.034662,0.060813,0.277557,0.273527,0.281623,0.293615,0.287585,0.299718,1.2788,0.8959,0.9553,0.935,1000
150,WDRO-sampling,0.043000,0.032078,0.057419,0.300159,0.295978,0.304374,0.334277,0.327904,0.340711,1.3355,0.9123,0.9553,0.908,1000
