environment,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight,Base,0.004000,0.001557,0.010240,0.596537,0.591721,0.601334,0.772120,0.765901,0.778221,2.0627,1.3816,0.9591,0.765,1000
Straight,WDRO-sampling,0.003000,0.001021,0.008783,0.319721,0.315152,0.324325,0.483961,0.476712,0.491217,2.0988,1.4359,0.9598,0.877,1000
Straight,WDRO-injection,0.001000,0.000177,0.005643,0.306949,0.302428,0.311508,0.472316,0.465145,0.479499,2.0972,1.4596,0.9599,0.870,1000
Narrow,Base,0.000000,0.000000,0.003827,0.447179,0.442250,0.452119,0.576772,0.569449,0.584061,2.8936,2.5270,0.9611,0.832,1000
Narrow,WDRO-sampling,0.000000,0.000000,0.003827,0.320769,0.316154,0.325419,0.482579,0.475218,0.489948,2.9042,2.5632,0.9611,0.907,1000
Narrow,WDRO-injection,0.000000,0.000000,0.003827,0.299051,0.294527,0.303615,0.455893,0.448630,0.463175,2.9170,2.5800,0.9611,0.904,1000
Intersection,Base,0.072000,0.057564,0.089712,0.498687,0.493984,0.503390,0.629027,0.622290,0.635713,1.4818,0.7422,0.9498,0.823,1000
Intersection,WDRO-sampling,0.049000,0.037261,0.064191,0.311789,0.307571,0.316039,0.346541,0.340171,0.352967,1.3462,0.8501,0.9551,0.979,1000
Intersection,WDRO-injection,0.045000,0.033799,0.059683,0.277871,0.273838,0.281941,0.293206,0.287111,0.299376,1.2765,0.8735,0.9549,1.011,1000
Oncoming,Base,0.666000,0.636181,0.694548,0.353523,0.349538,0.357529,0.326323,0.320630,0.332068,0.7342,0.2420,0.9341,0.888,1000
Oncoming,WDRO-sampling,0.148000,0.127339,0.171356,0.275938,0.272062,0.279847,0.213033,0.207826,0.218335,1.0840,0.4960,0.9563,0.980,1000
Oncoming,WDRO-injection,0.157000,0.135769,0.180856,0.234270,0.230578,0.238002,0.203577,0.198445,0.208807,1.0646,0.4829,0.9563,0.988,1000
