constraint_type,path_config,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
halfspace,S-curve-sp0.2,Base,0.749000,0.721208,0.774887,0.7045,0.1792,0.9269,0.815,1000
halfspace,S-curve-sp0.2,WDRO-sampling,0.160000,0.138585,0.184017,1.0923,0.4498,0.9572,0.916,1000
halfspace,S-curve-sp0.2,WDRO-inject-K1,0.146000,0.125469,0.169241,1.0915,0.4849,0.9578,0.920,1000
halfspace,S-curve-sp0.2,WDRO-inject-K2,0.137000,0.117073,0.159706,1.0794,0.4432,0.9578,0.930,1000
halfspace,S-curve-sp0.2,TopRisk-K1,0.116000,0.097605,0.137334,1.1049,0.5031,0.9576,0.922,1000
halfspace,S-curve-sp0.2,TopRisk-K2,0.136000,0.116142,0.158644,1.0931,0.4864,0.9577,0.921,1000
halfspace,S-curve-sp0.2,DiverseRisk-K1,0.126000,0.106853,0.148010,1.0954,0.5091,0.9577,0.917,1000
halfspace,S-curve-sp0.4,Base,0.779000,0.752242,0.803622,0.6416,0.1768,0.9297,0.812,1000
halfspace,S-curve-sp0.4,WDRO-sampling,0.163000,0.141404,0.187176,1.0619,0.4856,0.9567,0.920,1000
halfspace,S-curve-sp0.4,WDRO-inject-K1,0.175000,0.152705,0.199782,1.0356,0.4563,0.9569,0.927,1000
halfspace,S-curve-sp0.4,WDRO-inject-K2,0.164000,0.142344,0.188228,1.0449,0.4958,0.9570,0.928,1000
halfspace,S-curve-sp0.4,TopRisk-K1,0.174000,0.151762,0.198733,1.0435,0.5060,0.9572,0.926,1000
halfspace,S-curve-sp0.4,TopRisk-K2,0.170000,0.147991,0.194535,1.0394,0.4795,0.9569,0.924,1000
halfspace,S-curve-sp0.4,DiverseRisk-K1,0.154000,0.132956,0.177692,1.0514,0.4799,0.9571,0.920,1000
halfspace,Tight-S-sp0.2,Base,0.990000,0.981690,0.994559,0.3518,0.0913,0.9564,0.782,1000
halfspace,Tight-S-sp0.2,WDRO-sampling,0.309000,0.281136,0.338326,0.9390,0.2050,0.9576,0.966,1000
halfspace,Tight-S-sp0.2,WDRO-inject-K1,0.247000,0.221272,0.274665,0.9958,0.3212,0.9577,0.952,1000
halfspace,Tight-S-sp0.2,WDRO-inject-K2,0.265000,0.238583,0.293216,0.9630,0.2158,0.9580,0.969,1000
halfspace,Tight-S-sp0.2,TopRisk-K1,0.238000,0.212639,0.265366,0.9805,0.2490,0.9577,0.955,1000
halfspace,Tight-S-sp0.2,TopRisk-K2,0.282000,0.254986,0.310683,0.9531,0.2006,0.9576,0.965,1000
halfspace,Tight-S-sp0.2,DiverseRisk-K1,0.250000,0.224153,0.277761,0.9777,0.2116,0.9578,0.961,1000
halfspace,Tight-S-sp0.4,Base,0.998000,0.992737,0.999451,0.3087,0.0782,0.9566,0.783,1000
halfspace,Tight-S-sp0.4,WDRO-sampling,0.261000,0.234731,0.289099,0.9847,0.3463,0.9577,0.956,1000
halfspace,Tight-S-sp0.4,WDRO-inject-K1,0.250000,0.224153,0.277761,0.9742,0.3278,0.9576,0.960,1000
halfspace,Tight-S-sp0.4,WDRO-inject-K2,0.248000,0.222232,0.275697,0.9654,0.2855,0.9577,0.962,1000
halfspace,Tight-S-sp0.4,TopRisk-K1,0.262000,0.235693,0.290128,0.9675,0.3447,0.9578,0.954,1000
halfspace,Tight-S-sp0.4,TopRisk-K2,0.271000,0.244366,0.299386,0.9581,0.2922,0.9577,0.964,1000
halfspace,Tight-S-sp0.4,DiverseRisk-K1,0.261000,0.234731,0.289099,0.9689,0.3070,0.9576,0.958,1000
chance-z1.0,S-curve-sp0.2,Base,0.620000,0.589510,0.649571,0.8302,0.2025,0.9274,0.802,1000
chance-z1.0,S-curve-sp0.2,WDRO-sampling,0.165000,0.143284,0.189280,1.1169,0.4303,0.9565,0.912,1000
chance-z1.0,S-curve-sp0.2,WDRO-inject-K1,0.127000,0.107780,0.149075,1.1190,0.4810,0.9572,0.915,1000
chance-z1.0,S-curve-sp0.2,WDRO-inject-K2,0.141000,0.120801,0.163947,1.1095,0.4716,0.9574,0.913,1000
chance-z1.0,S-curve-sp0.2,TopRisk-K1,0.112000,0.093919,0.133050,1.1429,0.5271,0.9571,0.906,1000
chance-z1.0,S-curve-sp0.2,TopRisk-K2,0.136000,0.116142,0.158644,1.1244,0.5091,0.9570,0.910,1000
chance-z1.0,S-curve-sp0.2,DiverseRisk-K1,0.145000,0.124535,0.168183,1.1149,0.5300,0.9572,0.913,1000
chance-z1.0,S-curve-sp0.4,Base,0.688000,0.658610,0.715951,0.7337,0.1722,0.9246,0.800,1000
chance-z1.0,S-curve-sp0.4,WDRO-sampling,0.169000,0.147049,0.193484,1.0870,0.4755,0.9564,0.913,1000
chance-z1.0,S-curve-sp0.4,WDRO-inject-K1,0.160000,0.138585,0.184017,1.0634,0.4654,0.9566,0.927,1000
chance-z1.0,S-curve-sp0.4,WDRO-inject-K2,0.176000,0.153649,0.200831,1.0597,0.4525,0.9567,0.928,1000
chance-z1.0,S-curve-sp0.4,TopRisk-K1,0.148000,0.127339,0.171356,1.0696,0.4507,0.9569,0.924,1000
chance-z1.0,S-curve-sp0.4,TopRisk-K2,0.149000,0.128274,0.172412,1.0712,0.4358,0.9564,0.924,1000
