hypothesis,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
H6,road=2.5m,Base,0.795000,0.768872,0.818870,0.5729,0.1133,0.9136,1.577,1000
H6,road=2.5m,WDRO-sampling,0.283000,0.255952,0.311709,1.0291,0.2091,0.9556,1.713,1000
H6,road=2.5m,WDRO-inject-K1,0.271000,0.244366,0.299386,1.0227,0.2982,0.9558,1.704,1000
H6,road=2.5m,WDRO-inject-K2,0.286000,0.258852,0.314786,1.0045,0.2760,0.9549,1.696,1000
H6,road=2.5m,TopRisk-K1,0.294000,0.266594,0.322983,0.9932,0.2717,0.9558,1.697,1000
H6,road=2.5m,TopRisk-K2,0.283000,0.255952,0.311709,0.9994,0.2405,0.9551,1.694,1000
H6,road=2.5m,DiverseRisk-K1,0.263000,0.236656,0.291158,1.0113,0.2712,0.9559,1.696,1000
H6,road=3.0m,Base,0.783000,0.756394,0.807440,0.5943,0.1183,0.9592,1.513,1000
H6,road=3.0m,WDRO-sampling,0.321000,0.292796,0.350574,0.9871,0.2368,0.9563,1.659,1000
H6,road=3.0m,WDRO-inject-K1,0.341000,0.312277,0.370940,0.9627,0.3417,0.9573,1.654,1000
H6,road=3.0m,WDRO-inject-K2,0.288000,0.260787,0.316836,0.9993,0.3543,0.9572,1.653,1000
H6,road=3.0m,TopRisk-K1,0.296000,0.268530,0.325031,0.9950,0.3773,0.9576,1.654,1000
H6,road=3.0m,TopRisk-K2,0.288000,0.260787,0.316836,1.0031,0.3783,0.9565,1.651,1000
H6,road=3.0m,DiverseRisk-K1,0.290000,0.262722,0.318886,1.0049,0.3700,0.9572,1.651,1000
H6,road=4.0m,Base,0.898000,0.877693,0.915261,0.4487,0.0903,0.9598,1.482,1000
H6,road=4.0m,WDRO-sampling,0.213000,0.188747,0.239450,1.0015,0.5465,0.9544,1.589,1000
H6,road=4.0m,WDRO-inject-K1,0.203000,0.179228,0.229045,0.9910,0.5603,0.9546,1.597,1000
H6,road=4.0m,WDRO-inject-K2,0.235000,0.209765,0.262263,0.9781,0.5636,0.9546,1.602,1000
H6,road=4.0m,TopRisk-K1,0.218000,0.193514,0.244644,0.9836,0.5534,0.9541,1.602,1000
H6,road=4.0m,TopRisk-K2,0.224000,0.199243,0.250869,0.9817,0.5704,0.9536,1.597,1000
H6,road=4.0m,DiverseRisk-K1,0.204000,0.180179,0.230087,0.9850,0.6256,0.9542,1.595,1000
H7,sigma=1.5,Base,0.719000,0.690343,0.745981,0.7225,0.2020,0.9187,0.808,1000
H7,sigma=1.5,WDRO-sampling,0.141000,0.120801,0.163947,1.0985,0.4663,0.9575,0.914,1000
H7,sigma=1.5,WDRO-inject-K1,0.138000,0.118004,0.160766,1.0846,0.5358,0.9581,0.923,1000
H7,sigma=1.5,WDRO-inject-K2,0.125000,0.105926,0.146944,1.0996,0.5241,0.9576,0.921,1000
H7,sigma=1.5,TopRisk-K1,0.136000,0.116142,0.158644,1.0847,0.4859,0.9575,0.924,1000
H7,sigma=1.5,TopRisk-K2,0.112000,0.093919,0.133050,1.1130,0.5071,0.9577,0.917,1000
H7,sigma=1.5,DiverseRisk-K1,0.131000,0.111492,0.153332,1.0956,0.4880,0.9575,0.922,1000
H7,sigma=3,Base,0.746000,0.718114,0.772003,0.7095,0.1805,0.9252,0.808,1000
H7,sigma=3,WDRO-sampling,0.149000,0.128274,0.172412,1.0969,0.4162,0.9572,0.917,1000
H7,sigma=3,WDRO-inject-K1,0.128000,0.108707,0.150140,1.0989,0.5317,0.9578,0.923,1000
H7,sigma=3,WDRO-inject-K2,0.146000,0.125469,0.169241,1.0805,0.5108,0.9579,0.926,1000
