obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Base,0.744000,0.724418,0.762647,0.742140,0.739586,0.744677,0.848308,0.845235,0.851331,0.6961,0.1805,0.9305,0.988,2000
0.8,WDRO-sampling,0.162000,0.146502,0.178794,0.046051,0.044755,0.047382,0.045704,0.043806,0.047680,1.0917,0.4396,0.9575,1.133,2000
0.8,WDRO-inject-K1,0.135000,0.120721,0.150678,0.000000,0.000000,0.000040,0.000000,0.000000,0.000086,1.0901,0.4721,0.9580,1.153,2000
0.8,WDRO-inject-K2,0.134000,0.119770,0.149634,0.000000,0.000000,0.000040,0.000000,0.000000,0.000087,1.0936,0.4882,0.9579,1.112,2000
0.8,TopRisk-K1,0.150000,0.135022,0.166320,0.000000,0.000000,0.000040,0.000000,0.000000,0.000086,1.0772,0.4427,0.9579,1.123,2000
0.8,TopRisk-K2,0.133000,0.118819,0.148588,0.000000,0.000000,0.000040,0.000000,0.000000,0.000087,1.0988,0.4686,0.9578,1.110,2000
0.8,DiverseRisk-K1,0.136500,0.122149,0.152245,0.000000,0.000000,0.000040,0.000000,0.000000,0.000086,1.0921,0.4827,0.9578,1.118,2000
0.8,Softmax-tau5,0.197500,0.180639,0.215521,0.000000,0.000000,0.000039,0.000000,0.000000,0.000085,1.0625,0.3513,0.9570,1.137,2000
1.2,Base,0.271000,0.251973,0.290905,0.752727,0.750329,0.755110,0.864021,0.861229,0.866766,1.3503,0.3307,0.9226,0.992,2000
1.2,WDRO-sampling,0.190500,0.173889,0.208298,0.044127,0.042802,0.045491,0.041209,0.039327,0.043177,1.1028,0.2794,0.9582,1.143,2000
1.2,WDRO-inject-K1,0.194000,0.177263,0.211910,0.000000,0.000000,0.000043,0.000000,0.000000,0.000093,1.0726,0.2700,0.9586,1.129,2000
1.2,WDRO-inject-K2,0.206500,0.189330,0.224795,0.000000,0.000000,0.000043,0.000000,0.000000,0.000093,1.0608,0.2433,0.9585,1.158,2000
1.2,TopRisk-K1,0.204000,0.186914,0.222221,0.000000,0.000000,0.000043,0.000000,0.000000,0.000094,1.0752,0.3049,0.9585,1.133,2000
1.2,TopRisk-K2,0.202000,0.184983,0.220160,0.000000,0.000000,0.000043,0.000000,0.000000,0.000092,1.0781,0.2590,0.9584,1.138,2000
1.2,DiverseRisk-K1,0.214500,0.197066,0.233028,0.000000,0.000000,0.000043,0.000000,0.000000,0.000093,1.0654,0.2845,0.9585,1.164,2000
1.2,Softmax-tau5,0.131000,0.116917,0.146497,0.000000,0.000000,0.000044,0.000000,0.000000,0.000095,1.1244,0.3755,0.9588,1.063,2000
